Argentina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
102,1902,0.303,0.22,0.25,0.22,0.27,0.23
103,1903,-0.017000000000000015,0.19,0.25,0.22,0.27,0.23
104,1904,0.11299999999999999,0.16,0.25,0.22,0.28,0.23
105,1905,-0.127,0.13,0.25,0.23,0.28,0.23
106,1906,0.413,0.09,0.25,0.23,0.28,0.23
107,1907,-0.28700000000000003,0.07,0.26,0.23,0.28,0.24
108,1908,0.10299999999999998,0.07,0.26,0.23,0.28,0.24
109,1909,0.07300000000000001,0.08,0.26,0.24,0.28,0.24
110,1910,-0.05700000000000005,0.09,0.27,0.24,0.29,0.25
111,1911,-0.33699999999999997,0.11,0.27,0.25,0.3,0.25
112,1912,0.23299999999999998,0.13,0.28,0.26,0.3,0.26
113,1913,0.923,0.15,0.29,0.26,0.31,0.27
114,1914,0.22299999999999998,0.17,0.29,0.27,0.32,0.27
115,1915,0.263,0.18,0.3,0.27,0.32,0.28
116,1916,0.21299999999999997,0.19,0.3,0.28,0.33,0.28
117,1917,0.383,0.18,0.3,0.28,0.33,0.28
118,1918,0.032999999999999974,0.16,0.3,0.28,0.33,0.29
119,1919,0.413,0.14,0.31,0.29,0.34,0.29
120,1920,0.283,0.13,0.31,0.29,0.34,0.29
121,1921,-0.18700000000000006,0.12,0.31,0.29,0.35,0.3
122,1922,-0.05700000000000005,0.11,0.32,0.3,0.35,0.3
123,1923,-0.247,0.12,0.32,0.3,0.35,0.3
124,1924,-0.18700000000000006,0.12,0.32,0.3,0.35,0.3
125,1925,0.21299999999999997,0.13,0.32,0.3,0.35,0.3
126,1926,0.433,0.15,0.32,0.3,0.35,0.31
127,1927,0.363,0.18,0.32,0.3,0.35,0.31
128,1928,-0.14700000000000002,0.21,0.33,0.31,0.35,0.31
129,1929,0.473,0.23,0.33,0.31,0.36,0.31
130,1930,0.533,0.26,0.33,0.31,0.36,0.31
131,1931,-0.237,0.27,0.34,0.32,0.36,0.32
132,1932,0.633,0.28,0.34,0.32,0.37,0.32
133,1933,0.23299999999999998,0.27,0.35,0.33,0.37,0.33
134,1934,-0.017000000000000015,0.27,0.36,0.33,0.38,0.34
135,1935,0.423,0.26,0.36,0.33,0.38,0.34
136,1936,0.293,0.25,0.37,0.34,0.39,0.34
137,1937,0.33299999999999996,0.24,0.37,0.34,0.4,0.35
138,1938,0.123,0.25,0.38,0.35,0.4,0.35
139,1939,0.293,0.27,0.38,0.35,0.41,0.36
140,1940,0.193,0.29,0.39,0.36,0.41,0.36
141,1941,0.04299999999999998,0.3,0.39,0.36,0.42,0.37
142,1942,0.022999999999999965,0.32,0.4,0.37,0.43,0.37
143,1943,0.523,0.32,0.4,0.38,0.43,0.38
144,1944,0.983,0.34,0.41,0.39,0.44,0.39
145,1945,0.973,0.35,0.42,0.39,0.45,0.4
146,1946,0.193,0.38,0.43,0.4,0.45,0.4
147,1947,0.353,0.4,0.43,0.41,0.46,0.41
148,1948,0.353,0.4,0.44,0.41,0.46,0.41
149,1949,0.363,0.39,0.44,0.42,0.46,0.42
150,1950,0.373,0.36,0.44,0.42,0.47,0.42
151,1951,0.413,0.33,0.45,0.43,0.47,0.43
152,1952,0.503,0.31,0.45,0.43,0.47,0.43
153,1953,0.573,0.3,0.46,0.44,0.48,0.44
154,1954,0.123,0.31,0.46,0.44,0.48,0.44
155,1955,-0.15700000000000003,0.31,0.47,0.44,0.48,0.45
156,1956,-0.32700000000000007,0.32,0.47,0.44,0.48,0.45
157,1957,0.293,0.33,0.47,0.44,0.49,0.45
158,1958,0.573,0.33,0.47,0.44,0.48,0.44
159,1959,-0.017000000000000015,0.35,0.46,0.44,0.48,0.44
160,1960,0.593,0.37,0.46,0.44,0.48,0.44
161,1961,0.623,0.4,0.46,0.44,0.48,0.44
162,1962,0.513,0.45,0.46,0.44,0.48,0.44
163,1963,0.523,0.49,0.46,0.44,0.48,0.44
164,1964,0.09299999999999997,0.53,0.46,0.44,0.49,0.44
165,1965,0.563,0.55,0.46,0.44,0.49,0.44
166,1966,0.363,0.57,0.46,0.44,0.49,0.44
167,1967,0.703,0.57,0.46,0.44,0.49,0.44
168,1968,0.843,0.56,0.46,0.44,0.49,0.44
169,1969,0.923,0.56,0.47,0.44,0.49,0.44
170,1970,0.873,0.57,0.47,0.45,0.49,0.45
171,1971,0.293,0.58,0.48,0.46,0.5,0.46
172,1972,0.46299999999999997,0.59,0.49,0.47,0.51,0.47
173,1973,0.31299999999999994,0.6,0.51,0.48,0.53,0.48
174,1974,0.383,0.62,0.52,0.5,0.54,0.5
175,1975,0.673,0.63,0.53,0.51,0.55,0.51
176,1976,0.15299999999999997,0.65,0.54,0.52,0.56,0.52
177,1977,1.063,0.68,0.55,0.53,0.58,0.53
178,1978,0.903,0.72,0.56,0.54,0.59,0.54
179,1979,0.703,0.76,0.57,0.55,0.6,0.55
180,1980,0.963,0.8,0.58,0.57,0.61,0.56
181,1981,0.913,0.82,0.59,0.58,0.63,0.58
182,1982,0.963,0.84,0.61,0.59,0.64,0.59
183,1983,0.653,0.86,0.62,0.61,0.65,0.6
184,1984,0.11299999999999999,0.86,0.63,0.62,0.67,0.62
185,1985,1.0430000000000001,0.85,0.64,0.63,0.68,0.63
186,1986,1.013,0.84,0.65,0.64,0.69,0.64
187,1987,0.903,0.84,0.67,0.65,0.7,0.65
188,1988,0.533,0.83,0.68,0.67,0.72,0.67
189,1989,1.173,0.83,0.7,0.69,0.73,0.69
190,1990,0.883,0.84,0.72,0.71,0.75,0.71
191,1991,0.733,0.85,0.74,0.73,0.77,0.73
192,1992,0.32299999999999995,0.85,0.77,0.76,0.8,0.75
193,1993,0.693,0.85,0.79,0.78,0.82,0.77
194,1994,1.1829999999999998,0.84,0.81,0.8,0.84,0.8
195,1995,0.823,0.84,0.84,0.83,0.86,0.82
196,1996,0.863,0.85,0.86,0.85,0.88,0.84
197,1997,1.263,0.85,0.88,0.87,0.9,0.86
198,1998,0.913,0.87,0.9,0.89,0.92,0.88
199,1999,0.673,0.88,0.92,0.91,0.94,0.91
200,2000,0.32299999999999995,0.89,0.95,0.93,0.96,0.93
201,2001,1.013,0.89,0.96,0.95,0.98,0.95
202,2002,0.753,0.9,0.98,0.97,0.99,0.96
203,2003,1.113,0.9,1.0,0.98,1.01,0.98
204,2004,1.0430000000000001,0.92,1.02,1.0,1.02,1.0
205,2005,0.693,0.93,1.03,1.01,1.04,1.01
206,2006,1.143,0.96,1.05,1.03,1.05,1.03
207,2007,0.293,0.98,1.07,1.05,1.07,1.05
208,2008,1.163,1.01,1.08,1.07,1.09,1.07
209,2009,1.233,1.04,1.1,1.09,1.1,1.09
210,2010,0.663,1.07,1.12,1.11,1.12,1.11
211,2011,0.893,1.1,1.14,1.13,1.14,1.13
212,2012,1.2930000000000001,1.14,1.16,1.16,1.16,1.15
213,2013,1.143,1.18,1.18,1.18,1.18,1.18
214,2014,1.263,1.22,1.2,1.21,1.2,1.2
215,2015,1.5030000000000001,1.26,1.22,1.24,1.22,1.23
216,2016,1.0230000000000001,1.3,1.24,1.26,1.24,1.26
217,2017,1.573,1.34,1.27,1.28,1.26,1.28
218,2018,1.2730000000000001,1.38,1.29,1.3,1.29,1.31
219,2019,1.2530000000000001,1.42,1.31,1.33,1.31,1.34
220,2020,1.573,1.46,1.34,1.35,1.33,1.37
221,2021,,,1.36,1.37,1.36,1.39
222,2022,,,1.39,1.4,1.38,1.42
223,2023,,,1.41,1.42,1.41,1.45
224,2024,,,1.43,1.44,1.43,1.48
225,2025,,,1.46,1.47,1.45,1.51
226,2026,,,1.48,1.49,1.48,1.54
227,2027,,,1.5,1.51,1.5,1.57
228,2028,,,1.52,1.53,1.53,1.61
229,2029,,,1.54,1.55,1.55,1.64
230,2030,,,1.57,1.57,1.58,1.67
231,2031,,,1.58,1.59,1.6,1.7
232,2032,,,1.6,1.61,1.63,1.74
233,2033,,,1.62,1.63,1.66,1.77
234,2034,,,1.63,1.65,1.69,1.8
235,2035,,,1.64,1.67,1.71,1.83
236,2036,,,1.65,1.69,1.74,1.87
237,2037,,,1.67,1.71,1.77,1.9
238,2038,,,1.68,1.73,1.8,1.93
239,2039,,,1.69,1.75,1.83,1.97
240,2040,,,1.7,1.77,1.87,2.0
241,2041,,,1.71,1.79,1.9,2.04
242,2042,,,1.72,1.82,1.94,2.08
243,2043,,,1.73,1.84,1.97,2.11
244,2044,,,1.74,1.86,2.01,2.15
245,2045,,,1.75,1.89,2.04,2.19
246,2046,,,1.76,1.91,2.07,2.23
247,2047,,,1.76,1.94,2.1,2.27
248,2048,,,1.77,1.96,2.13,2.31
249,2049,,,1.78,1.98,2.16,2.35
250,2050,,,1.79,2.01,2.19,2.39
251,2051,,,1.8,2.03,2.22,2.44
252,2052,,,1.8,2.05,2.25,2.48
253,2053,,,1.81,2.08,2.28,2.53
254,2054,,,1.81,2.1,2.31,2.58
255,2055,,,1.82,2.12,2.34,2.62
256,2056,,,1.82,2.14,2.37,2.67
257,2057,,,1.83,2.16,2.4,2.72
258,2058,,,1.83,2.19,2.42,2.76
259,2059,,,1.83,2.21,2.46,2.8
260,2060,,,1.84,2.22,2.49,2.84
261,2061,,,1.84,2.24,2.52,2.89
262,2062,,,1.84,2.26,2.56,2.94
263,2063,,,1.84,2.28,2.59,2.98
264,2064,,,1.85,2.3,2.63,3.03
265,2065,,,1.85,2.32,2.66,3.08
266,2066,,,1.85,2.34,2.7,3.12
267,2067,,,1.85,2.36,2.74,3.17
268,2068,,,1.85,2.38,2.77,3.21
269,2069,,,1.85,2.39,2.8,3.26
270,2070,,,1.85,2.41,2.84,3.3
271,2071,,,1.85,2.42,2.87,3.35
272,2072,,,1.85,2.44,2.91,3.39
273,2073,,,1.85,2.45,2.94,3.44
274,2074,,,1.85,2.47,2.98,3.49
275,2075,,,1.85,2.48,3.01,3.54
276,2076,,,1.85,2.49,3.05,3.59
277,2077,,,1.84,2.51,3.08,3.64
278,2078,,,1.84,2.52,3.11,3.68
279,2079,,,1.83,2.53,3.15,3.74
280,2080,,,1.83,2.54,3.18,3.79
281,2081,,,1.82,2.55,3.21,3.83
282,2082,,,1.82,2.56,3.24,3.88
283,2083,,,1.81,2.57,3.27,3.93
284,2084,,,1.81,2.58,3.31,3.98
285,2085,,,1.8,2.6,3.34,4.03
286,2086,,,1.8,2.61,3.38,4.08
287,2087,,,1.8,2.62,3.42,4.13
288,2088,,,1.79,2.63,3.45,4.18
289,2089,,,1.78,2.64,3.49,4.23
290,2090,,,1.78,2.65,3.53,4.28
291,2091,,,1.77,2.66,3.57,4.33
292,2092,,,1.77,2.67,3.6,4.38
293,2093,,,1.76,2.68,3.64,4.43
294,2094,,,1.76,2.69,3.68,4.47
295,2095,,,1.75,2.7,3.71,4.52
296,2096,,,1.75,2.71,3.75,4.57
297,2097,,,1.74,2.72,3.79,4.61
298,2098,,,1.74,2.73,3.82,4.66
299,2099,,,1.73,2.74,3.86,4.7
300,2100,,,1.73,2.75,3.9,4.76
