Taiwan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
97,1897,0.14387096774193553,-0.21,0.46,0.46,0.5,0.46
98,1898,0.003870967741935516,-0.22,0.47,0.47,0.51,0.46
99,1899,-0.4261290322580644,-0.22,0.47,0.47,0.51,0.47
100,1900,-0.08612903225806445,-0.22,0.47,0.48,0.52,0.47
101,1901,-0.46612903225806446,-0.23,0.48,0.48,0.52,0.47
102,1902,0.10387096774193555,-0.23,0.48,0.48,0.52,0.48
103,1903,-0.4961290322580645,-0.23,0.48,0.48,0.52,0.48
104,1904,-0.6361290322580645,-0.23,0.48,0.48,0.52,0.47
105,1905,-0.2861290322580645,-0.23,0.47,0.48,0.51,0.47
106,1906,-0.05612903225806448,-0.22,0.47,0.47,0.5,0.47
107,1907,-0.23612903225806448,-0.2,0.46,0.47,0.5,0.46
108,1908,-0.1461290322580645,-0.18,0.46,0.46,0.49,0.45
109,1909,0.13387096774193552,-0.15,0.45,0.46,0.49,0.45
110,1910,-0.21612903225806446,-0.12,0.45,0.45,0.49,0.45
111,1911,-0.20612903225806445,-0.1,0.45,0.45,0.48,0.45
112,1912,-0.1461290322580645,-0.1,0.45,0.45,0.49,0.45
113,1913,-0.17612903225806442,-0.11,0.45,0.46,0.49,0.45
114,1914,0.22387096774193552,-0.13,0.45,0.46,0.49,0.45
115,1915,0.5038709677419355,-0.14,0.45,0.46,0.49,0.45
116,1916,-0.016129032258064446,-0.15,0.46,0.46,0.5,0.46
117,1917,-0.9361290322580645,-0.16,0.46,0.47,0.5,0.46
118,1918,-0.6361290322580645,-0.17,0.46,0.47,0.51,0.46
119,1919,-0.18612903225806443,-0.19,0.47,0.48,0.51,0.47
120,1920,-0.22612903225806447,-0.22,0.48,0.48,0.52,0.48
121,1921,-0.2861290322580645,-0.24,0.48,0.49,0.53,0.48
122,1922,-0.026129032258064455,-0.26,0.49,0.5,0.54,0.49
123,1923,-0.23612903225806448,-0.25,0.5,0.51,0.55,0.5
124,1924,-0.19612903225806444,-0.22,0.51,0.52,0.56,0.51
125,1925,-0.5761290322580644,-0.19,0.52,0.53,0.57,0.52
126,1926,-0.2561290322580645,-0.16,0.53,0.53,0.57,0.53
127,1927,-0.44612903225806444,-0.14,0.54,0.54,0.58,0.53
128,1928,0.003870967741935516,-0.12,0.54,0.55,0.59,0.54
129,1929,-0.05612903225806448,-0.09,0.55,0.56,0.6,0.55
130,1930,0.23387096774193553,-0.06,0.56,0.57,0.6,0.56
131,1931,0.28387096774193554,-0.02,0.57,0.57,0.61,0.57
132,1932,-0.23612903225806448,0.02,0.58,0.58,0.62,0.57
133,1933,0.13387096774193552,0.06,0.58,0.59,0.62,0.58
134,1934,-0.2661290322580645,0.09,0.59,0.59,0.62,0.58
135,1935,0.20387096774193553,0.11,0.6,0.6,0.63,0.59
136,1936,-0.08612903225806445,0.13,0.6,0.6,0.63,0.59
137,1937,0.5138709677419355,0.15,0.6,0.6,0.63,0.6
138,1938,0.42387096774193556,0.17,0.61,0.61,0.64,0.6
139,1939,-0.10612903225806447,0.19,0.61,0.61,0.64,0.6
140,1940,-0.016129032258064446,0.21,0.61,0.61,0.64,0.6
141,1941,0.7238709677419355,0.22,0.61,0.61,0.64,0.61
142,1942,0.5238709677419355,0.24,0.62,0.62,0.65,0.61
143,1943,0.07387096774193552,0.25,0.62,0.62,0.65,0.61
144,1944,0.20387096774193553,0.26,0.62,0.62,0.65,0.62
145,1945,-0.1461290322580645,0.27,0.63,0.63,0.65,0.62
146,1946,0.7338709677419355,0.29,0.63,0.63,0.65,0.62
147,1947,-0.1361290322580645,0.32,0.63,0.63,0.65,0.62
148,1948,0.4338709677419355,0.34,0.63,0.63,0.65,0.62
149,1949,0.5138709677419355,0.36,0.63,0.63,0.65,0.62
150,1950,0.18387096774193554,0.38,0.63,0.63,0.66,0.62
151,1951,0.29387096774193555,0.39,0.63,0.63,0.66,0.62
152,1952,0.7238709677419355,0.41,0.63,0.64,0.66,0.62
153,1953,0.5738709677419356,0.42,0.63,0.64,0.66,0.62
154,1954,0.7738709677419355,0.43,0.63,0.64,0.66,0.62
155,1955,0.16387096774193552,0.45,0.63,0.64,0.66,0.62
156,1956,0.3138709677419355,0.45,0.62,0.63,0.65,0.62
157,1957,0.23387096774193553,0.45,0.62,0.63,0.65,0.61
158,1958,0.3838709677419355,0.44,0.61,0.62,0.64,0.61
159,1959,0.6838709677419355,0.43,0.6,0.62,0.64,0.6
160,1960,0.6538709677419355,0.42,0.59,0.61,0.63,0.59
161,1961,0.6038709677419355,0.42,0.58,0.6,0.62,0.58
162,1962,0.14387096774193553,0.41,0.58,0.6,0.62,0.58
163,1963,0.17387096774193553,0.39,0.57,0.59,0.61,0.57
164,1964,0.5538709677419356,0.37,0.57,0.59,0.6,0.56
165,1965,0.3738709677419355,0.34,0.56,0.58,0.6,0.56
166,1966,0.8338709677419356,0.31,0.56,0.58,0.6,0.56
167,1967,0.14387096774193553,0.29,0.55,0.57,0.59,0.55
168,1968,-0.1261290322580645,0.29,0.55,0.57,0.59,0.55
169,1969,0.21387096774193554,0.28,0.54,0.56,0.59,0.55
170,1970,0.28387096774193554,0.28,0.54,0.56,0.58,0.54
171,1971,0.09387096774193554,0.28,0.54,0.56,0.59,0.55
172,1972,0.21387096774193554,0.29,0.55,0.56,0.59,0.55
173,1973,0.5738709677419356,0.31,0.56,0.57,0.6,0.56
174,1974,0.3138709677419355,0.33,0.56,0.58,0.61,0.57
175,1975,0.46387096774193554,0.36,0.57,0.58,0.61,0.57
176,1976,0.023870967741935534,0.38,0.58,0.59,0.62,0.58
177,1977,0.6438709677419355,0.39,0.59,0.6,0.63,0.59
178,1978,0.3838709677419355,0.4,0.59,0.6,0.64,0.59
179,1979,0.47387096774193554,0.4,0.6,0.61,0.64,0.6
180,1980,0.5938709677419356,0.4,0.61,0.62,0.65,0.61
181,1981,0.3238709677419355,0.39,0.61,0.62,0.66,0.61
182,1982,0.33387096774193553,0.39,0.62,0.63,0.67,0.62
183,1983,0.6238709677419355,0.4,0.63,0.64,0.68,0.63
184,1984,0.1138709677419355,0.4,0.64,0.66,0.69,0.64
185,1985,0.27387096774193553,0.41,0.65,0.67,0.7,0.65
186,1986,0.07387096774193552,0.43,0.66,0.68,0.71,0.66
187,1987,0.6638709677419355,0.44,0.67,0.69,0.72,0.68
188,1988,0.4938709677419355,0.47,0.69,0.71,0.73,0.69
189,1989,0.34387096774193554,0.5,0.7,0.73,0.75,0.71
190,1990,0.6538709677419355,0.53,0.72,0.75,0.77,0.73
191,1991,0.8038709677419356,0.56,0.75,0.78,0.79,0.75
192,1992,0.29387096774193555,0.6,0.77,0.8,0.81,0.78
193,1993,0.7038709677419355,0.64,0.8,0.83,0.84,0.8
194,1994,1.0238709677419355,0.68,0.83,0.85,0.86,0.83
195,1995,0.3838709677419355,0.72,0.85,0.88,0.89,0.86
196,1996,0.5638709677419356,0.77,0.88,0.9,0.91,0.88
197,1997,0.6738709677419356,0.82,0.9,0.93,0.93,0.91
198,1998,1.6438709677419356,0.86,0.92,0.95,0.96,0.93
199,1999,0.9038709677419355,0.9,0.95,0.98,0.98,0.96
200,2000,0.9038709677419355,0.94,0.98,1.0,1.01,0.99
201,2001,1.0538709677419356,0.98,1.0,1.03,1.04,1.01
202,2002,1.4138709677419357,1.02,1.03,1.05,1.07,1.04
203,2003,1.1638709677419357,1.06,1.06,1.08,1.09,1.07
204,2004,0.9538709677419356,1.08,1.08,1.1,1.12,1.09
205,2005,0.8138709677419356,1.08,1.11,1.12,1.14,1.12
206,2006,1.3138709677419356,1.07,1.13,1.14,1.16,1.14
207,2007,1.2838709677419355,1.07,1.15,1.16,1.18,1.16
208,2008,0.9438709677419356,1.07,1.17,1.18,1.2,1.18
209,2009,1.1738709677419354,1.08,1.2,1.21,1.22,1.2
210,2010,1.0438709677419356,1.1,1.22,1.23,1.24,1.23
211,2011,0.5238709677419355,1.14,1.25,1.25,1.26,1.25
212,2012,0.9038709677419355,1.18,1.28,1.28,1.28,1.28
213,2013,1.0838709677419356,1.25,1.31,1.31,1.3,1.31
214,2014,1.1638709677419357,1.31,1.34,1.34,1.33,1.33
215,2015,1.4838709677419355,1.38,1.37,1.36,1.35,1.36
216,2016,1.6238709677419356,1.45,1.4,1.39,1.37,1.39
217,2017,1.5838709677419356,1.53,1.42,1.41,1.4,1.42
218,2018,1.4438709677419355,1.61,1.45,1.44,1.43,1.45
219,2019,1.7538709677419355,1.69,1.48,1.46,1.45,1.47
220,2020,1.8638709677419354,1.77,1.5,1.49,1.48,1.5
221,2021,,,1.53,1.52,1.51,1.53
222,2022,,,1.55,1.54,1.54,1.57
223,2023,,,1.57,1.57,1.57,1.6
224,2024,,,1.59,1.59,1.6,1.62
225,2025,,,1.62,1.62,1.63,1.65
226,2026,,,1.64,1.64,1.65,1.68
227,2027,,,1.66,1.66,1.68,1.71
228,2028,,,1.68,1.69,1.71,1.74
229,2029,,,1.71,1.71,1.74,1.77
230,2030,,,1.73,1.73,1.77,1.8
231,2031,,,1.75,1.75,1.8,1.84
232,2032,,,1.76,1.77,1.82,1.87
233,2033,,,1.78,1.79,1.85,1.9
234,2034,,,1.8,1.81,1.87,1.94
235,2035,,,1.82,1.84,1.9,1.97
236,2036,,,1.83,1.86,1.92,2.01
237,2037,,,1.85,1.88,1.95,2.04
238,2038,,,1.86,1.9,1.98,2.07
239,2039,,,1.87,1.92,2.01,2.11
240,2040,,,1.88,1.95,2.04,2.15
241,2041,,,1.89,1.97,2.06,2.19
242,2042,,,1.9,1.99,2.09,2.22
243,2043,,,1.91,2.01,2.11,2.26
244,2044,,,1.92,2.03,2.14,2.3
245,2045,,,1.93,2.05,2.17,2.34
246,2046,,,1.94,2.07,2.2,2.37
247,2047,,,1.95,2.09,2.23,2.41
248,2048,,,1.95,2.11,2.25,2.44
249,2049,,,1.96,2.12,2.28,2.48
250,2050,,,1.97,2.14,2.31,2.51
251,2051,,,1.98,2.17,2.34,2.55
252,2052,,,1.98,2.18,2.37,2.59
253,2053,,,1.99,2.2,2.4,2.62
254,2054,,,2.0,2.22,2.43,2.66
255,2055,,,2.0,2.24,2.46,2.7
256,2056,,,2.01,2.26,2.48,2.73
257,2057,,,2.01,2.28,2.51,2.77
258,2058,,,2.02,2.29,2.54,2.81
259,2059,,,2.02,2.31,2.57,2.85
260,2060,,,2.03,2.32,2.6,2.88
261,2061,,,2.03,2.34,2.63,2.92
262,2062,,,2.03,2.36,2.66,2.96
263,2063,,,2.04,2.37,2.69,3.0
264,2064,,,2.04,2.39,2.72,3.04
265,2065,,,2.04,2.4,2.74,3.08
266,2066,,,2.04,2.41,2.77,3.12
267,2067,,,2.04,2.43,2.8,3.16
268,2068,,,2.04,2.44,2.83,3.2
269,2069,,,2.05,2.46,2.85,3.25
270,2070,,,2.04,2.47,2.88,3.29
271,2071,,,2.04,2.49,2.92,3.33
272,2072,,,2.04,2.51,2.95,3.37
273,2073,,,2.04,2.52,2.98,3.41
274,2074,,,2.04,2.54,3.02,3.46
275,2075,,,2.04,2.56,3.05,3.5
276,2076,,,2.04,2.57,3.08,3.54
277,2077,,,2.03,2.59,3.12,3.58
278,2078,,,2.03,2.6,3.15,3.62
279,2079,,,2.03,2.61,3.18,3.67
280,2080,,,2.02,2.62,3.22,3.71
281,2081,,,2.02,2.63,3.25,3.75
282,2082,,,2.02,2.65,3.28,3.8
283,2083,,,2.01,2.66,3.31,3.84
284,2084,,,2.01,2.67,3.35,3.88
285,2085,,,2.0,2.68,3.38,3.93
286,2086,,,2.0,2.68,3.41,3.97
287,2087,,,2.0,2.69,3.44,4.01
288,2088,,,2.0,2.7,3.47,4.06
289,2089,,,2.0,2.71,3.5,4.11
290,2090,,,2.0,2.72,3.53,4.15
291,2091,,,1.99,2.73,3.57,4.19
292,2092,,,1.99,2.74,3.6,4.24
293,2093,,,1.99,2.75,3.63,4.28
294,2094,,,1.98,2.76,3.66,4.32
295,2095,,,1.98,2.77,3.69,4.37
296,2096,,,1.98,2.78,3.72,4.41
297,2097,,,1.98,2.78,3.76,4.45
298,2098,,,1.98,2.79,3.79,4.49
299,2099,,,1.97,2.8,3.82,4.53
300,2100,,,1.97,2.81,3.85,4.58
