Peru,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
101,1901,0.2987096774193549,0.21,0.14,0.13,0.15,0.12
102,1902,0.3187096774193549,0.2,0.14,0.13,0.16,0.12
103,1903,0.058709677419354955,0.18,0.14,0.13,0.16,0.12
104,1904,0.048709677419354946,0.17,0.14,0.13,0.16,0.12
105,1905,0.5187096774193549,0.16,0.15,0.14,0.16,0.12
106,1906,0.2387096774193549,0.16,0.15,0.14,0.17,0.13
107,1907,-0.011290322580645107,0.17,0.15,0.14,0.17,0.13
108,1908,-0.09129032258064507,0.18,0.15,0.14,0.17,0.13
109,1909,-0.1412903225806451,0.18,0.15,0.14,0.17,0.13
110,1910,-0.4712903225806452,0.19,0.16,0.15,0.18,0.14
111,1911,0.16870967741935494,0.19,0.16,0.15,0.18,0.14
112,1912,0.4987096774193549,0.2,0.17,0.16,0.19,0.15
113,1913,0.3787096774193549,0.21,0.18,0.17,0.2,0.16
114,1914,0.5387096774193549,0.21,0.19,0.18,0.21,0.17
115,1915,0.6287096774193549,0.23,0.19,0.19,0.22,0.18
116,1916,-0.2612903225806451,0.24,0.2,0.2,0.23,0.18
117,1917,-0.32129032258064505,0.24,0.21,0.2,0.23,0.19
118,1918,0.1887096774193549,0.24,0.21,0.21,0.23,0.19
119,1919,0.558709677419355,0.24,0.22,0.21,0.24,0.2
120,1920,0.1787096774193549,0.23,0.22,0.22,0.25,0.21
121,1921,-0.08129032258064506,0.23,0.23,0.23,0.25,0.22
122,1922,0.1887096774193549,0.23,0.24,0.24,0.26,0.22
123,1923,0.20870967741935492,0.25,0.24,0.24,0.27,0.23
124,1924,0.1787096774193549,0.26,0.25,0.25,0.27,0.24
125,1925,0.3287096774193549,0.28,0.26,0.25,0.28,0.24
126,1926,0.7087096774193549,0.29,0.26,0.26,0.28,0.24
127,1927,0.3287096774193549,0.3,0.27,0.26,0.29,0.25
128,1928,0.4987096774193549,0.3,0.27,0.27,0.29,0.26
129,1929,-0.06129032258064504,0.31,0.28,0.27,0.3,0.26
130,1930,0.34870967741935494,0.32,0.29,0.28,0.31,0.27
131,1931,0.4687096774193549,0.33,0.3,0.29,0.32,0.28
132,1932,0.42870967741935495,0.34,0.31,0.3,0.33,0.29
133,1933,0.1187096774193549,0.36,0.32,0.31,0.33,0.3
134,1934,0.07870967741935486,0.38,0.33,0.31,0.34,0.3
135,1935,0.2487096774193549,0.41,0.33,0.32,0.35,0.31
136,1936,0.4687096774193549,0.44,0.34,0.33,0.36,0.32
137,1937,0.4987096774193549,0.47,0.35,0.34,0.37,0.33
138,1938,0.2387096774193549,0.5,0.36,0.34,0.37,0.33
139,1939,0.818709677419355,0.52,0.36,0.35,0.38,0.34
140,1940,0.8887096774193549,0.54,0.37,0.36,0.38,0.35
141,1941,1.098709677419355,0.56,0.38,0.36,0.39,0.35
142,1942,0.558709677419355,0.58,0.38,0.37,0.4,0.36
143,1943,0.5887096774193549,0.59,0.39,0.38,0.4,0.36
144,1944,0.6287096774193549,0.59,0.39,0.38,0.4,0.37
145,1945,0.5887096774193549,0.58,0.4,0.38,0.41,0.37
146,1946,0.568709677419355,0.57,0.4,0.39,0.41,0.38
147,1947,0.5087096774193549,0.55,0.4,0.39,0.41,0.38
148,1948,0.568709677419355,0.53,0.4,0.39,0.41,0.38
149,1949,0.41870967741935494,0.51,0.4,0.39,0.41,0.38
150,1950,0.1287096774193549,0.51,0.4,0.39,0.41,0.38
151,1951,0.5987096774193549,0.51,0.4,0.4,0.41,0.39
152,1952,0.558709677419355,0.52,0.41,0.4,0.41,0.39
153,1953,0.7787096774193549,0.53,0.41,0.4,0.41,0.39
154,1954,0.3287096774193549,0.54,0.41,0.4,0.41,0.4
155,1955,0.2387096774193549,0.55,0.42,0.4,0.41,0.4
156,1956,0.06870967741935496,0.56,0.42,0.4,0.41,0.4
157,1957,0.8887096774193549,0.57,0.42,0.4,0.41,0.4
158,1958,0.9887096774193549,0.58,0.41,0.4,0.41,0.39
159,1959,0.798709677419355,0.59,0.41,0.39,0.4,0.39
160,1960,0.5087096774193549,0.6,0.4,0.39,0.39,0.38
161,1961,0.6287096774193549,0.61,0.4,0.39,0.39,0.38
162,1962,0.4787096774193549,0.62,0.4,0.38,0.39,0.38
163,1963,0.6687096774193549,0.63,0.4,0.38,0.39,0.37
164,1964,0.4787096774193549,0.63,0.39,0.38,0.39,0.37
165,1965,0.7687096774193549,0.62,0.39,0.39,0.39,0.37
166,1966,0.7287096774193549,0.62,0.39,0.39,0.39,0.38
167,1967,0.4787096774193549,0.63,0.39,0.39,0.39,0.38
168,1968,0.4487096774193549,0.63,0.39,0.39,0.4,0.38
169,1969,1.098709677419355,0.63,0.4,0.4,0.4,0.38
170,1970,0.6287096774193549,0.63,0.4,0.4,0.41,0.38
171,1971,0.27870967741935493,0.64,0.41,0.41,0.42,0.39
172,1972,0.9887096774193549,0.65,0.42,0.42,0.43,0.4
173,1973,0.808709677419355,0.67,0.43,0.43,0.45,0.42
174,1974,0.4687096774193549,0.68,0.44,0.45,0.46,0.43
175,1975,0.3787096774193549,0.7,0.46,0.46,0.48,0.44
176,1976,0.578709677419355,0.72,0.47,0.47,0.49,0.46
177,1977,0.8787096774193549,0.74,0.48,0.48,0.51,0.47
178,1978,0.7387096774193549,0.75,0.5,0.49,0.52,0.48
179,1979,0.9087096774193549,0.77,0.51,0.5,0.53,0.49
180,1980,1.008709677419355,0.78,0.52,0.51,0.54,0.5
181,1981,0.7087096774193549,0.8,0.53,0.53,0.55,0.51
182,1982,0.9787096774193549,0.81,0.54,0.54,0.57,0.53
183,1983,1.918709677419355,0.83,0.56,0.55,0.58,0.54
184,1984,0.7887096774193549,0.85,0.57,0.56,0.59,0.56
185,1985,0.6187096774193549,0.87,0.58,0.57,0.61,0.57
186,1986,0.688709677419355,0.89,0.6,0.59,0.62,0.58
187,1987,1.4287096774193548,0.91,0.61,0.6,0.63,0.6
188,1988,0.9087096774193549,0.93,0.63,0.62,0.64,0.61
189,1989,0.6287096774193549,0.96,0.65,0.63,0.65,0.63
190,1990,0.8887096774193549,1.0,0.67,0.65,0.67,0.65
191,1991,1.108709677419355,1.03,0.69,0.68,0.69,0.67
192,1992,1.4787096774193549,1.06,0.71,0.7,0.71,0.69
193,1993,1.128709677419355,1.08,0.74,0.72,0.74,0.72
194,1994,1.1587096774193548,1.09,0.77,0.75,0.76,0.74
195,1995,1.358709677419355,1.09,0.79,0.78,0.79,0.77
196,1996,0.7687096774193549,1.1,0.82,0.8,0.82,0.79
197,1997,1.558709677419355,1.1,0.84,0.83,0.84,0.82
198,1998,1.778709677419355,1.1,0.87,0.86,0.87,0.85
199,1999,0.6587096774193549,1.1,0.9,0.89,0.9,0.88
200,2000,0.8787096774193549,1.09,0.93,0.92,0.93,0.91
201,2001,0.8687096774193549,1.08,0.96,0.96,0.97,0.94
202,2002,1.2187096774193549,1.07,1.0,0.99,1.0,0.98
203,2003,1.2087096774193549,1.06,1.03,1.03,1.04,1.01
204,2004,1.098709677419355,1.07,1.06,1.06,1.07,1.04
205,2005,1.078709677419355,1.08,1.09,1.09,1.11,1.08
206,2006,1.168709677419355,1.1,1.12,1.12,1.14,1.11
207,2007,0.808709677419355,1.12,1.15,1.16,1.17,1.14
208,2008,0.9187096774193549,1.15,1.18,1.19,1.2,1.17
209,2009,1.238709677419355,1.18,1.21,1.22,1.22,1.2
210,2010,1.358709677419355,1.21,1.24,1.25,1.25,1.24
211,2011,1.098709677419355,1.25,1.27,1.28,1.28,1.27
212,2012,1.288709677419355,1.29,1.31,1.31,1.31,1.3
213,2013,1.128709677419355,1.33,1.34,1.34,1.34,1.34
214,2014,1.308709677419355,1.37,1.37,1.37,1.37,1.38
215,2015,1.758709677419355,1.41,1.41,1.41,1.41,1.42
216,2016,1.858709677419355,1.46,1.44,1.44,1.43,1.45
217,2017,1.4487096774193549,1.51,1.48,1.47,1.46,1.49
218,2018,1.1587096774193548,1.55,1.51,1.5,1.49,1.52
219,2019,1.418709677419355,1.6,1.54,1.53,1.52,1.56
220,2020,1.8887096774193548,1.64,1.57,1.57,1.55,1.59
221,2021,,,1.6,1.6,1.58,1.63
222,2022,,,1.63,1.63,1.61,1.67
223,2023,,,1.65,1.66,1.64,1.71
224,2024,,,1.68,1.69,1.67,1.75
225,2025,,,1.71,1.72,1.7,1.79
226,2026,,,1.74,1.75,1.73,1.83
227,2027,,,1.77,1.78,1.76,1.87
228,2028,,,1.79,1.81,1.79,1.92
229,2029,,,1.82,1.84,1.83,1.96
230,2030,,,1.85,1.87,1.86,2.0
231,2031,,,1.87,1.9,1.89,2.04
232,2032,,,1.89,1.93,1.93,2.08
233,2033,,,1.92,1.95,1.96,2.13
234,2034,,,1.94,1.98,2.0,2.17
235,2035,,,1.96,2.0,2.03,2.21
236,2036,,,1.98,2.03,2.07,2.26
237,2037,,,2.0,2.06,2.11,2.3
238,2038,,,2.02,2.09,2.14,2.34
239,2039,,,2.04,2.12,2.18,2.39
240,2040,,,2.06,2.14,2.22,2.44
241,2041,,,2.07,2.17,2.26,2.49
242,2042,,,2.09,2.2,2.3,2.53
243,2043,,,2.11,2.23,2.34,2.58
244,2044,,,2.12,2.26,2.38,2.63
245,2045,,,2.13,2.28,2.42,2.67
246,2046,,,2.14,2.31,2.47,2.72
247,2047,,,2.15,2.34,2.51,2.77
248,2048,,,2.16,2.37,2.55,2.81
249,2049,,,2.17,2.39,2.58,2.86
250,2050,,,2.17,2.42,2.63,2.91
251,2051,,,2.18,2.45,2.67,2.96
252,2052,,,2.19,2.48,2.71,3.01
253,2053,,,2.2,2.51,2.75,3.07
254,2054,,,2.21,2.53,2.8,3.12
255,2055,,,2.21,2.56,2.84,3.17
256,2056,,,2.22,2.58,2.88,3.22
257,2057,,,2.22,2.61,2.92,3.28
258,2058,,,2.23,2.63,2.96,3.34
259,2059,,,2.23,2.65,3.0,3.39
260,2060,,,2.24,2.68,3.04,3.44
261,2061,,,2.25,2.7,3.09,3.5
262,2062,,,2.25,2.72,3.13,3.57
263,2063,,,2.25,2.74,3.18,3.63
264,2064,,,2.25,2.76,3.22,3.69
265,2065,,,2.26,2.78,3.27,3.74
266,2066,,,2.25,2.8,3.31,3.81
267,2067,,,2.25,2.82,3.36,3.86
268,2068,,,2.25,2.84,3.4,3.92
269,2069,,,2.25,2.85,3.44,3.98
270,2070,,,2.25,2.87,3.48,4.03
271,2071,,,2.24,2.89,3.53,4.09
272,2072,,,2.24,2.91,3.57,4.15
273,2073,,,2.24,2.92,3.62,4.21
274,2074,,,2.23,2.95,3.66,4.27
275,2075,,,2.23,2.96,3.7,4.33
276,2076,,,2.23,2.98,3.75,4.39
277,2077,,,2.22,3.0,3.8,4.45
278,2078,,,2.22,3.02,3.84,4.51
279,2079,,,2.22,3.04,3.89,4.57
280,2080,,,2.21,3.05,3.93,4.63
281,2081,,,2.21,3.07,3.98,4.68
282,2082,,,2.21,3.09,4.02,4.75
283,2083,,,2.2,3.1,4.07,4.81
284,2084,,,2.19,3.12,4.11,4.87
285,2085,,,2.19,3.14,4.16,4.93
286,2086,,,2.18,3.16,4.21,4.99
287,2087,,,2.18,3.17,4.26,5.05
288,2088,,,2.17,3.19,4.31,5.11
289,2089,,,2.17,3.2,4.36,5.16
290,2090,,,2.17,3.21,4.41,5.22
291,2091,,,2.16,3.22,4.46,5.27
292,2092,,,2.16,3.23,4.51,5.33
293,2093,,,2.16,3.25,4.56,5.38
294,2094,,,2.15,3.26,4.6,5.44
295,2095,,,2.15,3.27,4.65,5.49
296,2096,,,2.15,3.28,4.7,5.55
297,2097,,,2.15,3.29,4.75,5.6
298,2098,,,2.14,3.3,4.8,5.65
299,2099,,,2.14,3.31,4.84,5.7
300,2100,,,2.14,3.33,4.89,5.76
