Montenegro,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
71,1871,-0.5741935483870968,0.07,0.53,0.52,0.57,0.51
72,1872,1.0358064516129033,0.05,0.53,0.52,0.57,0.51
73,1873,0.5758064516129033,0.04,0.53,0.52,0.57,0.51
74,1874,-0.35419354838709666,0.02,0.53,0.52,0.57,0.51
75,1875,-0.8641935483870966,0.01,0.53,0.52,0.57,0.51
76,1876,0.1958064516129033,-0.01,0.53,0.52,0.57,0.5
77,1877,0.06580645161290327,-0.02,0.52,0.51,0.57,0.5
78,1878,0.2158064516129033,-0.03,0.51,0.5,0.56,0.49
79,1879,-0.1441935483870967,-0.04,0.5,0.49,0.55,0.48
80,1880,0.1858064516129033,-0.05,0.49,0.48,0.54,0.47
81,1881,-0.3941935483870967,-0.06,0.48,0.47,0.53,0.46
82,1882,0.4758064516129033,-0.07,0.46,0.46,0.52,0.45
83,1883,-0.49419354838709667,-0.09,0.45,0.45,0.51,0.44
84,1884,-0.6641935483870967,-0.1,0.44,0.44,0.5,0.43
85,1885,0.20580645161290329,-0.12,0.43,0.43,0.49,0.42
86,1886,0.2158064516129033,-0.14,0.42,0.42,0.49,0.42
87,1887,-0.004193548387096679,-0.15,0.41,0.42,0.48,0.41
88,1888,-0.5741935483870968,-0.15,0.41,0.41,0.47,0.4
89,1889,-0.3841935483870967,-0.15,0.4,0.4,0.47,0.4
90,1890,-0.044193548387096715,-0.14,0.4,0.4,0.46,0.4
91,1891,-0.24419354838709667,-0.12,0.4,0.4,0.46,0.39
92,1892,0.2658064516129033,-0.1,0.4,0.4,0.46,0.4
93,1893,-0.8441935483870966,-0.07,0.4,0.4,0.47,0.4
94,1894,0.0358064516129033,-0.04,0.4,0.41,0.47,0.4
95,1895,0.06580645161290327,-0.01,0.41,0.41,0.47,0.4
96,1896,-0.22419354838709665,0.02,0.4,0.41,0.47,0.4
97,1897,-0.024193548387096697,0.05,0.4,0.4,0.46,0.39
98,1898,0.6958064516129032,0.07,0.39,0.4,0.46,0.39
99,1899,0.06580645161290327,0.08,0.39,0.39,0.45,0.38
100,1900,0.7258064516129032,0.08,0.38,0.39,0.45,0.37
101,1901,-0.13419354838709668,0.08,0.38,0.38,0.44,0.37
102,1902,0.015806451612903283,0.08,0.37,0.37,0.43,0.36
103,1903,0.2758064516129033,0.07,0.36,0.36,0.42,0.35
104,1904,0.2458064516129033,0.05,0.35,0.35,0.41,0.34
105,1905,-0.22419354838709665,0.04,0.33,0.34,0.4,0.33
106,1906,-0.17419354838709672,0.01,0.33,0.34,0.39,0.32
107,1907,-0.10419354838709671,-0.01,0.32,0.33,0.38,0.32
108,1908,-0.24419354838709667,-0.03,0.32,0.33,0.38,0.32
109,1909,-0.024193548387096697,-0.03,0.33,0.34,0.39,0.33
110,1910,0.3358064516129033,-0.03,0.34,0.35,0.39,0.34
111,1911,0.1458064516129033,-0.01,0.36,0.37,0.41,0.35
112,1912,-0.4141935483870967,0.01,0.37,0.38,0.42,0.37
113,1913,-0.024193548387096697,0.04,0.39,0.4,0.44,0.39
114,1914,-0.5641935483870968,0.06,0.41,0.42,0.46,0.41
115,1915,0.1358064516129033,0.08,0.43,0.44,0.48,0.42
116,1916,1.1358064516129034,0.1,0.44,0.45,0.49,0.44
117,1917,0.20580645161290329,0.12,0.46,0.47,0.51,0.46
118,1918,0.3858064516129033,0.15,0.48,0.49,0.53,0.48
119,1919,-0.1641935483870967,0.18,0.49,0.5,0.55,0.49
120,1920,0.4058064516129033,0.23,0.51,0.52,0.57,0.5
121,1921,0.015806451612903283,0.27,0.52,0.52,0.58,0.51
122,1922,-0.0841935483870967,0.3,0.52,0.53,0.59,0.52
123,1923,1.0558064516129033,0.33,0.52,0.53,0.59,0.51
124,1924,-0.1641935483870967,0.34,0.52,0.53,0.59,0.51
125,1925,0.3158064516129033,0.34,0.51,0.52,0.58,0.51
126,1926,0.7458064516129033,0.35,0.51,0.52,0.58,0.5
127,1927,1.2458064516129033,0.36,0.5,0.51,0.57,0.5
128,1928,0.5658064516129033,0.38,0.5,0.51,0.57,0.49
129,1929,-0.5241935483870968,0.4,0.49,0.51,0.57,0.49
130,1930,0.8258064516129033,0.42,0.49,0.5,0.56,0.48
131,1931,0.10580645161290331,0.43,0.49,0.5,0.56,0.48
132,1932,-0.034193548387096706,0.43,0.48,0.5,0.55,0.48
133,1933,-0.8141935483870966,0.42,0.48,0.5,0.55,0.47
134,1934,1.0758064516129033,0.4,0.48,0.5,0.54,0.47
135,1935,0.3158064516129033,0.37,0.48,0.5,0.54,0.47
136,1936,0.8258064516129033,0.36,0.48,0.5,0.55,0.48
137,1937,0.8258064516129033,0.36,0.49,0.5,0.55,0.48
138,1938,-0.004193548387096679,0.37,0.5,0.51,0.56,0.49
139,1939,0.5658064516129033,0.38,0.51,0.52,0.56,0.49
140,1940,-1.1541935483870966,0.4,0.51,0.52,0.57,0.5
141,1941,-0.5641935483870968,0.41,0.52,0.53,0.58,0.51
142,1942,-0.19419354838709674,0.42,0.53,0.53,0.58,0.51
143,1943,0.9458064516129032,0.43,0.53,0.54,0.58,0.52
144,1944,0.02580645161290329,0.46,0.53,0.54,0.58,0.52
145,1945,0.4058064516129033,0.49,0.53,0.53,0.58,0.52
146,1946,1.1458064516129034,0.54,0.53,0.53,0.58,0.51
147,1947,0.9558064516129032,0.58,0.53,0.52,0.57,0.51
148,1948,0.3358064516129033,0.61,0.52,0.52,0.57,0.5
149,1949,0.1258064516129033,0.62,0.52,0.51,0.56,0.5
150,1950,1.5358064516129033,0.62,0.51,0.5,0.55,0.49
151,1951,1.4258064516129034,0.62,0.5,0.5,0.55,0.49
152,1952,1.1558064516129034,0.61,0.5,0.49,0.54,0.48
153,1953,0.3258064516129033,0.61,0.49,0.49,0.54,0.48
154,1954,-0.3041935483870967,0.6,0.49,0.48,0.53,0.47
155,1955,0.5558064516129033,0.59,0.48,0.48,0.53,0.47
156,1956,-0.5541935483870968,0.57,0.47,0.47,0.52,0.46
157,1957,0.6858064516129033,0.54,0.46,0.46,0.51,0.45
158,1958,0.8358064516129033,0.51,0.45,0.45,0.5,0.44
159,1959,0.0958064516129033,0.48,0.43,0.44,0.49,0.43
160,1960,0.8858064516129034,0.46,0.42,0.43,0.48,0.42
161,1961,0.8058064516129033,0.45,0.4,0.41,0.47,0.4
162,1962,0.3358064516129033,0.45,0.39,0.4,0.46,0.39
163,1963,0.4658064516129033,0.43,0.38,0.4,0.45,0.38
164,1964,0.1258064516129033,0.41,0.37,0.39,0.44,0.37
165,1965,-0.014193548387096688,0.38,0.35,0.38,0.43,0.36
166,1966,0.7858064516129033,0.35,0.34,0.36,0.41,0.35
167,1967,0.3358064516129033,0.32,0.32,0.35,0.4,0.33
168,1968,0.4058064516129033,0.3,0.31,0.33,0.38,0.32
169,1969,0.10580645161290331,0.28,0.29,0.32,0.37,0.3
170,1970,0.2658064516129033,0.26,0.28,0.31,0.36,0.29
171,1971,0.1758064516129033,0.25,0.28,0.31,0.36,0.29
172,1972,0.3358064516129033,0.24,0.28,0.31,0.36,0.29
173,1973,0.0358064516129033,0.23,0.28,0.31,0.36,0.29
174,1974,0.2958064516129033,0.22,0.29,0.31,0.37,0.3
175,1975,0.3858064516129033,0.22,0.3,0.32,0.38,0.31
176,1976,-0.45419354838709675,0.22,0.31,0.33,0.38,0.32
177,1977,0.7958064516129033,0.23,0.32,0.33,0.39,0.32
178,1978,-0.21419354838709675,0.24,0.33,0.34,0.4,0.33
179,1979,0.6258064516129034,0.26,0.34,0.36,0.42,0.35
180,1980,-0.3741935483870967,0.28,0.36,0.38,0.44,0.37
181,1981,0.1958064516129033,0.31,0.38,0.4,0.46,0.39
182,1982,0.7858064516129033,0.35,0.41,0.43,0.49,0.42
183,1983,0.3458064516129033,0.39,0.44,0.46,0.52,0.45
184,1984,0.1658064516129033,0.43,0.47,0.5,0.55,0.48
185,1985,0.3458064516129033,0.48,0.5,0.53,0.57,0.52
186,1986,0.7158064516129032,0.53,0.53,0.56,0.6,0.55
187,1987,0.5758064516129033,0.58,0.56,0.59,0.63,0.58
188,1988,0.7158064516129032,0.62,0.59,0.62,0.66,0.61
189,1989,0.5858064516129033,0.65,0.63,0.66,0.69,0.64
190,1990,1.2558064516129033,0.68,0.66,0.69,0.73,0.68
191,1991,0.06580645161290327,0.71,0.71,0.74,0.77,0.72
192,1992,0.9558064516129032,0.75,0.75,0.78,0.81,0.76
193,1993,0.8258064516129033,0.79,0.8,0.83,0.86,0.81
194,1994,1.8758064516129034,0.85,0.85,0.88,0.91,0.86
195,1995,0.4358064516129033,0.9,0.9,0.93,0.96,0.91
196,1996,0.37580645161290327,0.95,0.94,0.97,1.0,0.95
197,1997,0.6358064516129033,1.0,0.99,1.02,1.05,1.0
198,1998,0.9958064516129033,1.04,1.04,1.06,1.1,1.05
199,1999,1.3058064516129033,1.08,1.09,1.11,1.15,1.1
200,2000,1.6358064516129034,1.11,1.14,1.16,1.2,1.15
201,2001,1.3958064516129034,1.16,1.2,1.22,1.26,1.2
202,2002,1.5458064516129033,1.21,1.25,1.27,1.31,1.26
203,2003,1.3958064516129034,1.27,1.31,1.32,1.37,1.31
204,2004,0.9958064516129033,1.32,1.36,1.37,1.41,1.36
205,2005,0.3158064516129033,1.36,1.4,1.42,1.46,1.41
206,2006,0.7658064516129033,1.4,1.45,1.46,1.5,1.45
207,2007,1.7458064516129033,1.43,1.49,1.5,1.54,1.5
208,2008,1.7358064516129033,1.46,1.54,1.54,1.58,1.54
209,2009,1.5658064516129033,1.51,1.58,1.58,1.61,1.58
210,2010,1.3758064516129034,1.56,1.62,1.62,1.65,1.62
211,2011,1.4758064516129032,1.62,1.66,1.66,1.68,1.66
212,2012,1.7858064516129033,1.68,1.71,1.7,1.71,1.71
213,2013,1.8758064516129034,1.74,1.75,1.74,1.74,1.75
214,2014,1.9158064516129034,1.8,1.79,1.79,1.78,1.79
215,2015,1.9658064516129035,1.86,1.84,1.83,1.81,1.83
216,2016,1.6858064516129034,1.92,1.88,1.87,1.84,1.87
217,2017,1.6258064516129034,1.98,1.92,1.91,1.87,1.91
218,2018,2.415806451612903,2.03,1.95,1.95,1.91,1.95
219,2019,2.2558064516129033,2.09,1.99,1.99,1.94,1.99
220,2020,1.9258064516129034,2.15,2.03,2.03,1.98,2.03
221,2021,,,2.06,2.07,2.02,2.07
222,2022,,,2.1,2.11,2.06,2.11
223,2023,,,2.12,2.15,2.09,2.15
224,2024,,,2.15,2.19,2.13,2.19
225,2025,,,2.18,2.22,2.17,2.23
226,2026,,,2.2,2.26,2.21,2.28
227,2027,,,2.22,2.29,2.25,2.32
228,2028,,,2.25,2.33,2.3,2.36
229,2029,,,2.27,2.36,2.34,2.4
230,2030,,,2.29,2.39,2.39,2.45
231,2031,,,2.31,2.42,2.43,2.49
232,2032,,,2.33,2.45,2.47,2.54
233,2033,,,2.35,2.48,2.51,2.58
234,2034,,,2.36,2.5,2.54,2.63
235,2035,,,2.38,2.52,2.58,2.68
236,2036,,,2.4,2.55,2.61,2.73
237,2037,,,2.42,2.57,2.65,2.78
238,2038,,,2.45,2.6,2.69,2.83
239,2039,,,2.47,2.62,2.72,2.88
240,2040,,,2.5,2.65,2.76,2.93
241,2041,,,2.52,2.68,2.81,2.98
242,2042,,,2.54,2.7,2.85,3.03
243,2043,,,2.56,2.73,2.89,3.08
244,2044,,,2.58,2.76,2.93,3.14
245,2045,,,2.59,2.78,2.97,3.19
246,2046,,,2.61,2.81,3.01,3.24
247,2047,,,2.62,2.84,3.05,3.3
248,2048,,,2.64,2.87,3.09,3.35
249,2049,,,2.65,2.89,3.13,3.41
250,2050,,,2.65,2.92,3.18,3.47
251,2051,,,2.66,2.95,3.22,3.52
252,2052,,,2.67,2.98,3.26,3.58
253,2053,,,2.67,3.0,3.3,3.64
254,2054,,,2.68,3.03,3.34,3.7
255,2055,,,2.68,3.05,3.38,3.75
256,2056,,,2.69,3.08,3.42,3.81
257,2057,,,2.69,3.1,3.46,3.87
258,2058,,,2.69,3.12,3.5,3.93
259,2059,,,2.7,3.15,3.54,3.98
260,2060,,,2.7,3.17,3.58,4.03
261,2061,,,2.71,3.19,3.62,4.09
262,2062,,,2.71,3.21,3.66,4.15
263,2063,,,2.71,3.23,3.71,4.21
264,2064,,,2.71,3.25,3.75,4.27
265,2065,,,2.71,3.27,3.8,4.33
266,2066,,,2.71,3.29,3.85,4.39
267,2067,,,2.71,3.31,3.89,4.45
268,2068,,,2.71,3.33,3.94,4.51
269,2069,,,2.7,3.34,3.98,4.58
270,2070,,,2.7,3.36,4.03,4.64
271,2071,,,2.69,3.37,4.07,4.71
272,2072,,,2.69,3.39,4.12,4.77
273,2073,,,2.68,3.41,4.17,4.83
274,2074,,,2.67,3.43,4.22,4.9
275,2075,,,2.67,3.45,4.27,4.96
276,2076,,,2.66,3.46,4.32,5.02
277,2077,,,2.65,3.48,4.37,5.07
278,2078,,,2.65,3.5,4.42,5.13
279,2079,,,2.64,3.52,4.47,5.2
280,2080,,,2.64,3.54,4.52,5.26
281,2081,,,2.64,3.55,4.56,5.31
282,2082,,,2.64,3.57,4.6,5.38
283,2083,,,2.64,3.59,4.64,5.44
284,2084,,,2.64,3.6,4.69,5.51
285,2085,,,2.64,3.62,4.73,5.57
286,2086,,,2.64,3.64,4.78,5.64
287,2087,,,2.64,3.65,4.82,5.71
288,2088,,,2.64,3.66,4.88,5.78
289,2089,,,2.63,3.68,4.94,5.85
290,2090,,,2.63,3.69,4.99,5.93
291,2091,,,2.63,3.7,5.04,6.0
292,2092,,,2.63,3.72,5.1,6.07
293,2093,,,2.63,3.73,5.15,6.14
294,2094,,,2.62,3.74,5.21,6.21
295,2095,,,2.62,3.75,5.26,6.29
296,2096,,,2.62,3.76,5.31,6.36
297,2097,,,2.61,3.77,5.37,6.43
298,2098,,,2.61,3.78,5.42,6.49
299,2099,,,2.61,3.79,5.48,6.56
300,2100,,,2.61,3.8,5.54,6.64
