Canada,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
44,1844,-0.8838709677419355,-0.25,,,,
45,1845,-0.3838709677419355,-0.21,,,,
46,1846,0.9361290322580645,-0.19,,,,
47,1847,-0.04387096774193544,-0.16,,,,
48,1848,-0.29387096774193544,-0.14,,,,
49,1849,-0.5538709677419354,-0.11,,,,
50,1850,0.06612903225806455,-0.09,-0.42,-0.43,-0.4,-0.46
51,1851,0.2561290322580645,-0.06,-0.42,-0.43,-0.41,-0.46
52,1852,0.23612903225806453,-0.04,-0.42,-0.44,-0.41,-0.46
53,1853,0.03612903225806452,-0.03,-0.43,-0.44,-0.41,-0.46
54,1854,-0.1138709677419355,-0.03,-0.43,-0.44,-0.41,-0.46
55,1855,-0.32387096774193547,-0.04,-0.43,-0.44,-0.42,-0.46
56,1856,0.43612903225806454,-0.05,-0.43,-0.44,-0.42,-0.47
57,1857,-0.17387096774193544,-0.06,-0.43,-0.44,-0.42,-0.47
58,1858,-0.14387096774193542,-0.08,-0.43,-0.45,-0.43,-0.47
59,1859,-0.2638709677419354,-0.09,-0.44,-0.45,-0.43,-0.47
60,1860,0.4661290322580645,-0.1,-0.44,-0.45,-0.43,-0.47
61,1861,-0.2738709677419354,-0.1,-0.44,-0.45,-0.44,-0.47
62,1862,-0.8938709677419355,-0.09,-0.44,-0.45,-0.44,-0.47
63,1863,-0.2538709677419355,-0.07,-0.44,-0.45,-0.44,-0.47
64,1864,0.24612903225806454,-0.06,-0.44,-0.45,-0.44,-0.47
65,1865,0.11612903225806454,-0.05,-0.44,-0.45,-0.44,-0.47
66,1866,-0.2438709677419355,-0.04,-0.44,-0.46,-0.44,-0.48
67,1867,-0.023870967741935478,-0.03,-0.45,-0.46,-0.45,-0.48
68,1868,-0.15387096774193543,-0.03,-0.45,-0.46,-0.45,-0.48
69,1869,0.36612903225806454,-0.04,-0.45,-0.47,-0.45,-0.49
70,1870,0.6461290322580645,-0.06,-0.46,-0.47,-0.45,-0.49
71,1871,-0.21387096774193548,-0.08,-0.46,-0.47,-0.45,-0.49
72,1872,0.11612903225806454,-0.12,-0.46,-0.47,-0.45,-0.49
73,1873,-0.31387096774193546,-0.15,-0.46,-0.46,-0.44,-0.49
74,1874,-0.03387096774193549,-0.18,-0.46,-0.46,-0.44,-0.49
75,1875,-1.1038709677419356,-0.22,-0.45,-0.46,-0.43,-0.48
76,1876,-0.45387096774193547,-0.26,-0.45,-0.45,-0.42,-0.48
77,1877,1.1961290322580647,-0.31,-0.44,-0.44,-0.42,-0.47
78,1878,1.9261290322580646,-0.35,-0.44,-0.44,-0.41,-0.47
79,1879,-0.4038709677419354,-0.39,-0.43,-0.44,-0.41,-0.46
80,1880,-0.7238709677419354,-0.42,-0.44,-0.44,-0.41,-0.47
81,1881,0.10612903225806453,-0.43,-0.44,-0.45,-0.42,-0.48
82,1882,-0.28387096774193543,-0.44,-0.45,-0.46,-0.43,-0.49
83,1883,-0.8238709677419355,-0.44,-0.46,-0.47,-0.44,-0.5
84,1884,-0.9438709677419356,-0.43,-0.47,-0.48,-0.45,-0.51
85,1885,-0.023870967741935478,-0.41,-0.47,-0.49,-0.45,-0.51
86,1886,-0.4838709677419355,-0.4,-0.48,-0.49,-0.46,-0.51
87,1887,-1.2438709677419353,-0.37,-0.48,-0.49,-0.46,-0.52
88,1888,-0.2738709677419354,-0.35,-0.48,-0.5,-0.47,-0.52
89,1889,0.6961290322580646,-0.33,-0.49,-0.51,-0.47,-0.53
90,1890,-0.7738709677419354,-0.3,-0.49,-0.51,-0.48,-0.53
91,1891,0.006129032258064548,-0.26,-0.5,-0.52,-0.49,-0.54
92,1892,0.16612903225806452,-0.22,-0.5,-0.52,-0.49,-0.54
93,1893,-0.6438709677419355,-0.18,-0.5,-0.52,-0.48,-0.54
94,1894,-0.2338709677419355,-0.13,-0.49,-0.5,-0.47,-0.53
95,1895,0.2661290322580645,-0.07,-0.48,-0.49,-0.46,-0.52
96,1896,-0.3538709677419355,-0.02,-0.47,-0.48,-0.45,-0.51
97,1897,-0.2638709677419354,0.03,-0.46,-0.47,-0.45,-0.5
98,1898,0.17612903225806453,0.08,-0.46,-0.47,-0.44,-0.5
99,1899,-0.43387096774193545,0.13,-0.46,-0.46,-0.44,-0.49
100,1900,0.6961290322580646,0.17,-0.46,-0.46,-0.43,-0.49
101,1901,0.6061290322580646,0.2,-0.46,-0.46,-0.43,-0.49
102,1902,0.5561290322580645,0.22,-0.46,-0.46,-0.43,-0.49
103,1903,0.43612903225806454,0.24,-0.46,-0.47,-0.44,-0.5
104,1904,-0.2438709677419355,0.26,-0.47,-0.47,-0.44,-0.5
105,1905,0.6561290322580645,0.26,-0.48,-0.48,-0.45,-0.51
106,1906,0.5961290322580646,0.25,-0.48,-0.49,-0.45,-0.52
107,1907,-0.9338709677419356,0.23,-0.49,-0.49,-0.46,-0.52
108,1908,0.36612903225806454,0.2,-0.49,-0.49,-0.46,-0.52
109,1909,-0.3438709677419355,0.17,-0.48,-0.49,-0.45,-0.52
110,1910,0.5161290322580645,0.13,-0.48,-0.48,-0.45,-0.51
111,1911,0.10612903225806453,0.09,-0.47,-0.47,-0.44,-0.5
112,1912,0.4161290322580645,0.06,-0.46,-0.46,-0.43,-0.49
113,1913,-0.18387096774193545,0.05,-0.44,-0.45,-0.41,-0.47
114,1914,-0.32387096774193547,0.04,-0.43,-0.44,-0.4,-0.46
115,1915,1.3061290322580645,0.04,-0.42,-0.42,-0.39,-0.45
116,1916,0.06612903225806455,0.05,-0.4,-0.41,-0.37,-0.43
117,1917,-0.9638709677419354,0.05,-0.38,-0.39,-0.36,-0.41
118,1918,-0.5138709677419354,0.06,-0.37,-0.37,-0.34,-0.4
119,1919,0.03612903225806452,0.07,-0.35,-0.36,-0.33,-0.38
120,1920,0.5361290322580645,0.09,-0.33,-0.34,-0.31,-0.36
121,1921,0.6461290322580645,0.11,-0.32,-0.32,-0.3,-0.35
122,1922,-0.2738709677419354,0.15,-0.3,-0.31,-0.28,-0.33
123,1923,0.11612903225806454,0.2,-0.28,-0.29,-0.27,-0.32
124,1924,0.49612903225806454,0.24,-0.27,-0.28,-0.26,-0.3
125,1925,0.11612903225806454,0.28,-0.26,-0.27,-0.25,-0.29
126,1926,0.37612903225806454,0.29,-0.25,-0.26,-0.24,-0.29
127,1927,-0.0038709677419354604,0.28,-0.25,-0.25,-0.23,-0.28
128,1928,1.1361290322580646,0.26,-0.24,-0.25,-0.22,-0.27
129,1929,-0.14387096774193542,0.23,-0.24,-0.24,-0.22,-0.27
130,1930,0.9661290322580646,0.23,-0.23,-0.24,-0.22,-0.27
131,1931,1.7461290322580645,0.24,-0.23,-0.24,-0.21,-0.26
132,1932,0.15612903225806452,0.27,-0.23,-0.23,-0.21,-0.26
133,1933,-0.7838709677419354,0.3,-0.23,-0.23,-0.21,-0.26
134,1934,0.08612903225806451,0.34,-0.23,-0.23,-0.21,-0.26
135,1935,-0.30387096774193545,0.38,-0.23,-0.23,-0.21,-0.26
136,1936,-0.6638709677419355,0.42,-0.22,-0.22,-0.21,-0.26
137,1937,0.7461290322580645,0.47,-0.22,-0.22,-0.21,-0.26
138,1938,1.2561290322580645,0.53,-0.22,-0.22,-0.21,-0.25
139,1939,0.37612903225806454,0.59,-0.22,-0.22,-0.21,-0.25
140,1940,1.2961290322580645,0.65,-0.22,-0.22,-0.21,-0.25
141,1941,0.8961290322580645,0.7,-0.21,-0.21,-0.21,-0.25
142,1942,1.0361290322580645,0.73,-0.21,-0.21,-0.2,-0.24
143,1943,0.7661290322580645,0.74,-0.2,-0.2,-0.2,-0.23
144,1944,1.4861290322580647,0.72,-0.19,-0.19,-0.19,-0.22
145,1945,0.32612903225806456,0.69,-0.19,-0.18,-0.18,-0.22
146,1946,0.31612903225806455,0.66,-0.18,-0.17,-0.17,-0.21
147,1947,0.9761290322580646,0.63,-0.17,-0.17,-0.17,-0.2
148,1948,0.4761290322580645,0.61,-0.17,-0.16,-0.16,-0.2
149,1949,0.4161290322580645,0.57,-0.17,-0.16,-0.16,-0.19
150,1950,-0.6038709677419355,0.54,-0.17,-0.16,-0.16,-0.19
151,1951,-0.03387096774193549,0.52,-0.17,-0.16,-0.16,-0.19
152,1952,1.3561290322580646,0.5,-0.17,-0.16,-0.17,-0.2
153,1953,1.3861290322580646,0.49,-0.18,-0.17,-0.17,-0.2
154,1954,0.6261290322580646,0.49,-0.18,-0.17,-0.18,-0.21
155,1955,0.4161290322580645,0.5,-0.19,-0.18,-0.18,-0.21
156,1956,-0.2738709677419354,0.5,-0.2,-0.19,-0.19,-0.22
157,1957,0.32612903225806456,0.5,-0.21,-0.2,-0.2,-0.24
158,1958,1.0861290322580646,0.48,-0.23,-0.21,-0.22,-0.25
159,1959,0.11612903225806454,0.44,-0.24,-0.23,-0.23,-0.26
160,1960,0.9361290322580645,0.4,-0.26,-0.24,-0.24,-0.28
161,1961,0.2861290322580645,0.37,-0.27,-0.25,-0.25,-0.29
162,1962,0.4761290322580645,0.36,-0.28,-0.26,-0.26,-0.29
163,1963,0.7461290322580645,0.35,-0.28,-0.26,-0.26,-0.3
164,1964,-0.12387096774193551,0.35,-0.29,-0.27,-0.27,-0.3
165,1965,-0.19387096774193546,0.35,-0.29,-0.27,-0.27,-0.31
166,1966,0.15612903225806452,0.34,-0.29,-0.27,-0.27,-0.31
167,1967,0.006129032258064548,0.34,-0.28,-0.26,-0.26,-0.3
168,1968,0.6561290322580645,0.34,-0.27,-0.25,-0.25,-0.29
169,1969,0.7961290322580645,0.35,-0.26,-0.24,-0.24,-0.28
170,1970,0.18612903225806454,0.37,-0.25,-0.23,-0.23,-0.27
171,1971,0.42612903225806453,0.39,-0.23,-0.21,-0.22,-0.25
172,1972,-1.4938709677419353,0.42,-0.22,-0.2,-0.2,-0.23
173,1973,1.1361290322580646,0.44,-0.2,-0.18,-0.18,-0.21
174,1974,-0.3338709677419355,0.46,-0.18,-0.16,-0.16,-0.19
175,1975,0.36612903225806454,0.46,-0.16,-0.14,-0.15,-0.17
176,1976,0.49612903225806454,0.46,-0.14,-0.12,-0.13,-0.16
177,1977,1.4461290322580647,0.45,-0.12,-0.11,-0.11,-0.14
178,1978,0.016129032258064557,0.46,-0.1,-0.09,-0.09,-0.12
179,1979,0.31612903225806455,0.46,-0.08,-0.07,-0.07,-0.09
180,1980,0.8961290322580645,0.48,-0.06,-0.05,-0.04,-0.07
181,1981,2.4461290322580647,0.5,-0.04,-0.02,-0.02,-0.05
182,1982,-0.5838709677419355,0.52,-0.01,0.01,0.01,-0.02
183,1983,0.5461290322580645,0.54,0.02,0.03,0.04,0.01
184,1984,0.6661290322580645,0.55,0.05,0.06,0.08,0.04
185,1985,0.4161290322580645,0.56,0.07,0.09,0.11,0.07
186,1986,0.45612903225806456,0.58,0.1,0.12,0.14,0.1
187,1987,1.9661290322580647,0.61,0.14,0.16,0.18,0.14
188,1988,1.1861290322580644,0.64,0.17,0.19,0.22,0.17
189,1989,0.2561290322580645,0.67,0.21,0.23,0.26,0.21
190,1990,0.30612903225806454,0.71,0.25,0.28,0.3,0.25
191,1991,0.9061290322580645,0.75,0.3,0.32,0.35,0.3
192,1992,0.4061290322580645,0.8,0.35,0.38,0.4,0.35
193,1993,0.9761290322580646,0.87,0.41,0.43,0.46,0.41
194,1994,0.9361290322580645,0.94,0.46,0.49,0.52,0.47
195,1995,1.0061290322580645,1.01,0.52,0.55,0.57,0.53
196,1996,0.4061290322580645,1.08,0.58,0.6,0.63,0.58
197,1997,1.1061290322580646,1.15,0.63,0.66,0.68,0.64
198,1998,2.8061290322580645,1.22,0.69,0.72,0.74,0.69
199,1999,2.1561290322580646,1.28,0.75,0.78,0.8,0.75
200,2000,1.3061290322580645,1.34,0.82,0.84,0.86,0.81
201,2001,2.2361290322580647,1.38,0.88,0.91,0.93,0.88
202,2002,0.9661290322580646,1.42,0.95,0.98,0.99,0.95
203,2003,1.4861290322580647,1.44,1.02,1.04,1.06,1.01
204,2004,0.38612903225806455,1.46,1.08,1.1,1.12,1.08
205,2005,2.0061290322580647,1.47,1.14,1.16,1.18,1.13
206,2006,2.8661290322580646,1.47,1.2,1.22,1.23,1.19
207,2007,1.2361290322580647,1.47,1.25,1.28,1.29,1.25
208,2008,1.0361290322580645,1.48,1.31,1.33,1.34,1.3
209,2009,1.1961290322580647,1.5,1.36,1.38,1.39,1.36
210,2010,3.4461290322580647,1.52,1.42,1.43,1.44,1.41
211,2011,1.7861290322580645,1.55,1.47,1.48,1.49,1.47
212,2012,2.2461290322580645,1.56,1.53,1.53,1.53,1.52
213,2013,1.2061290322580644,1.57,1.59,1.58,1.58,1.58
214,2014,1.0761290322580646,1.59,1.65,1.63,1.63,1.64
215,2015,1.7361290322580647,1.6,1.71,1.69,1.69,1.71
216,2016,2.5561290322580645,1.61,1.76,1.74,1.73,1.76
217,2017,2.0361290322580645,1.63,1.81,1.79,1.78,1.82
218,2018,0.9761290322580646,1.64,1.87,1.85,1.84,1.88
219,2019,1.5561290322580645,1.65,1.92,1.91,1.89,1.94
220,2020,1.6161290322580646,1.66,1.98,1.97,1.94,2.0
221,2021,,,2.03,2.02,1.99,2.07
222,2022,,,2.09,2.07,2.04,2.13
223,2023,,,2.13,2.13,2.09,2.2
224,2024,,,2.18,2.18,2.14,2.26
225,2025,,,2.23,2.23,2.19,2.33
226,2026,,,2.27,2.27,2.25,2.39
227,2027,,,2.31,2.32,2.3,2.46
228,2028,,,2.35,2.37,2.36,2.52
229,2029,,,2.4,2.41,2.42,2.58
230,2030,,,2.44,2.46,2.47,2.65
231,2031,,,2.49,2.5,2.53,2.71
232,2032,,,2.53,2.54,2.58,2.78
233,2033,,,2.57,2.58,2.64,2.85
234,2034,,,2.6,2.62,2.69,2.92
235,2035,,,2.63,2.66,2.74,2.99
236,2036,,,2.66,2.71,2.8,3.07
237,2037,,,2.7,2.76,2.86,3.14
238,2038,,,2.73,2.81,2.92,3.21
239,2039,,,2.76,2.86,2.97,3.29
240,2040,,,2.79,2.92,3.04,3.38
241,2041,,,2.82,2.97,3.1,3.46
242,2042,,,2.85,3.02,3.16,3.55
243,2043,,,2.88,3.08,3.21,3.63
244,2044,,,2.9,3.13,3.27,3.73
245,2045,,,2.92,3.18,3.34,3.82
246,2046,,,2.95,3.23,3.41,3.91
247,2047,,,2.97,3.29,3.48,4.0
248,2048,,,2.99,3.34,3.55,4.08
249,2049,,,3.02,3.38,3.61,4.17
250,2050,,,3.04,3.43,3.68,4.26
251,2051,,,3.06,3.49,3.75,4.34
252,2052,,,3.09,3.54,3.82,4.43
253,2053,,,3.11,3.59,3.89,4.53
254,2054,,,3.12,3.64,3.96,4.61
255,2055,,,3.14,3.69,4.03,4.69
256,2056,,,3.16,3.74,4.09,4.78
257,2057,,,3.18,3.78,4.16,4.87
258,2058,,,3.19,3.83,4.23,4.95
259,2059,,,3.2,3.87,4.29,5.03
260,2060,,,3.21,3.91,4.36,5.1
261,2061,,,3.21,3.95,4.42,5.19
262,2062,,,3.22,3.99,4.49,5.28
263,2063,,,3.22,4.03,4.57,5.37
264,2064,,,3.22,4.06,4.64,5.46
265,2065,,,3.23,4.09,4.71,5.55
266,2066,,,3.23,4.12,4.79,5.65
267,2067,,,3.22,4.15,4.86,5.75
268,2068,,,3.22,4.18,4.93,5.84
269,2069,,,3.22,4.22,5.01,5.93
270,2070,,,3.21,4.24,5.08,6.03
271,2071,,,3.2,4.27,5.15,6.13
272,2072,,,3.2,4.3,5.23,6.23
273,2073,,,3.19,4.33,5.3,6.33
274,2074,,,3.18,4.36,5.37,6.43
275,2075,,,3.18,4.39,5.45,6.53
276,2076,,,3.18,4.41,5.52,6.63
277,2077,,,3.17,4.44,5.6,6.74
278,2078,,,3.17,4.48,5.67,6.84
279,2079,,,3.16,4.5,5.74,6.94
280,2080,,,3.16,4.53,5.82,7.05
281,2081,,,3.16,4.56,5.89,7.14
282,2082,,,3.15,4.59,5.96,7.25
283,2083,,,3.15,4.62,6.03,7.36
284,2084,,,3.15,4.65,6.1,7.46
285,2085,,,3.14,4.68,6.18,7.56
286,2086,,,3.14,4.71,6.25,7.67
287,2087,,,3.14,4.74,6.32,7.77
288,2088,,,3.14,4.78,6.4,7.87
289,2089,,,3.13,4.81,6.47,7.98
290,2090,,,3.13,4.84,6.54,8.08
291,2091,,,3.13,4.87,6.61,8.18
292,2092,,,3.12,4.9,6.67,8.28
293,2093,,,3.11,4.93,6.74,8.38
294,2094,,,3.11,4.96,6.81,8.48
295,2095,,,3.1,4.99,6.87,8.58
296,2096,,,3.09,5.02,6.94,8.68
297,2097,,,3.09,5.04,7.0,8.78
298,2098,,,3.08,5.07,7.07,8.87
299,2099,,,3.08,5.09,7.13,8.96
300,2100,,,3.07,5.12,7.2,9.08
