Bolivia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
95,1895,0.38,0.14,-0.14,-0.13,-0.1,-0.14
96,1896,0.58,0.18,-0.13,-0.13,-0.1,-0.13
97,1897,0.25999999999999995,0.22,-0.13,-0.13,-0.1,-0.13
98,1898,-0.13,0.25,-0.13,-0.13,-0.1,-0.13
99,1899,0.20999999999999996,0.28,-0.13,-0.13,-0.1,-0.13
100,1900,0.7,0.3,-0.13,-0.13,-0.1,-0.13
101,1901,0.59,0.3,-0.13,-0.13,-0.1,-0.13
102,1902,0.51,0.28,-0.13,-0.13,-0.1,-0.13
103,1903,-0.050000000000000044,0.26,-0.12,-0.12,-0.09,-0.12
104,1904,0.12,0.23,-0.12,-0.12,-0.09,-0.12
105,1905,0.5399999999999999,0.21,-0.12,-0.12,-0.09,-0.12
106,1906,0.35,0.18,-0.11,-0.12,-0.08,-0.12
107,1907,-0.030000000000000027,0.17,-0.11,-0.12,-0.08,-0.12
108,1908,-0.18000000000000005,0.16,-0.11,-0.11,-0.08,-0.11
109,1909,-0.050000000000000044,0.17,-0.1,-0.11,-0.07,-0.11
110,1910,-0.030000000000000027,0.19,-0.09,-0.1,-0.06,-0.1
111,1911,0.039999999999999925,0.19,-0.08,-0.09,-0.05,-0.09
112,1912,0.38999999999999996,0.19,-0.07,-0.08,-0.04,-0.08
113,1913,0.51,0.19,-0.06,-0.07,-0.03,-0.07
114,1914,0.73,0.19,-0.05,-0.05,-0.02,-0.05
115,1915,1.03,0.19,-0.04,-0.04,-0.01,-0.04
116,1916,0.12999999999999995,0.19,-0.03,-0.03,-0.0,-0.03
117,1917,-0.7000000000000001,0.17,-0.02,-0.02,0.01,-0.03
118,1918,-0.10999999999999999,0.16,-0.01,-0.02,0.02,-0.02
119,1919,0.45999999999999996,0.13,-0.0,-0.01,0.03,-0.01
120,1920,-0.06000000000000005,0.1,0.01,0.01,0.04,0.0
121,1921,-0.030000000000000027,0.09,0.01,0.02,0.04,0.01
122,1922,-0.09000000000000008,0.11,0.02,0.03,0.05,0.02
123,1923,-0.10999999999999999,0.13,0.03,0.03,0.06,0.03
124,1924,0.10999999999999999,0.16,0.04,0.04,0.07,0.04
125,1925,0.31999999999999995,0.19,0.04,0.04,0.07,0.04
126,1926,0.75,0.22,0.05,0.05,0.08,0.05
127,1927,0.21999999999999997,0.24,0.05,0.05,0.08,0.05
128,1928,0.43999999999999995,0.26,0.06,0.06,0.09,0.05
129,1929,0.18999999999999995,0.29,0.06,0.06,0.09,0.06
130,1930,0.5,0.31,0.07,0.07,0.1,0.06
131,1931,0.22999999999999998,0.33,0.07,0.07,0.1,0.07
132,1932,0.21999999999999997,0.35,0.08,0.08,0.11,0.08
133,1933,0.22999999999999998,0.37,0.09,0.08,0.11,0.08
134,1934,0.14999999999999997,0.4,0.1,0.09,0.12,0.09
135,1935,0.37,0.42,0.1,0.1,0.13,0.1
136,1936,0.7,0.45,0.11,0.11,0.14,0.11
137,1937,0.6599999999999999,0.48,0.12,0.12,0.15,0.12
138,1938,0.43999999999999995,0.51,0.13,0.12,0.16,0.12
139,1939,0.49,0.53,0.14,0.13,0.17,0.13
140,1940,0.7999999999999999,0.55,0.15,0.14,0.18,0.14
141,1941,0.8899999999999999,0.56,0.16,0.15,0.19,0.15
142,1942,0.33999999999999997,0.55,0.17,0.16,0.19,0.16
143,1943,0.32999999999999996,0.53,0.18,0.17,0.2,0.17
144,1944,0.6799999999999999,0.51,0.18,0.17,0.2,0.17
145,1945,0.6599999999999999,0.49,0.19,0.18,0.21,0.18
146,1946,0.62,0.46,0.19,0.18,0.21,0.18
147,1947,0.12,0.45,0.2,0.19,0.21,0.19
148,1948,0.44999999999999996,0.43,0.2,0.19,0.22,0.19
149,1949,0.22999999999999998,0.41,0.2,0.19,0.22,0.19
150,1950,0.37,0.4,0.2,0.2,0.22,0.2
151,1951,0.38999999999999996,0.38,0.2,0.2,0.22,0.2
152,1952,0.22999999999999998,0.37,0.21,0.2,0.22,0.2
153,1953,0.75,0.38,0.21,0.2,0.22,0.2
154,1954,0.45999999999999996,0.39,0.21,0.21,0.22,0.21
155,1955,0.24999999999999994,0.4,0.22,0.21,0.22,0.21
156,1956,-0.21000000000000008,0.42,0.22,0.21,0.23,0.21
157,1957,0.36,0.44,0.22,0.22,0.23,0.21
158,1958,0.5599999999999999,0.46,0.22,0.22,0.23,0.21
159,1959,0.6799999999999999,0.48,0.22,0.22,0.23,0.21
160,1960,0.15999999999999998,0.51,0.22,0.21,0.23,0.21
161,1961,0.8899999999999999,0.54,0.22,0.21,0.23,0.21
162,1962,0.31999999999999995,0.58,0.22,0.21,0.23,0.21
163,1963,0.98,0.62,0.22,0.21,0.23,0.21
164,1964,0.35,0.66,0.22,0.22,0.23,0.21
165,1965,0.6599999999999999,0.69,0.22,0.22,0.23,0.21
166,1966,0.6799999999999999,0.71,0.23,0.22,0.23,0.21
167,1967,0.98,0.72,0.23,0.22,0.24,0.22
168,1968,0.6499999999999999,0.72,0.23,0.22,0.24,0.22
169,1969,1.25,0.72,0.23,0.23,0.24,0.22
170,1970,0.96,0.71,0.24,0.23,0.25,0.22
171,1971,0.18,0.71,0.24,0.24,0.26,0.23
172,1972,0.77,0.71,0.25,0.25,0.27,0.24
173,1973,0.84,0.7,0.26,0.26,0.28,0.25
174,1974,0.38,0.69,0.27,0.27,0.3,0.26
175,1975,0.53,0.68,0.29,0.28,0.31,0.28
176,1976,0.38,0.68,0.3,0.29,0.32,0.29
177,1977,0.86,0.68,0.3,0.3,0.33,0.3
178,1978,0.85,0.69,0.31,0.31,0.35,0.31
179,1979,0.72,0.71,0.33,0.33,0.36,0.32
180,1980,0.7999999999999999,0.74,0.34,0.34,0.37,0.33
181,1981,0.5599999999999999,0.77,0.35,0.35,0.39,0.35
182,1982,0.73,0.79,0.37,0.37,0.4,0.36
183,1983,0.96,0.81,0.38,0.38,0.42,0.38
184,1984,0.75,0.83,0.4,0.4,0.44,0.39
185,1985,0.8799999999999999,0.84,0.41,0.41,0.45,0.41
186,1986,0.84,0.85,0.43,0.43,0.46,0.42
187,1987,1.23,0.87,0.45,0.45,0.47,0.44
188,1988,0.8799999999999999,0.89,0.48,0.46,0.49,0.46
189,1989,0.62,0.92,0.5,0.49,0.51,0.48
190,1990,0.86,0.94,0.52,0.51,0.53,0.51
191,1991,1.1400000000000001,0.97,0.55,0.54,0.55,0.53
192,1992,0.5599999999999999,0.99,0.58,0.57,0.58,0.56
193,1993,0.94,1.0,0.61,0.6,0.6,0.59
194,1994,1.4,1.01,0.64,0.63,0.63,0.62
195,1995,1.3199999999999998,1.01,0.68,0.66,0.66,0.66
196,1996,0.8099999999999999,1.02,0.71,0.69,0.69,0.68
197,1997,1.42,1.03,0.73,0.72,0.72,0.71
198,1998,1.23,1.04,0.76,0.74,0.75,0.74
199,1999,0.6699999999999999,1.05,0.79,0.78,0.78,0.77
200,2000,0.6799999999999999,1.05,0.82,0.81,0.82,0.8
201,2001,0.84,1.04,0.86,0.85,0.86,0.84
202,2002,1.3199999999999998,1.02,0.89,0.89,0.9,0.88
203,2003,0.99,1.02,0.93,0.93,0.94,0.91
204,2004,1.12,1.02,0.97,0.96,0.98,0.95
205,2005,1.1400000000000001,1.04,1.01,1.0,1.02,0.99
206,2006,1.22,1.06,1.04,1.04,1.06,1.03
207,2007,0.84,1.09,1.08,1.08,1.09,1.06
208,2008,0.75,1.12,1.11,1.11,1.13,1.1
209,2009,1.04,1.14,1.15,1.15,1.16,1.14
210,2010,1.17,1.17,1.18,1.18,1.2,1.17
211,2011,1.45,1.2,1.22,1.22,1.23,1.21
212,2012,1.2799999999999998,1.23,1.25,1.26,1.26,1.25
213,2013,0.98,1.27,1.29,1.29,1.3,1.29
214,2014,1.4,1.31,1.33,1.33,1.33,1.33
215,2015,1.87,1.36,1.37,1.38,1.37,1.38
216,2016,1.29,1.4,1.41,1.41,1.39,1.42
217,2017,1.45,1.44,1.44,1.44,1.42,1.46
218,2018,1.0,1.49,1.48,1.48,1.45,1.49
219,2019,1.43,1.53,1.51,1.51,1.48,1.53
220,2020,1.87,1.57,1.55,1.54,1.51,1.57
221,2021,,,1.58,1.57,1.54,1.62
222,2022,,,1.61,1.61,1.57,1.66
223,2023,,,1.64,1.64,1.61,1.71
224,2024,,,1.68,1.67,1.64,1.75
225,2025,,,1.71,1.71,1.67,1.8
226,2026,,,1.75,1.74,1.7,1.85
227,2027,,,1.78,1.78,1.73,1.9
228,2028,,,1.81,1.81,1.77,1.95
229,2029,,,1.84,1.85,1.81,2.0
230,2030,,,1.87,1.88,1.84,2.04
231,2031,,,1.89,1.91,1.88,2.09
232,2032,,,1.92,1.94,1.92,2.14
233,2033,,,1.94,1.97,1.95,2.19
234,2034,,,1.97,2.0,1.99,2.24
235,2035,,,1.99,2.03,2.03,2.28
236,2036,,,2.01,2.06,2.07,2.33
237,2037,,,2.04,2.09,2.11,2.38
238,2038,,,2.06,2.13,2.16,2.43
239,2039,,,2.08,2.16,2.2,2.48
240,2040,,,2.1,2.19,2.25,2.53
241,2041,,,2.12,2.23,2.3,2.58
242,2042,,,2.14,2.26,2.35,2.63
243,2043,,,2.16,2.29,2.4,2.68
244,2044,,,2.17,2.32,2.45,2.73
245,2045,,,2.18,2.35,2.49,2.79
246,2046,,,2.2,2.38,2.54,2.84
247,2047,,,2.21,2.41,2.59,2.9
248,2048,,,2.22,2.44,2.64,2.95
249,2049,,,2.22,2.47,2.68,3.01
250,2050,,,2.23,2.5,2.73,3.07
251,2051,,,2.24,2.54,2.77,3.14
252,2052,,,2.24,2.57,2.82,3.2
253,2053,,,2.25,2.59,2.86,3.27
254,2054,,,2.26,2.62,2.91,3.33
255,2055,,,2.26,2.65,2.95,3.4
256,2056,,,2.27,2.68,2.99,3.47
257,2057,,,2.27,2.7,3.03,3.54
258,2058,,,2.28,2.73,3.07,3.61
259,2059,,,2.28,2.76,3.12,3.67
260,2060,,,2.29,2.78,3.16,3.73
261,2061,,,2.29,2.82,3.21,3.8
262,2062,,,2.3,2.84,3.26,3.87
263,2063,,,2.3,2.87,3.31,3.93
264,2064,,,2.3,2.9,3.36,4.0
265,2065,,,2.31,2.93,3.41,4.06
266,2066,,,2.31,2.95,3.46,4.13
267,2067,,,2.3,2.97,3.5,4.19
268,2068,,,2.3,3.0,3.55,4.25
269,2069,,,2.3,3.02,3.6,4.32
270,2070,,,2.3,3.04,3.64,4.38
271,2071,,,2.29,3.06,3.69,4.45
272,2072,,,2.29,3.09,3.74,4.51
273,2073,,,2.29,3.11,3.79,4.58
274,2074,,,2.28,3.13,3.84,4.65
275,2075,,,2.28,3.16,3.88,4.72
276,2076,,,2.28,3.17,3.93,4.78
277,2077,,,2.27,3.2,3.98,4.85
278,2078,,,2.27,3.22,4.02,4.92
279,2079,,,2.27,3.23,4.07,4.99
280,2080,,,2.26,3.25,4.12,5.05
281,2081,,,2.25,3.27,4.17,5.12
282,2082,,,2.25,3.29,4.22,5.19
283,2083,,,2.24,3.31,4.27,5.26
284,2084,,,2.23,3.33,4.32,5.33
285,2085,,,2.23,3.35,4.37,5.4
286,2086,,,2.22,3.37,4.42,5.47
287,2087,,,2.21,3.39,4.48,5.54
288,2088,,,2.2,3.4,4.54,5.61
289,2089,,,2.19,3.41,4.59,5.68
290,2090,,,2.19,3.42,4.64,5.74
291,2091,,,2.18,3.44,4.7,5.81
292,2092,,,2.17,3.45,4.75,5.87
293,2093,,,2.16,3.46,4.8,5.94
294,2094,,,2.16,3.48,4.86,6.0
295,2095,,,2.15,3.49,4.91,6.07
296,2096,,,2.14,3.5,4.96,6.13
297,2097,,,2.13,3.51,5.01,6.19
298,2098,,,2.13,3.52,5.06,6.25
299,2099,,,2.12,3.53,5.11,6.31
300,2100,,,2.11,3.54,5.17,6.38
