Thailand,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
96,1896,0.2529999999999999,0.11,0.3,0.3,0.34,0.28
97,1897,0.3829999999999999,0.14,0.3,0.3,0.34,0.29
98,1898,0.06299999999999994,0.17,0.3,0.3,0.34,0.29
99,1899,-0.03700000000000009,0.19,0.31,0.3,0.35,0.29
100,1900,0.43299999999999994,0.21,0.31,0.31,0.35,0.29
101,1901,0.4129999999999999,0.21,0.31,0.31,0.35,0.3
102,1902,0.4729999999999999,0.2,0.31,0.31,0.35,0.3
103,1903,0.2029999999999999,0.19,0.32,0.31,0.36,0.3
104,1904,-0.34700000000000003,0.18,0.32,0.31,0.36,0.3
105,1905,0.18299999999999994,0.17,0.32,0.31,0.36,0.3
106,1906,0.3929999999999999,0.16,0.31,0.31,0.36,0.3
107,1907,-0.10700000000000004,0.15,0.31,0.31,0.36,0.3
108,1908,0.002999999999999947,0.14,0.31,0.31,0.36,0.3
109,1909,0.2029999999999999,0.14,0.31,0.31,0.36,0.3
110,1910,0.06299999999999994,0.13,0.32,0.32,0.36,0.3
111,1911,0.2029999999999999,0.12,0.32,0.32,0.37,0.3
112,1912,0.22299999999999992,0.11,0.33,0.33,0.37,0.31
113,1913,0.02299999999999991,0.1,0.33,0.34,0.38,0.32
114,1914,0.4129999999999999,0.1,0.34,0.34,0.39,0.32
115,1915,0.3829999999999999,0.1,0.34,0.35,0.39,0.33
116,1916,-0.23700000000000004,0.09,0.35,0.36,0.4,0.34
117,1917,-0.35700000000000004,0.09,0.36,0.36,0.4,0.34
118,1918,-0.2870000000000001,0.07,0.36,0.37,0.41,0.35
119,1919,0.4629999999999999,0.06,0.37,0.38,0.41,0.36
120,1920,0.24299999999999994,0.05,0.38,0.38,0.42,0.37
121,1921,-0.06700000000000012,0.05,0.38,0.39,0.43,0.37
122,1922,0.18299999999999994,0.05,0.39,0.4,0.43,0.38
123,1923,0.002999999999999947,0.06,0.4,0.41,0.44,0.39
124,1924,0.07299999999999995,0.07,0.41,0.41,0.45,0.4
125,1925,-0.1770000000000001,0.08,0.41,0.42,0.46,0.4
126,1926,0.3429999999999999,0.08,0.42,0.43,0.46,0.41
127,1927,0.04299999999999993,0.08,0.43,0.43,0.47,0.42
128,1928,0.08299999999999991,0.08,0.43,0.44,0.47,0.42
129,1929,-0.0470000000000001,0.09,0.44,0.44,0.48,0.43
130,1930,0.02299999999999991,0.1,0.44,0.45,0.48,0.43
131,1931,0.583,0.12,0.45,0.46,0.49,0.44
132,1932,-0.007000000000000062,0.13,0.46,0.46,0.5,0.45
133,1933,0.09299999999999992,0.14,0.47,0.47,0.51,0.46
134,1934,-0.1770000000000001,0.16,0.48,0.48,0.52,0.46
135,1935,0.5529999999999999,0.18,0.49,0.49,0.52,0.47
136,1936,0.09299999999999992,0.2,0.49,0.5,0.53,0.48
137,1937,0.48299999999999993,0.23,0.5,0.5,0.54,0.48
138,1938,0.06299999999999994,0.25,0.5,0.51,0.54,0.49
139,1939,0.052999999999999936,0.27,0.51,0.51,0.55,0.49
140,1940,0.31299999999999994,0.29,0.51,0.52,0.55,0.5
141,1941,0.9329999999999999,0.3,0.52,0.52,0.56,0.5
142,1942,0.4629999999999999,0.32,0.52,0.53,0.56,0.51
143,1943,-0.03700000000000009,0.33,0.53,0.53,0.57,0.51
144,1944,0.4729999999999999,0.34,0.53,0.54,0.57,0.52
145,1945,0.2729999999999999,0.34,0.54,0.54,0.57,0.52
146,1946,0.4029999999999999,0.35,0.54,0.55,0.58,0.52
147,1947,0.573,0.36,0.54,0.55,0.58,0.53
148,1948,0.18299999999999994,0.36,0.54,0.55,0.58,0.53
149,1949,0.33299999999999996,0.36,0.55,0.55,0.58,0.53
150,1950,0.18299999999999994,0.37,0.55,0.55,0.58,0.53
151,1951,0.3829999999999999,0.37,0.55,0.55,0.58,0.53
152,1952,0.4629999999999999,0.39,0.55,0.55,0.58,0.53
153,1953,0.5529999999999999,0.41,0.55,0.56,0.58,0.54
154,1954,0.5329999999999999,0.43,0.56,0.56,0.58,0.54
155,1955,0.052999999999999936,0.46,0.56,0.56,0.58,0.54
156,1956,0.10299999999999992,0.47,0.56,0.56,0.58,0.54
157,1957,0.6729999999999999,0.48,0.55,0.56,0.58,0.54
158,1958,0.6529999999999999,0.48,0.55,0.55,0.57,0.53
159,1959,0.7529999999999999,0.48,0.54,0.54,0.57,0.53
160,1960,0.7429999999999999,0.49,0.54,0.54,0.56,0.52
161,1961,0.44299999999999995,0.5,0.53,0.53,0.56,0.52
162,1962,0.2629999999999999,0.51,0.53,0.53,0.55,0.52
163,1963,0.2729999999999999,0.51,0.53,0.53,0.55,0.52
164,1964,0.4129999999999999,0.51,0.53,0.53,0.55,0.52
165,1965,0.5129999999999999,0.5,0.53,0.53,0.55,0.52
166,1966,0.9629999999999999,0.49,0.53,0.53,0.56,0.52
167,1967,0.2529999999999999,0.49,0.53,0.53,0.56,0.52
168,1968,0.5529999999999999,0.48,0.53,0.54,0.56,0.52
169,1969,0.7629999999999999,0.48,0.53,0.54,0.56,0.52
170,1970,0.573,0.47,0.53,0.54,0.57,0.52
171,1971,-0.1670000000000001,0.46,0.54,0.55,0.57,0.53
172,1972,0.5529999999999999,0.45,0.55,0.56,0.58,0.54
173,1973,0.573,0.46,0.56,0.57,0.59,0.55
174,1974,0.1429999999999999,0.47,0.57,0.58,0.6,0.56
175,1975,0.2829999999999999,0.49,0.58,0.59,0.62,0.57
176,1976,0.10299999999999992,0.51,0.59,0.6,0.63,0.58
177,1977,0.5429999999999999,0.54,0.6,0.61,0.64,0.59
178,1978,0.6829999999999999,0.56,0.61,0.62,0.65,0.6
179,1979,0.9629999999999999,0.59,0.62,0.63,0.66,0.61
180,1980,0.9529999999999998,0.62,0.63,0.64,0.67,0.62
181,1981,0.573,0.66,0.64,0.65,0.68,0.63
182,1982,0.563,0.69,0.65,0.66,0.7,0.64
183,1983,0.8929999999999999,0.71,0.67,0.68,0.71,0.66
184,1984,0.593,0.73,0.68,0.69,0.72,0.67
185,1985,0.6729999999999999,0.74,0.69,0.7,0.74,0.68
186,1986,0.5029999999999999,0.74,0.7,0.72,0.75,0.69
187,1987,0.9929999999999999,0.75,0.72,0.73,0.76,0.7
188,1988,0.7529999999999999,0.76,0.73,0.74,0.78,0.72
189,1989,0.6729999999999999,0.77,0.74,0.76,0.79,0.73
190,1990,0.943,0.78,0.76,0.77,0.8,0.74
191,1991,1.033,0.79,0.77,0.79,0.82,0.76
192,1992,0.6629999999999999,0.8,0.79,0.8,0.83,0.78
193,1993,0.6529999999999999,0.8,0.81,0.82,0.85,0.79
194,1994,0.873,0.79,0.83,0.84,0.87,0.81
195,1995,0.9029999999999999,0.79,0.85,0.86,0.89,0.83
196,1996,0.573,0.8,0.87,0.88,0.91,0.85
197,1997,0.9029999999999999,0.8,0.89,0.9,0.93,0.87
198,1998,1.6929999999999998,0.82,0.9,0.92,0.94,0.89
199,1999,0.5129999999999999,0.84,0.92,0.93,0.96,0.9
200,2000,0.613,0.86,0.94,0.95,0.98,0.93
201,2001,0.943,0.87,0.97,0.97,1.0,0.95
202,2002,1.073,0.89,0.99,1.0,1.02,0.97
203,2003,0.9529999999999998,0.91,1.01,1.02,1.05,1.0
204,2004,0.823,0.93,1.04,1.04,1.07,1.02
205,2005,1.2229999999999999,0.96,1.06,1.07,1.09,1.05
206,2006,1.053,0.99,1.09,1.09,1.12,1.07
207,2007,0.943,1.02,1.11,1.12,1.14,1.1
208,2008,0.5329999999999999,1.05,1.14,1.14,1.16,1.13
209,2009,0.943,1.09,1.16,1.17,1.19,1.16
210,2010,1.6829999999999998,1.12,1.19,1.19,1.21,1.19
211,2011,0.5229999999999999,1.16,1.22,1.22,1.24,1.22
212,2012,1.4429999999999998,1.21,1.25,1.25,1.26,1.25
213,2013,1.133,1.26,1.28,1.29,1.29,1.29
214,2014,1.143,1.32,1.32,1.32,1.31,1.32
215,2015,1.603,1.39,1.36,1.36,1.34,1.36
216,2016,1.7129999999999999,1.45,1.39,1.39,1.37,1.39
217,2017,1.253,1.51,1.42,1.41,1.39,1.43
218,2018,1.1729999999999998,1.57,1.45,1.44,1.42,1.46
219,2019,1.8729999999999998,1.63,1.48,1.47,1.44,1.49
220,2020,1.753,1.7,1.51,1.5,1.46,1.52
221,2021,,,1.54,1.52,1.49,1.55
222,2022,,,1.57,1.55,1.52,1.58
223,2023,,,1.59,1.58,1.54,1.61
224,2024,,,1.62,1.6,1.57,1.64
225,2025,,,1.65,1.63,1.59,1.67
226,2026,,,1.67,1.65,1.62,1.69
227,2027,,,1.7,1.67,1.65,1.72
228,2028,,,1.72,1.7,1.68,1.75
229,2029,,,1.74,1.72,1.71,1.79
230,2030,,,1.76,1.74,1.74,1.82
231,2031,,,1.78,1.76,1.77,1.85
232,2032,,,1.8,1.79,1.8,1.89
233,2033,,,1.82,1.81,1.82,1.92
234,2034,,,1.84,1.83,1.85,1.96
235,2035,,,1.86,1.85,1.88,2.0
236,2036,,,1.88,1.87,1.9,2.04
237,2037,,,1.9,1.9,1.93,2.07
238,2038,,,1.91,1.92,1.95,2.11
239,2039,,,1.93,1.95,1.98,2.15
240,2040,,,1.94,1.97,2.01,2.2
241,2041,,,1.96,2.0,2.04,2.24
242,2042,,,1.97,2.03,2.06,2.28
243,2043,,,1.99,2.05,2.09,2.33
244,2044,,,2.0,2.08,2.12,2.37
245,2045,,,2.01,2.1,2.15,2.41
246,2046,,,2.02,2.12,2.18,2.45
247,2047,,,2.03,2.15,2.21,2.49
248,2048,,,2.04,2.17,2.24,2.53
249,2049,,,2.05,2.2,2.27,2.58
250,2050,,,2.06,2.22,2.3,2.62
251,2051,,,2.07,2.25,2.34,2.66
252,2052,,,2.08,2.27,2.37,2.71
253,2053,,,2.09,2.3,2.41,2.76
254,2054,,,2.1,2.32,2.44,2.8
255,2055,,,2.11,2.34,2.48,2.85
256,2056,,,2.11,2.37,2.52,2.89
257,2057,,,2.12,2.39,2.55,2.94
258,2058,,,2.12,2.41,2.59,2.99
259,2059,,,2.13,2.43,2.62,3.03
260,2060,,,2.13,2.45,2.66,3.08
261,2061,,,2.14,2.47,2.69,3.13
262,2062,,,2.14,2.49,2.73,3.18
263,2063,,,2.15,2.51,2.77,3.23
264,2064,,,2.15,2.53,2.8,3.28
265,2065,,,2.15,2.55,2.84,3.33
266,2066,,,2.15,2.57,2.88,3.38
267,2067,,,2.15,2.59,2.91,3.43
268,2068,,,2.14,2.61,2.94,3.48
269,2069,,,2.15,2.62,2.97,3.53
270,2070,,,2.14,2.64,3.01,3.58
271,2071,,,2.14,2.66,3.04,3.63
272,2072,,,2.14,2.68,3.08,3.68
273,2073,,,2.14,2.7,3.12,3.73
274,2074,,,2.13,2.72,3.16,3.78
275,2075,,,2.13,2.74,3.2,3.83
276,2076,,,2.13,2.75,3.24,3.88
277,2077,,,2.12,2.77,3.28,3.93
278,2078,,,2.12,2.78,3.32,3.98
279,2079,,,2.12,2.8,3.36,4.03
280,2080,,,2.12,2.81,3.4,4.08
281,2081,,,2.12,2.82,3.44,4.13
282,2082,,,2.11,2.84,3.48,4.18
283,2083,,,2.11,2.85,3.52,4.23
284,2084,,,2.1,2.86,3.56,4.28
285,2085,,,2.1,2.88,3.6,4.33
286,2086,,,2.1,2.89,3.63,4.39
287,2087,,,2.09,2.9,3.67,4.44
288,2088,,,2.09,2.91,3.71,4.49
289,2089,,,2.09,2.92,3.75,4.54
290,2090,,,2.08,2.94,3.79,4.6
291,2091,,,2.08,2.95,3.84,4.65
292,2092,,,2.07,2.96,3.88,4.7
293,2093,,,2.07,2.97,3.92,4.75
294,2094,,,2.07,2.98,3.96,4.8
295,2095,,,2.06,2.99,4.0,4.85
296,2096,,,2.06,3.01,4.04,4.9
297,2097,,,2.06,3.01,4.09,4.95
298,2098,,,2.05,3.02,4.13,5.0
299,2099,,,2.05,3.03,4.17,5.04
300,2100,,,2.05,3.05,4.21,5.1
