Portugal,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
77,1877,0.3670967741935483,-0.06,0.46,0.43,0.45,0.43
78,1878,0.06709677419354831,-0.11,0.45,0.42,0.44,0.42
79,1879,-0.49290322580645163,-0.15,0.43,0.4,0.42,0.4
80,1880,-0.28290322580645166,-0.2,0.42,0.39,0.4,0.39
81,1881,0.6570967741935483,-0.25,0.4,0.37,0.39,0.37
82,1882,-0.3529032258064517,-0.31,0.39,0.36,0.37,0.35
83,1883,-0.8329032258064516,-0.37,0.37,0.34,0.35,0.34
84,1884,-0.41290322580645167,-0.43,0.36,0.33,0.34,0.32
85,1885,-0.7429032258064517,-0.46,0.34,0.31,0.32,0.31
86,1886,-0.39290322580645165,-0.48,0.33,0.3,0.31,0.3
87,1887,-0.26290322580645165,-0.48,0.33,0.3,0.31,0.29
88,1888,-0.5829032258064517,-0.46,0.33,0.3,0.31,0.29
89,1889,-1.0429032258064517,-0.42,0.33,0.3,0.31,0.29
90,1890,-0.7629032258064518,-0.37,0.33,0.3,0.31,0.29
91,1891,-0.5629032258064517,-0.31,0.33,0.3,0.31,0.29
92,1892,-0.1329032258064517,-0.24,0.34,0.31,0.32,0.3
93,1893,0.7370967741935484,-0.18,0.35,0.32,0.33,0.31
94,1894,-0.26290322580645165,-0.14,0.36,0.33,0.35,0.32
95,1895,0.6070967741935483,-0.1,0.37,0.34,0.36,0.33
96,1896,-0.2029032258064517,-0.07,0.38,0.35,0.37,0.34
97,1897,0.7570967741935484,-0.03,0.38,0.36,0.37,0.35
98,1898,0.34709677419354834,-0.01,0.39,0.36,0.38,0.35
99,1899,1.3970967741935483,0.01,0.39,0.36,0.38,0.36
100,1900,0.2670967741935483,0.01,0.39,0.37,0.38,0.36
101,1901,-0.4629032258064517,0.0,0.39,0.37,0.38,0.36
102,1902,-0.26290322580645165,-0.01,0.39,0.36,0.38,0.36
103,1903,-0.11290322580645168,-0.03,0.38,0.36,0.38,0.36
104,1904,0.33709677419354833,-0.06,0.38,0.36,0.38,0.35
105,1905,-0.4529032258064517,-0.09,0.37,0.35,0.37,0.34
106,1906,0.017096774193548325,-0.11,0.36,0.34,0.37,0.34
107,1907,-0.17290322580645168,-0.12,0.36,0.34,0.36,0.33
108,1908,0.20709677419354833,-0.12,0.35,0.33,0.36,0.33
109,1909,-0.23290322580645173,-0.11,0.35,0.33,0.36,0.33
110,1910,-0.3129032258064517,-0.11,0.35,0.33,0.36,0.33
111,1911,-0.15290322580645166,-0.1,0.36,0.34,0.36,0.33
112,1912,-0.27290322580645165,-0.09,0.36,0.34,0.37,0.34
113,1913,-0.12290322580645169,-0.07,0.37,0.35,0.37,0.35
114,1914,-0.032903225806451664,-0.04,0.38,0.36,0.38,0.36
115,1915,0.1870967741935483,-0.01,0.39,0.37,0.39,0.36
116,1916,-0.022903225806451655,0.02,0.39,0.38,0.4,0.37
117,1917,-0.5229032258064517,0.05,0.4,0.38,0.4,0.38
118,1918,0.14709677419354833,0.08,0.41,0.39,0.41,0.38
119,1919,0.13709677419354832,0.11,0.42,0.4,0.42,0.39
120,1920,0.4370967741935483,0.13,0.43,0.41,0.43,0.4
121,1921,0.5670967741935483,0.16,0.44,0.42,0.45,0.42
122,1922,0.06709677419354831,0.19,0.46,0.44,0.46,0.43
123,1923,0.03709677419354834,0.21,0.47,0.45,0.47,0.44
124,1924,0.2670967741935483,0.23,0.48,0.46,0.48,0.45
125,1925,-0.3329032258064517,0.24,0.49,0.46,0.49,0.45
126,1926,0.9770967741935483,0.23,0.49,0.47,0.5,0.46
127,1927,0.1570967741935483,0.22,0.5,0.48,0.51,0.46
128,1928,0.28709677419354834,0.21,0.5,0.48,0.51,0.47
129,1929,0.7570967741935484,0.2,0.51,0.49,0.52,0.47
130,1930,0.3670967741935483,0.2,0.51,0.49,0.52,0.48
131,1931,0.1270967741935483,0.2,0.52,0.49,0.53,0.48
132,1932,-0.2029032258064517,0.21,0.52,0.5,0.53,0.48
133,1933,0.20709677419354833,0.21,0.52,0.5,0.53,0.49
134,1934,-0.06290322580645169,0.2,0.53,0.5,0.53,0.49
135,1935,0.03709677419354834,0.2,0.53,0.51,0.54,0.49
136,1936,0.03709677419354834,0.21,0.53,0.51,0.54,0.5
137,1937,0.5570967741935483,0.22,0.54,0.51,0.54,0.5
138,1938,0.6570967741935483,0.25,0.54,0.52,0.54,0.51
139,1939,0.03709677419354834,0.28,0.55,0.52,0.55,0.51
140,1940,0.39709677419354833,0.33,0.55,0.53,0.55,0.52
141,1941,-0.022903225806451655,0.38,0.56,0.53,0.56,0.52
142,1942,0.22709677419354832,0.43,0.56,0.54,0.56,0.52
143,1943,0.7470967741935484,0.47,0.56,0.54,0.56,0.53
144,1944,0.3170967741935483,0.5,0.56,0.54,0.56,0.53
145,1945,1.1070967741935482,0.52,0.56,0.54,0.56,0.52
146,1946,0.03709677419354834,0.53,0.55,0.54,0.56,0.52
147,1947,0.7870967741935484,0.55,0.55,0.53,0.55,0.52
148,1948,1.3470967741935485,0.56,0.55,0.53,0.55,0.52
149,1949,1.3770967741935483,0.57,0.54,0.53,0.54,0.52
150,1950,0.6770967741935483,0.57,0.54,0.52,0.54,0.51
151,1951,0.06709677419354831,0.56,0.53,0.52,0.53,0.5
152,1952,0.33709677419354833,0.55,0.52,0.51,0.52,0.5
153,1953,0.8370967741935483,0.54,0.51,0.5,0.51,0.49
154,1954,0.16709677419354832,0.52,0.5,0.49,0.5,0.48
155,1955,1.3770967741935483,0.51,0.49,0.48,0.49,0.47
156,1956,-0.5729032258064517,0.49,0.48,0.47,0.48,0.46
157,1957,0.2970967741935483,0.48,0.47,0.46,0.47,0.45
158,1958,0.4370967741935483,0.48,0.46,0.45,0.46,0.44
159,1959,0.6170967741935482,0.48,0.44,0.44,0.45,0.42
160,1960,0.3770967741935483,0.48,0.43,0.42,0.43,0.41
161,1961,1.2870967741935484,0.47,0.42,0.41,0.42,0.4
162,1962,0.5270967741935484,0.46,0.41,0.4,0.41,0.39
163,1963,0.2470967741935483,0.44,0.4,0.39,0.41,0.38
164,1964,0.6670967741935483,0.42,0.39,0.39,0.4,0.37
165,1965,0.3070967741935483,0.38,0.38,0.38,0.4,0.37
166,1966,0.5970967741935483,0.34,0.38,0.38,0.4,0.37
167,1967,0.27709677419354833,0.3,0.38,0.38,0.4,0.37
168,1968,0.5070967741935484,0.26,0.38,0.38,0.4,0.37
169,1969,-0.05290322580645168,0.23,0.39,0.39,0.41,0.38
170,1970,0.2970967741935483,0.2,0.39,0.39,0.41,0.38
171,1971,-0.22290322580645172,0.18,0.4,0.4,0.42,0.39
172,1972,-0.5629032258064517,0.17,0.42,0.42,0.44,0.41
173,1973,0.19709677419354832,0.17,0.43,0.43,0.45,0.42
174,1974,0.007096774193548316,0.18,0.45,0.45,0.47,0.44
175,1975,0.08709677419354833,0.2,0.47,0.47,0.49,0.46
176,1976,0.19709677419354832,0.24,0.49,0.48,0.5,0.48
177,1977,0.21709677419354834,0.28,0.51,0.5,0.52,0.5
178,1978,0.4470967741935483,0.33,0.52,0.52,0.54,0.51
179,1979,0.34709677419354834,0.38,0.54,0.53,0.55,0.53
180,1980,0.39709677419354833,0.44,0.56,0.55,0.57,0.55
181,1981,1.0570967741935484,0.49,0.58,0.57,0.59,0.57
182,1982,0.6470967741935483,0.55,0.59,0.59,0.61,0.59
183,1983,0.6370967741935483,0.61,0.61,0.6,0.63,0.6
184,1984,0.1870967741935483,0.66,0.63,0.62,0.64,0.62
185,1985,0.7470967741935484,0.71,0.64,0.64,0.66,0.64
186,1986,0.2970967741935483,0.74,0.66,0.65,0.68,0.65
187,1987,1.2170967741935483,0.77,0.67,0.67,0.69,0.67
188,1988,0.6670967741935483,0.8,0.69,0.68,0.71,0.68
189,1989,1.6670967741935483,0.83,0.71,0.7,0.73,0.7
190,1990,1.3370967741935482,0.88,0.73,0.73,0.76,0.73
191,1991,0.8170967741935483,0.92,0.76,0.76,0.79,0.75
192,1992,0.7270967741935483,0.96,0.79,0.79,0.82,0.78
193,1993,0.10709677419354832,0.99,0.83,0.82,0.86,0.82
194,1994,0.9570967741935483,1.01,0.86,0.86,0.9,0.85
195,1995,1.9970967741935484,1.03,0.9,0.89,0.93,0.89
196,1996,0.9670967741935483,1.04,0.94,0.93,0.97,0.92
197,1997,1.8870967741935485,1.06,0.97,0.96,1.0,0.96
198,1998,1.2970967741935482,1.09,1.01,1.0,1.04,0.99
199,1999,0.9570967741935483,1.12,1.05,1.04,1.08,1.03
200,2000,0.9770967741935483,1.15,1.09,1.08,1.11,1.07
201,2001,1.0570967741935484,1.17,1.12,1.11,1.15,1.11
202,2002,1.1370967741935485,1.19,1.16,1.15,1.19,1.14
203,2003,1.4870967741935481,1.2,1.19,1.18,1.22,1.17
204,2004,1.1670967741935483,1.22,1.22,1.21,1.25,1.2
205,2005,1.2370967741935484,1.24,1.25,1.24,1.27,1.23
206,2006,1.6570967741935485,1.25,1.27,1.26,1.29,1.26
207,2007,0.9270967741935483,1.28,1.29,1.28,1.31,1.28
208,2008,0.9070967741935483,1.3,1.31,1.3,1.33,1.3
209,2009,1.6070967741935482,1.32,1.33,1.32,1.35,1.32
210,2010,1.3170967741935482,1.34,1.35,1.35,1.37,1.35
211,2011,1.7970967741935482,1.36,1.37,1.37,1.38,1.37
212,2012,1.0070967741935484,1.39,1.4,1.39,1.4,1.4
213,2013,1.1270967741935483,1.42,1.42,1.42,1.42,1.42
214,2014,1.4970967741935484,1.45,1.45,1.45,1.44,1.45
215,2015,1.6470967741935483,1.48,1.48,1.48,1.46,1.48
216,2016,1.4570967741935483,1.51,1.5,1.5,1.48,1.5
217,2017,1.9470967741935485,1.54,1.53,1.53,1.5,1.53
218,2018,1.0870967741935482,1.57,1.55,1.56,1.53,1.56
219,2019,1.3970967741935483,1.6,1.58,1.59,1.55,1.59
220,2020,1.9270967741935485,1.63,1.6,1.62,1.58,1.62
221,2021,,,1.63,1.65,1.6,1.65
222,2022,,,1.65,1.68,1.63,1.69
223,2023,,,1.68,1.71,1.66,1.72
224,2024,,,1.7,1.73,1.69,1.74
225,2025,,,1.72,1.75,1.72,1.77
226,2026,,,1.74,1.78,1.75,1.81
227,2027,,,1.76,1.8,1.78,1.84
228,2028,,,1.78,1.83,1.82,1.87
229,2029,,,1.8,1.85,1.85,1.91
230,2030,,,1.82,1.87,1.88,1.94
231,2031,,,1.84,1.9,1.91,1.98
232,2032,,,1.86,1.92,1.94,2.01
233,2033,,,1.88,1.94,1.97,2.05
234,2034,,,1.9,1.95,2.0,2.08
235,2035,,,1.91,1.97,2.02,2.12
236,2036,,,1.93,1.99,2.05,2.16
237,2037,,,1.94,2.0,2.08,2.19
238,2038,,,1.96,2.02,2.11,2.23
239,2039,,,1.97,2.04,2.13,2.27
240,2040,,,1.98,2.06,2.16,2.31
241,2041,,,1.99,2.08,2.19,2.35
242,2042,,,2.01,2.1,2.22,2.39
243,2043,,,2.02,2.12,2.25,2.42
244,2044,,,2.02,2.13,2.28,2.46
245,2045,,,2.03,2.15,2.31,2.5
246,2046,,,2.04,2.17,2.35,2.53
247,2047,,,2.04,2.19,2.38,2.57
248,2048,,,2.05,2.21,2.41,2.61
249,2049,,,2.05,2.23,2.44,2.64
250,2050,,,2.05,2.25,2.47,2.68
251,2051,,,2.06,2.28,2.5,2.72
252,2052,,,2.06,2.3,2.53,2.76
253,2053,,,2.06,2.32,2.56,2.8
254,2054,,,2.06,2.34,2.59,2.83
255,2055,,,2.06,2.36,2.62,2.87
256,2056,,,2.06,2.39,2.64,2.91
257,2057,,,2.06,2.41,2.67,2.95
258,2058,,,2.06,2.43,2.69,2.99
259,2059,,,2.06,2.44,2.72,3.04
260,2060,,,2.06,2.46,2.75,3.07
261,2061,,,2.06,2.48,2.77,3.12
262,2062,,,2.06,2.5,2.81,3.17
263,2063,,,2.07,2.51,2.84,3.21
264,2064,,,2.07,2.53,2.87,3.26
265,2065,,,2.07,2.54,2.91,3.31
266,2066,,,2.07,2.56,2.95,3.36
267,2067,,,2.07,2.58,2.98,3.41
268,2068,,,2.07,2.59,3.02,3.45
269,2069,,,2.07,2.6,3.05,3.5
270,2070,,,2.07,2.62,3.09,3.56
271,2071,,,2.08,2.63,3.12,3.61
272,2072,,,2.08,2.64,3.16,3.65
273,2073,,,2.08,2.65,3.19,3.7
274,2074,,,2.08,2.66,3.23,3.76
275,2075,,,2.08,2.67,3.26,3.81
276,2076,,,2.08,2.69,3.3,3.86
277,2077,,,2.07,2.71,3.34,3.91
278,2078,,,2.07,2.72,3.38,3.96
279,2079,,,2.07,2.74,3.41,4.01
280,2080,,,2.06,2.76,3.45,4.06
281,2081,,,2.06,2.77,3.48,4.11
282,2082,,,2.06,2.78,3.51,4.15
283,2083,,,2.06,2.8,3.54,4.21
284,2084,,,2.06,2.81,3.58,4.25
285,2085,,,2.06,2.82,3.62,4.3
286,2086,,,2.06,2.83,3.66,4.35
287,2087,,,2.06,2.85,3.7,4.4
288,2088,,,2.06,2.86,3.74,4.45
289,2089,,,2.05,2.86,3.79,4.5
290,2090,,,2.04,2.87,3.83,4.56
291,2091,,,2.04,2.88,3.87,4.61
292,2092,,,2.03,2.89,3.91,4.66
293,2093,,,2.02,2.89,3.95,4.71
294,2094,,,2.02,2.9,3.99,4.76
295,2095,,,2.01,2.91,4.04,4.81
296,2096,,,2.01,2.91,4.08,4.86
297,2097,,,2.0,2.92,4.12,4.91
298,2098,,,1.99,2.92,4.16,4.95
299,2099,,,1.99,2.93,4.2,5.0
300,2100,,,1.98,2.93,4.25,5.06
