Western Sahara,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
96,1896,-0.12741935483870975,0.22,0.18,0.17,0.18,0.16
97,1897,0.42258064516129024,0.25,0.19,0.17,0.19,0.17
98,1898,0.07258064516129023,0.25,0.19,0.18,0.19,0.17
99,1899,1.0425806451612902,0.24,0.2,0.18,0.2,0.17
100,1900,0.19258064516129023,0.22,0.2,0.18,0.2,0.17
101,1901,0.4125806451612902,0.2,0.2,0.18,0.2,0.17
102,1902,0.5325806451612902,0.17,0.2,0.17,0.2,0.17
103,1903,0.03258064516129022,0.15,0.19,0.17,0.19,0.17
104,1904,-0.057419354838709746,0.13,0.19,0.17,0.19,0.16
105,1905,0.06258064516129022,0.1,0.18,0.16,0.18,0.15
106,1906,0.012580645161290205,0.07,0.17,0.16,0.18,0.15
107,1907,-0.45741935483870977,0.05,0.17,0.15,0.17,0.15
108,1908,0.06258064516129022,0.05,0.17,0.15,0.17,0.14
109,1909,0.18258064516129024,0.05,0.16,0.15,0.17,0.14
110,1910,0.04258064516129023,0.06,0.17,0.16,0.17,0.15
111,1911,-0.13741935483870976,0.07,0.17,0.17,0.18,0.15
112,1912,0.06258064516129022,0.07,0.18,0.17,0.18,0.16
113,1913,0.21258064516129022,0.07,0.19,0.18,0.19,0.17
114,1914,0.49258064516129024,0.07,0.2,0.2,0.2,0.18
115,1915,0.3325806451612902,0.07,0.21,0.21,0.21,0.2
116,1916,0.0025806451612902515,0.06,0.22,0.22,0.22,0.21
117,1917,-0.1674193548387098,0.06,0.23,0.23,0.23,0.22
118,1918,-0.2374193548387098,0.06,0.25,0.24,0.25,0.23
119,1919,0.15258064516129022,0.06,0.26,0.26,0.26,0.25
120,1920,-0.10741935483870979,0.07,0.28,0.27,0.28,0.27
121,1921,-0.08741935483870977,0.08,0.3,0.29,0.3,0.28
122,1922,0.13258064516129023,0.1,0.31,0.3,0.31,0.3
123,1923,0.2725806451612902,0.12,0.33,0.32,0.33,0.31
124,1924,0.2825806451612902,0.14,0.34,0.33,0.34,0.32
125,1925,-0.13741935483870976,0.16,0.35,0.34,0.35,0.33
126,1926,0.9525806451612903,0.16,0.36,0.34,0.36,0.34
127,1927,0.5225806451612902,0.17,0.37,0.35,0.37,0.35
128,1928,0.10258064516129023,0.17,0.37,0.36,0.38,0.36
129,1929,0.03258064516129022,0.16,0.38,0.37,0.39,0.36
130,1930,0.14258064516129024,0.15,0.39,0.37,0.39,0.37
131,1931,0.14258064516129024,0.15,0.39,0.38,0.4,0.37
132,1932,0.16258064516129023,0.16,0.4,0.39,0.4,0.38
133,1933,-0.017419354838709766,0.18,0.4,0.39,0.41,0.38
134,1934,-0.11741935483870974,0.21,0.41,0.4,0.41,0.39
135,1935,0.10258064516129023,0.24,0.41,0.4,0.41,0.39
136,1936,0.22258064516129022,0.27,0.42,0.4,0.42,0.4
137,1937,0.9525806451612903,0.3,0.42,0.41,0.42,0.4
138,1938,0.5425806451612902,0.32,0.43,0.42,0.43,0.41
139,1939,0.3425806451612902,0.35,0.43,0.42,0.43,0.41
140,1940,0.5825806451612903,0.38,0.44,0.43,0.44,0.42
141,1941,0.44258064516129025,0.4,0.44,0.43,0.45,0.42
142,1942,0.36258064516129024,0.41,0.45,0.44,0.45,0.43
143,1943,0.07258064516129023,0.4,0.45,0.44,0.45,0.43
144,1944,0.4025806451612902,0.39,0.45,0.44,0.45,0.43
145,1945,0.9225806451612902,0.37,0.45,0.44,0.44,0.43
146,1946,-0.20741935483870977,0.35,0.44,0.43,0.44,0.42
147,1947,0.5325806451612902,0.33,0.44,0.43,0.44,0.42
148,1948,0.43258064516129024,0.3,0.44,0.43,0.43,0.42
149,1949,0.4025806451612902,0.28,0.44,0.43,0.43,0.42
150,1950,0.35258064516129023,0.25,0.43,0.42,0.43,0.42
151,1951,-0.15741935483870978,0.22,0.43,0.42,0.42,0.41
152,1952,0.14258064516129024,0.2,0.43,0.41,0.42,0.41
153,1953,0.37258064516129025,0.19,0.42,0.41,0.41,0.4
154,1954,-0.1674193548387098,0.2,0.42,0.4,0.4,0.4
155,1955,1.15258064516129,0.21,0.41,0.39,0.4,0.39
156,1956,-0.14741935483870977,0.23,0.4,0.39,0.39,0.39
157,1957,-0.12741935483870975,0.26,0.4,0.38,0.38,0.38
158,1958,0.7125806451612902,0.3,0.39,0.37,0.37,0.37
159,1959,0.16258064516129023,0.34,0.38,0.37,0.37,0.37
160,1960,0.35258064516129023,0.37,0.37,0.36,0.36,0.36
161,1961,0.9725806451612903,0.4,0.37,0.35,0.36,0.35
162,1962,0.6325806451612903,0.42,0.36,0.35,0.35,0.34
163,1963,0.36258064516129024,0.43,0.35,0.34,0.35,0.34
164,1964,0.7725806451612902,0.43,0.35,0.34,0.34,0.33
165,1965,0.16258064516129023,0.42,0.34,0.34,0.34,0.33
166,1966,0.7425806451612902,0.39,0.34,0.34,0.34,0.33
167,1967,0.09258064516129022,0.35,0.34,0.34,0.34,0.32
168,1968,0.12258064516129022,0.31,0.34,0.34,0.35,0.33
169,1969,0.5125806451612902,0.26,0.35,0.35,0.35,0.33
170,1970,0.7825806451612902,0.22,0.36,0.36,0.36,0.34
171,1971,-0.31741935483870976,0.21,0.37,0.37,0.38,0.36
172,1972,-0.7974193548387098,0.23,0.39,0.39,0.4,0.38
173,1973,0.30258064516129024,0.26,0.41,0.41,0.42,0.4
174,1974,-0.29741935483870974,0.31,0.43,0.43,0.44,0.42
175,1975,-0.027419354838709775,0.35,0.45,0.45,0.46,0.44
176,1976,-0.6174193548387098,0.4,0.47,0.47,0.48,0.46
177,1977,0.5125806451612902,0.46,0.49,0.49,0.49,0.48
178,1978,0.7225806451612902,0.54,0.51,0.51,0.51,0.5
179,1979,0.9825806451612902,0.61,0.53,0.53,0.53,0.52
180,1980,0.8225806451612903,0.69,0.55,0.55,0.55,0.55
181,1981,1.0625806451612902,0.75,0.58,0.58,0.58,0.57
182,1982,0.2725806451612902,0.8,0.6,0.6,0.6,0.59
183,1983,1.5725806451612903,0.85,0.62,0.62,0.62,0.61
184,1984,0.6125806451612903,0.88,0.64,0.64,0.65,0.63
185,1985,0.9625806451612903,0.9,0.66,0.66,0.67,0.65
186,1986,0.3425806451612902,0.92,0.68,0.68,0.69,0.67
187,1987,1.7725806451612902,0.93,0.7,0.7,0.71,0.69
188,1988,0.8125806451612902,0.95,0.72,0.72,0.73,0.71
189,1989,1.3525806451612903,0.99,0.74,0.75,0.75,0.73
190,1990,1.3925806451612903,1.03,0.77,0.77,0.78,0.76
191,1991,0.7025806451612902,1.09,0.8,0.8,0.81,0.79
192,1992,0.6725806451612902,1.14,0.84,0.84,0.85,0.82
193,1993,0.2825806451612902,1.18,0.88,0.88,0.89,0.86
194,1994,1.3125806451612902,1.21,0.92,0.91,0.93,0.9
195,1995,1.4825806451612902,1.24,0.96,0.95,0.97,0.94
196,1996,1.4125806451612903,1.27,1.0,0.99,1.0,0.98
197,1997,1.4125806451612903,1.31,1.03,1.02,1.04,1.01
198,1998,1.7625806451612902,1.35,1.07,1.06,1.07,1.05
199,1999,0.8725806451612902,1.38,1.11,1.09,1.11,1.09
200,2000,1.1725806451612901,1.4,1.15,1.13,1.15,1.13
201,2001,1.6925806451612901,1.4,1.19,1.17,1.19,1.17
202,2002,1.4325806451612901,1.4,1.23,1.21,1.23,1.21
203,2003,1.3325806451612903,1.4,1.27,1.26,1.27,1.26
204,2004,1.5025806451612902,1.4,1.31,1.3,1.31,1.3
205,2005,1.3925806451612903,1.42,1.35,1.33,1.35,1.33
206,2006,1.4725806451612902,1.43,1.38,1.37,1.39,1.37
207,2007,1.1225806451612903,1.45,1.41,1.4,1.42,1.4
208,2008,1.3425806451612903,1.46,1.44,1.43,1.45,1.43
209,2009,1.5825806451612903,1.48,1.47,1.46,1.48,1.46
210,2010,2.46258064516129,1.5,1.5,1.5,1.51,1.49
211,2011,1.6025806451612903,1.54,1.53,1.53,1.54,1.53
212,2012,1.3225806451612903,1.57,1.57,1.56,1.57,1.56
213,2013,1.6225806451612903,1.59,1.6,1.6,1.6,1.59
214,2014,1.4925806451612902,1.62,1.63,1.63,1.63,1.63
215,2015,1.7325806451612902,1.64,1.67,1.67,1.66,1.67
216,2016,1.8425806451612903,1.67,1.69,1.7,1.69,1.7
217,2017,2.1225806451612903,1.7,1.72,1.73,1.71,1.73
218,2018,0.8925806451612902,1.72,1.75,1.76,1.74,1.77
219,2019,1.3725806451612903,1.75,1.77,1.79,1.76,1.8
220,2020,1.9525806451612902,1.77,1.8,1.83,1.79,1.83
221,2021,,,1.83,1.86,1.82,1.87
222,2022,,,1.86,1.89,1.85,1.91
223,2023,,,1.89,1.92,1.88,1.95
224,2024,,,1.93,1.95,1.91,1.99
225,2025,,,1.96,1.98,1.95,2.03
226,2026,,,1.99,2.01,1.98,2.07
227,2027,,,2.02,2.04,2.02,2.12
228,2028,,,2.04,2.07,2.06,2.16
229,2029,,,2.07,2.1,2.1,2.2
230,2030,,,2.1,2.13,2.14,2.24
231,2031,,,2.12,2.16,2.18,2.28
232,2032,,,2.15,2.19,2.22,2.32
233,2033,,,2.17,2.21,2.26,2.36
234,2034,,,2.19,2.24,2.29,2.41
235,2035,,,2.21,2.26,2.33,2.45
236,2036,,,2.23,2.29,2.37,2.49
237,2037,,,2.25,2.31,2.41,2.54
238,2038,,,2.26,2.34,2.44,2.59
239,2039,,,2.28,2.37,2.48,2.64
240,2040,,,2.3,2.4,2.52,2.69
241,2041,,,2.31,2.43,2.56,2.74
242,2042,,,2.33,2.45,2.6,2.79
243,2043,,,2.35,2.48,2.63,2.84
244,2044,,,2.37,2.51,2.67,2.89
245,2045,,,2.38,2.53,2.71,2.94
246,2046,,,2.4,2.56,2.75,2.99
247,2047,,,2.41,2.59,2.79,3.04
248,2048,,,2.42,2.61,2.83,3.09
249,2049,,,2.42,2.64,2.86,3.14
250,2050,,,2.43,2.67,2.91,3.2
251,2051,,,2.44,2.7,2.95,3.25
252,2052,,,2.44,2.73,2.99,3.3
253,2053,,,2.44,2.75,3.03,3.35
254,2054,,,2.45,2.78,3.08,3.41
255,2055,,,2.45,2.81,3.12,3.46
256,2056,,,2.45,2.85,3.16,3.51
257,2057,,,2.45,2.88,3.21,3.57
258,2058,,,2.45,2.9,3.25,3.62
259,2059,,,2.45,2.93,3.29,3.67
260,2060,,,2.45,2.96,3.33,3.72
261,2061,,,2.45,2.98,3.37,3.77
262,2062,,,2.45,3.01,3.42,3.83
263,2063,,,2.45,3.03,3.46,3.89
264,2064,,,2.45,3.05,3.51,3.95
265,2065,,,2.45,3.07,3.55,4.01
266,2066,,,2.45,3.08,3.6,4.07
267,2067,,,2.45,3.1,3.64,4.14
268,2068,,,2.44,3.11,3.68,4.19
269,2069,,,2.44,3.13,3.72,4.26
270,2070,,,2.44,3.14,3.76,4.32
271,2071,,,2.43,3.15,3.8,4.39
272,2072,,,2.43,3.16,3.84,4.45
273,2073,,,2.42,3.17,3.88,4.51
274,2074,,,2.41,3.19,3.92,4.58
275,2075,,,2.41,3.2,3.97,4.64
276,2076,,,2.4,3.22,4.02,4.71
277,2077,,,2.4,3.24,4.06,4.77
278,2078,,,2.39,3.26,4.11,4.83
279,2079,,,2.39,3.28,4.15,4.9
280,2080,,,2.39,3.3,4.2,4.96
281,2081,,,2.39,3.32,4.24,5.02
282,2082,,,2.38,3.34,4.29,5.08
283,2083,,,2.38,3.35,4.33,5.14
284,2084,,,2.38,3.37,4.38,5.19
285,2085,,,2.38,3.39,4.43,5.25
286,2086,,,2.38,3.4,4.48,5.31
287,2087,,,2.37,3.42,4.53,5.37
288,2088,,,2.37,3.44,4.58,5.42
289,2089,,,2.36,3.45,4.62,5.48
290,2090,,,2.35,3.46,4.67,5.54
291,2091,,,2.34,3.47,4.72,5.6
292,2092,,,2.34,3.48,4.76,5.65
293,2093,,,2.33,3.49,4.81,5.71
294,2094,,,2.32,3.5,4.85,5.76
295,2095,,,2.32,3.51,4.9,5.82
296,2096,,,2.31,3.52,4.94,5.87
297,2097,,,2.3,3.53,4.99,5.92
298,2098,,,2.3,3.53,5.03,5.97
299,2099,,,2.29,3.54,5.08,6.02
300,2100,,,2.28,3.55,5.13,6.09
