Mauritania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
83,1883,-0.04967741935483866,-0.04,-0.04,-0.06,-0.07,-0.07
84,1884,-0.3696774193548386,-0.07,-0.04,-0.06,-0.08,-0.07
85,1885,-0.42967741935483866,-0.09,-0.05,-0.07,-0.08,-0.08
86,1886,-0.17967741935483866,-0.08,-0.05,-0.07,-0.09,-0.08
87,1887,0.12032258064516133,-0.07,-0.05,-0.07,-0.09,-0.09
88,1888,0.08032258064516135,-0.04,-0.05,-0.07,-0.09,-0.09
89,1889,-0.2596774193548386,-0.01,-0.05,-0.07,-0.09,-0.09
90,1890,-0.5496774193548386,0.03,-0.05,-0.07,-0.09,-0.08
91,1891,0.13032258064516133,0.07,-0.05,-0.07,-0.09,-0.08
92,1892,0.41032258064516136,0.1,-0.04,-0.06,-0.08,-0.07
93,1893,0.7803225806451614,0.13,-0.03,-0.05,-0.06,-0.06
94,1894,-0.05967741935483867,0.16,-0.02,-0.04,-0.05,-0.05
95,1895,0.45032258064516134,0.2,-0.01,-0.04,-0.04,-0.04
96,1896,-0.11967741935483867,0.23,-0.0,-0.03,-0.03,-0.03
97,1897,0.3503225806451613,0.24,0.0,-0.03,-0.03,-0.03
98,1898,0.08032258064516135,0.23,0.0,-0.03,-0.02,-0.03
99,1899,1.0903225806451613,0.21,0.0,-0.03,-0.02,-0.03
100,1900,0.12032258064516133,0.18,0.0,-0.03,-0.02,-0.03
101,1901,0.46032258064516135,0.15,-0.0,-0.03,-0.02,-0.03
102,1902,0.6703225806451614,0.13,-0.0,-0.03,-0.03,-0.03
103,1903,-0.04967741935483866,0.12,-0.01,-0.04,-0.03,-0.03
104,1904,-0.15967741935483865,0.1,-0.01,-0.04,-0.03,-0.04
105,1905,-0.03967741935483865,0.08,-0.02,-0.05,-0.03,-0.04
106,1906,-0.019677419354838688,0.07,-0.02,-0.05,-0.04,-0.05
107,1907,-0.5096774193548386,0.06,-0.02,-0.05,-0.04,-0.05
108,1908,0.15032258064516132,0.06,-0.03,-0.05,-0.04,-0.05
109,1909,0.21032258064516135,0.08,-0.02,-0.05,-0.04,-0.05
110,1910,0.20032258064516134,0.09,-0.02,-0.04,-0.03,-0.05
111,1911,-0.19967741935483868,0.1,-0.01,-0.03,-0.03,-0.04
112,1912,0.22032258064516133,0.11,-0.0,-0.02,-0.02,-0.03
113,1913,0.29032258064516137,0.1,0.01,-0.01,-0.0,-0.01
114,1914,0.5903225806451613,0.09,0.03,0.01,0.01,0.0
115,1915,0.28032258064516136,0.09,0.04,0.02,0.02,0.02
116,1916,-0.06967741935483868,0.08,0.06,0.03,0.04,0.03
117,1917,-0.2196774193548387,0.08,0.07,0.05,0.05,0.05
118,1918,-0.30967741935483867,0.08,0.09,0.06,0.06,0.06
119,1919,0.17032258064516134,0.09,0.1,0.08,0.08,0.08
120,1920,-0.12967741935483867,0.1,0.12,0.1,0.09,0.1
121,1921,-0.03967741935483865,0.11,0.14,0.11,0.11,0.11
122,1922,0.23032258064516134,0.13,0.15,0.13,0.13,0.13
123,1923,0.38032258064516133,0.15,0.17,0.14,0.14,0.14
124,1924,0.3503225806451613,0.17,0.18,0.15,0.16,0.16
125,1925,0.17032258064516134,0.19,0.19,0.16,0.17,0.16
126,1926,0.7503225806451613,0.2,0.19,0.17,0.18,0.17
127,1927,0.23032258064516134,0.21,0.2,0.18,0.18,0.18
128,1928,-0.009677419354838679,0.21,0.21,0.18,0.19,0.19
129,1929,-0.2296774193548387,0.2,0.21,0.19,0.2,0.19
130,1930,0.13032258064516133,0.19,0.22,0.2,0.2,0.2
131,1931,0.4903225806451613,0.19,0.23,0.2,0.21,0.21
132,1932,0.32032258064516134,0.2,0.23,0.21,0.22,0.21
133,1933,0.030322580645161357,0.22,0.24,0.22,0.22,0.22
134,1934,0.030322580645161357,0.25,0.24,0.22,0.22,0.22
135,1935,0.24032258064516132,0.29,0.25,0.22,0.23,0.23
136,1936,0.10032258064516134,0.32,0.25,0.23,0.23,0.23
137,1937,0.7203225806451614,0.35,0.26,0.23,0.24,0.23
138,1938,0.42032258064516137,0.38,0.26,0.24,0.24,0.24
139,1939,0.33032258064516135,0.41,0.27,0.24,0.25,0.24
140,1940,0.5603225806451613,0.43,0.27,0.25,0.25,0.25
141,1941,0.7203225806451614,0.44,0.28,0.26,0.26,0.25
142,1942,0.5803225806451613,0.45,0.28,0.26,0.26,0.26
143,1943,0.05032258064516132,0.44,0.29,0.26,0.27,0.26
144,1944,0.5603225806451613,0.41,0.29,0.26,0.27,0.26
145,1945,0.7803225806451614,0.37,0.29,0.26,0.27,0.26
146,1946,0.12032258064516133,0.34,0.29,0.26,0.27,0.26
147,1947,0.4703225806451613,0.3,0.29,0.27,0.27,0.26
148,1948,0.17032258064516134,0.26,0.29,0.27,0.27,0.26
149,1949,0.28032258064516136,0.22,0.29,0.27,0.27,0.27
150,1950,-0.019677419354838688,0.2,0.29,0.27,0.27,0.27
151,1951,0.07032258064516134,0.17,0.3,0.27,0.27,0.27
152,1952,-0.09967741935483865,0.16,0.3,0.28,0.28,0.28
153,1953,0.3503225806451613,0.16,0.31,0.28,0.28,0.28
154,1954,-0.15967741935483865,0.18,0.31,0.28,0.28,0.29
155,1955,0.7903225806451613,0.21,0.31,0.28,0.28,0.29
156,1956,-0.04967741935483866,0.24,0.31,0.28,0.27,0.28
157,1957,-0.12967741935483867,0.28,0.31,0.28,0.27,0.28
158,1958,0.7303225806451613,0.31,0.3,0.27,0.26,0.27
159,1959,0.34032258064516135,0.34,0.3,0.27,0.26,0.27
160,1960,0.3603225806451613,0.37,0.29,0.26,0.25,0.26
161,1961,0.6703225806451614,0.38,0.28,0.25,0.24,0.26
162,1962,0.5103225806451613,0.39,0.28,0.25,0.24,0.25
163,1963,0.40032258064516135,0.4,0.27,0.25,0.23,0.25
164,1964,0.5403225806451614,0.4,0.27,0.24,0.23,0.24
165,1965,-0.05967741935483867,0.39,0.26,0.24,0.22,0.23
166,1966,0.8303225806451613,0.37,0.26,0.23,0.22,0.23
167,1967,-0.05967741935483867,0.34,0.25,0.23,0.22,0.23
168,1968,0.20032258064516134,0.3,0.25,0.23,0.22,0.23
169,1969,0.7903225806451613,0.27,0.25,0.24,0.23,0.23
170,1970,0.9203225806451614,0.25,0.26,0.24,0.24,0.24
171,1971,-0.10967741935483866,0.25,0.27,0.26,0.25,0.25
172,1972,-0.13967741935483868,0.28,0.29,0.28,0.27,0.27
173,1973,0.45032258064516134,0.32,0.31,0.3,0.3,0.29
174,1974,-0.30967741935483867,0.37,0.33,0.32,0.32,0.31
175,1975,-0.05967741935483867,0.43,0.35,0.34,0.34,0.34
176,1976,-0.6196774193548387,0.48,0.38,0.37,0.36,0.36
177,1977,0.7703225806451613,0.54,0.4,0.39,0.38,0.38
178,1978,0.6503225806451614,0.61,0.42,0.41,0.41,0.4
179,1979,1.0603225806451613,0.67,0.44,0.43,0.43,0.42
180,1980,0.9403225806451614,0.72,0.47,0.45,0.45,0.45
181,1981,1.1203225806451613,0.76,0.49,0.48,0.48,0.47
182,1982,0.32032258064516134,0.78,0.51,0.5,0.5,0.49
183,1983,1.7003225806451612,0.81,0.54,0.52,0.52,0.52
184,1984,0.7003225806451614,0.83,0.56,0.54,0.55,0.54
185,1985,0.7203225806451614,0.84,0.58,0.57,0.57,0.56
186,1986,0.27032258064516135,0.85,0.6,0.58,0.59,0.58
187,1987,1.9303225806451614,0.85,0.62,0.6,0.61,0.6
188,1988,0.8003225806451613,0.87,0.64,0.63,0.63,0.62
189,1989,1.1703225806451614,0.89,0.67,0.65,0.65,0.64
190,1990,1.3903225806451613,0.94,0.69,0.68,0.68,0.67
191,1991,0.8903225806451613,0.99,0.73,0.71,0.71,0.7
192,1992,0.7703225806451613,1.05,0.76,0.74,0.75,0.74
193,1993,0.7603225806451613,1.11,0.8,0.78,0.79,0.77
194,1994,1.0003225806451614,1.15,0.84,0.82,0.83,0.81
195,1995,1.2903225806451613,1.19,0.88,0.86,0.87,0.85
196,1996,1.6303225806451613,1.22,0.92,0.89,0.9,0.89
197,1997,1.3303225806451613,1.26,0.95,0.93,0.94,0.93
198,1998,1.8103225806451613,1.3,0.99,0.96,0.98,0.96
199,1999,0.6803225806451614,1.35,1.03,1.0,1.01,1.0
200,2000,1.2903225806451613,1.38,1.07,1.04,1.05,1.04
201,2001,1.5703225806451613,1.39,1.11,1.08,1.1,1.08
202,2002,1.4403225806451614,1.39,1.15,1.13,1.14,1.13
203,2003,1.3003225806451613,1.39,1.19,1.17,1.18,1.17
204,2004,1.5403225806451613,1.38,1.23,1.21,1.22,1.21
205,2005,1.5003225806451612,1.39,1.27,1.25,1.26,1.25
206,2006,1.3703225806451613,1.39,1.31,1.29,1.3,1.29
207,2007,1.1803225806451614,1.39,1.34,1.32,1.33,1.33
208,2008,1.2403225806451614,1.4,1.37,1.36,1.37,1.36
209,2009,1.3703225806451613,1.41,1.4,1.39,1.4,1.39
210,2010,2.390322580645161,1.43,1.43,1.42,1.43,1.42
211,2011,1.6103225806451613,1.45,1.46,1.46,1.46,1.45
212,2012,1.0003225806451614,1.47,1.49,1.49,1.49,1.49
213,2013,1.5603225806451613,1.5,1.52,1.53,1.53,1.52
214,2014,1.4003225806451614,1.53,1.56,1.57,1.56,1.56
215,2015,1.5803225806451613,1.56,1.6,1.6,1.6,1.6
216,2016,1.8603225806451613,1.59,1.63,1.64,1.63,1.63
217,2017,2.0203225806451615,1.62,1.65,1.67,1.66,1.67
218,2018,1.1203225806451613,1.65,1.68,1.7,1.69,1.7
219,2019,1.4603225806451612,1.68,1.71,1.73,1.72,1.74
220,2020,1.8603225806451613,1.71,1.75,1.76,1.75,1.78
221,2021,,,1.78,1.8,1.78,1.82
222,2022,,,1.81,1.83,1.82,1.86
223,2023,,,1.85,1.86,1.85,1.9
224,2024,,,1.88,1.9,1.88,1.95
225,2025,,,1.92,1.93,1.91,1.99
226,2026,,,1.95,1.96,1.95,2.04
227,2027,,,1.99,2.0,1.99,2.08
228,2028,,,2.02,2.03,2.02,2.13
229,2029,,,2.05,2.06,2.06,2.18
230,2030,,,2.08,2.1,2.1,2.22
231,2031,,,2.11,2.13,2.14,2.27
232,2032,,,2.13,2.16,2.18,2.31
233,2033,,,2.16,2.18,2.22,2.35
234,2034,,,2.18,2.21,2.26,2.4
235,2035,,,2.2,2.24,2.3,2.45
236,2036,,,2.22,2.27,2.35,2.49
237,2037,,,2.24,2.3,2.39,2.54
238,2038,,,2.26,2.33,2.43,2.59
239,2039,,,2.27,2.36,2.47,2.65
240,2040,,,2.29,2.39,2.52,2.7
241,2041,,,2.31,2.42,2.56,2.76
242,2042,,,2.32,2.46,2.61,2.81
243,2043,,,2.34,2.49,2.65,2.87
244,2044,,,2.35,2.51,2.69,2.93
245,2045,,,2.37,2.54,2.74,2.98
246,2046,,,2.38,2.57,2.78,3.04
247,2047,,,2.39,2.6,2.83,3.09
248,2048,,,2.4,2.63,2.87,3.14
249,2049,,,2.41,2.66,2.91,3.2
250,2050,,,2.41,2.69,2.95,3.25
251,2051,,,2.42,2.73,3.0,3.31
252,2052,,,2.43,2.76,3.04,3.37
253,2053,,,2.43,2.79,3.09,3.43
254,2054,,,2.44,2.83,3.14,3.48
255,2055,,,2.44,2.86,3.19,3.54
256,2056,,,2.45,2.89,3.23,3.6
257,2057,,,2.45,2.92,3.28,3.66
258,2058,,,2.45,2.95,3.33,3.72
259,2059,,,2.45,2.98,3.37,3.78
260,2060,,,2.45,3.01,3.42,3.84
261,2061,,,2.45,3.03,3.47,3.9
262,2062,,,2.45,3.06,3.52,3.97
263,2063,,,2.45,3.08,3.57,4.04
264,2064,,,2.45,3.1,3.62,4.1
265,2065,,,2.45,3.12,3.67,4.17
266,2066,,,2.44,3.14,3.72,4.24
267,2067,,,2.44,3.15,3.77,4.31
268,2068,,,2.44,3.17,3.82,4.37
269,2069,,,2.43,3.19,3.86,4.44
270,2070,,,2.43,3.2,3.91,4.51
271,2071,,,2.43,3.22,3.95,4.57
272,2072,,,2.42,3.24,4.0,4.64
273,2073,,,2.42,3.25,4.05,4.71
274,2074,,,2.41,3.27,4.1,4.78
275,2075,,,2.41,3.29,4.15,4.85
276,2076,,,2.4,3.31,4.2,4.92
277,2077,,,2.4,3.33,4.25,4.98
278,2078,,,2.4,3.35,4.3,5.05
279,2079,,,2.4,3.37,4.35,5.12
280,2080,,,2.39,3.39,4.4,5.18
281,2081,,,2.39,3.41,4.45,5.25
282,2082,,,2.39,3.43,4.5,5.31
283,2083,,,2.38,3.44,4.55,5.38
284,2084,,,2.38,3.46,4.6,5.45
285,2085,,,2.37,3.48,4.66,5.51
286,2086,,,2.37,3.5,4.71,5.57
287,2087,,,2.36,3.51,4.77,5.64
288,2088,,,2.35,3.53,4.83,5.71
289,2089,,,2.34,3.54,4.88,5.77
290,2090,,,2.33,3.55,4.93,5.84
291,2091,,,2.32,3.57,4.99,5.9
292,2092,,,2.31,3.58,5.04,5.97
293,2093,,,2.3,3.6,5.1,6.03
294,2094,,,2.29,3.61,5.15,6.09
295,2095,,,2.28,3.63,5.2,6.16
296,2096,,,2.27,3.64,5.25,6.22
297,2097,,,2.26,3.65,5.31,6.28
298,2098,,,2.25,3.66,5.36,6.34
299,2099,,,2.24,3.67,5.41,6.39
300,2100,,,2.23,3.69,5.46,6.47
