Egypt,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
82,1882,-0.49129032258064514,-0.04,0.04,0.0,0.04,0.01
83,1883,-0.26129032258064516,-0.07,0.03,-0.0,0.04,0.01
84,1884,-0.7212903225806451,-0.09,0.03,-0.01,0.04,0.0
85,1885,-0.13129032258064516,-0.11,0.02,-0.01,0.03,-0.0
86,1886,-0.4412903225806452,-0.13,0.02,-0.02,0.03,-0.01
87,1887,-0.0012903225806451535,-0.13,0.01,-0.02,0.03,-0.01
88,1888,-0.09129032258064523,-0.13,0.01,-0.02,0.02,-0.01
89,1889,0.10870967741935483,-0.1,0.01,-0.03,0.02,-0.02
90,1890,-0.10129032258064513,-0.08,0.0,-0.03,0.02,-0.02
91,1891,0.0087096774193548,-0.06,0.0,-0.03,0.02,-0.02
92,1892,0.1387096774193548,-0.05,0.01,-0.03,0.02,-0.02
93,1893,-0.34129032258064523,-0.04,0.02,-0.02,0.02,-0.01
94,1894,-0.011290322580645162,-0.02,0.02,-0.01,0.03,-0.0
95,1895,-0.03129032258064518,-0.01,0.03,-0.01,0.03,0.0
96,1896,0.11870967741935484,0.01,0.04,-0.0,0.03,0.01
97,1897,-0.25129032258064515,0.02,0.04,-0.0,0.03,0.01
98,1898,-0.06129032258064521,0.01,0.03,-0.0,0.03,0.0
99,1899,0.0087096774193548,0.01,0.03,-0.01,0.02,-0.0
100,1900,0.3987096774193548,-0.0,0.02,-0.02,0.01,-0.01
101,1901,0.6887096774193548,-0.02,0.01,-0.02,0.01,-0.01
102,1902,0.2587096774193548,-0.03,0.01,-0.03,0.0,-0.02
103,1903,-0.36129032258064514,-0.05,-0.0,-0.04,-0.01,-0.03
104,1904,-0.4412903225806452,-0.07,-0.01,-0.04,-0.01,-0.03
105,1905,-0.08129032258064522,-0.1,-0.02,-0.05,-0.02,-0.04
106,1906,0.30870967741935484,-0.14,-0.02,-0.06,-0.02,-0.05
107,1907,-0.5212903225806451,-0.18,-0.03,-0.06,-0.03,-0.05
108,1908,-0.4112903225806452,-0.2,-0.03,-0.07,-0.03,-0.05
109,1909,0.4987096774193548,-0.2,-0.04,-0.07,-0.03,-0.06
110,1910,-0.34129032258064523,-0.18,-0.04,-0.07,-0.03,-0.06
111,1911,-0.25129032258064515,-0.15,-0.03,-0.06,-0.03,-0.05
112,1912,-0.35129032258064513,-0.11,-0.02,-0.05,-0.02,-0.04
113,1913,-0.661290322580645,-0.08,-0.01,-0.04,-0.01,-0.03
114,1914,-0.0012903225806451535,-0.05,0.0,-0.03,0.01,-0.02
115,1915,0.5887096774193548,-0.01,0.01,-0.02,0.02,-0.01
116,1916,0.5887096774193548,0.02,0.03,-0.01,0.03,0.01
117,1917,-0.10129032258064513,0.06,0.04,0.01,0.04,0.02
118,1918,0.22870967741935483,0.11,0.05,0.02,0.05,0.03
119,1919,0.3287096774193548,0.15,0.06,0.03,0.07,0.04
120,1920,-0.3112903225806452,0.18,0.08,0.04,0.08,0.05
121,1921,-0.0012903225806451535,0.2,0.09,0.06,0.09,0.07
122,1922,0.30870967741935484,0.22,0.1,0.07,0.1,0.08
123,1923,0.21870967741935482,0.24,0.11,0.08,0.11,0.09
124,1924,0.3987096774193548,0.27,0.12,0.09,0.12,0.1
125,1925,0.31870967741935485,0.3,0.13,0.09,0.13,0.1
126,1926,0.10870967741935483,0.32,0.13,0.1,0.13,0.11
127,1927,0.5387096774193548,0.34,0.14,0.1,0.14,0.12
128,1928,0.7587096774193548,0.35,0.14,0.11,0.14,0.12
129,1929,0.15870967741935482,0.36,0.15,0.11,0.15,0.12
130,1930,0.4487096774193548,0.38,0.15,0.12,0.15,0.13
131,1931,0.5287096774193548,0.39,0.16,0.12,0.15,0.13
132,1932,0.17870967741935484,0.4,0.16,0.13,0.16,0.14
133,1933,0.1987096774193548,0.41,0.17,0.13,0.16,0.14
134,1934,0.3687096774193548,0.42,0.18,0.14,0.17,0.15
135,1935,0.3487096774193548,0.44,0.18,0.14,0.17,0.15
136,1936,0.8387096774193548,0.44,0.19,0.15,0.18,0.16
137,1937,0.6187096774193548,0.45,0.19,0.15,0.18,0.16
138,1938,-0.0012903225806451535,0.45,0.2,0.16,0.19,0.17
139,1939,0.7787096774193548,0.44,0.2,0.16,0.19,0.17
140,1940,0.5087096774193548,0.43,0.2,0.17,0.19,0.17
141,1941,0.6787096774193548,0.42,0.21,0.17,0.19,0.18
142,1942,0.4587096774193548,0.4,0.21,0.17,0.19,0.18
143,1943,0.058709677419354844,0.37,0.22,0.17,0.2,0.18
144,1944,0.2387096774193548,0.35,0.22,0.18,0.2,0.19
145,1945,-0.22129032258064513,0.34,0.22,0.18,0.2,0.19
146,1946,0.6087096774193548,0.34,0.22,0.18,0.2,0.19
147,1947,0.8587096774193548,0.33,0.22,0.18,0.2,0.19
148,1948,-0.3312903225806452,0.34,0.22,0.18,0.2,0.19
149,1949,-0.6012903225806452,0.35,0.22,0.18,0.2,0.19
150,1950,0.21870967741935482,0.38,0.22,0.18,0.2,0.19
151,1951,0.5487096774193548,0.4,0.23,0.18,0.2,0.19
152,1952,0.7487096774193549,0.43,0.23,0.18,0.2,0.19
153,1953,0.17870967741935484,0.46,0.23,0.18,0.21,0.19
154,1954,0.2087096774193548,0.49,0.23,0.18,0.21,0.19
155,1955,0.9287096774193548,0.53,0.23,0.18,0.2,0.19
156,1956,0.5387096774193548,0.57,0.22,0.17,0.2,0.19
157,1957,0.5887096774193548,0.59,0.21,0.16,0.19,0.18
158,1958,0.8787096774193548,0.6,0.2,0.16,0.18,0.17
159,1959,-0.07129032258064522,0.6,0.19,0.15,0.18,0.16
160,1960,1.1587096774193548,0.58,0.18,0.14,0.17,0.15
161,1961,-0.1812903225806452,0.57,0.17,0.13,0.16,0.15
162,1962,1.0887096774193548,0.55,0.16,0.12,0.15,0.14
163,1963,1.2187096774193549,0.52,0.15,0.12,0.15,0.13
164,1964,0.0087096774193548,0.5,0.15,0.11,0.14,0.12
165,1965,0.24870967741935482,0.47,0.14,0.1,0.13,0.12
166,1966,0.9087096774193548,0.44,0.13,0.1,0.12,0.11
167,1967,-0.21129032258064523,0.4,0.12,0.09,0.12,0.1
168,1968,0.2687096774193548,0.37,0.12,0.09,0.11,0.1
169,1969,0.9387096774193548,0.34,0.11,0.09,0.11,0.1
170,1970,0.21870967741935482,0.32,0.12,0.09,0.12,0.1
171,1971,0.1887096774193548,0.31,0.12,0.1,0.12,0.11
172,1972,0.3387096774193548,0.3,0.13,0.11,0.14,0.12
173,1973,0.2787096774193548,0.31,0.14,0.12,0.15,0.13
174,1974,0.24870967741935482,0.32,0.16,0.14,0.16,0.15
175,1975,0.09870967741935482,0.34,0.17,0.15,0.18,0.16
176,1976,0.3887096774193548,0.34,0.18,0.17,0.19,0.17
177,1977,0.2387096774193548,0.35,0.2,0.18,0.21,0.19
178,1978,0.4687096774193548,0.35,0.21,0.2,0.22,0.2
179,1979,1.0587096774193547,0.36,0.23,0.21,0.24,0.22
180,1980,0.6087096774193548,0.38,0.25,0.23,0.25,0.24
181,1981,0.3887096774193548,0.39,0.27,0.25,0.28,0.26
182,1982,0.03870967741935483,0.41,0.29,0.28,0.3,0.28
183,1983,-0.37129032258064515,0.42,0.32,0.3,0.32,0.31
184,1984,0.3387096774193548,0.43,0.34,0.33,0.35,0.33
185,1985,0.7487096774193549,0.43,0.37,0.36,0.38,0.36
186,1986,0.4087096774193548,0.44,0.4,0.39,0.4,0.39
187,1987,0.3387096774193548,0.46,0.43,0.42,0.43,0.42
188,1988,0.7287096774193549,0.49,0.47,0.45,0.47,0.45
189,1989,0.3387096774193548,0.53,0.5,0.49,0.5,0.48
190,1990,0.6287096774193548,0.57,0.54,0.52,0.54,0.52
191,1991,0.5787096774193549,0.6,0.58,0.56,0.58,0.56
192,1992,0.028709677419354818,0.64,0.62,0.6,0.62,0.6
193,1993,0.8287096774193548,0.68,0.66,0.64,0.66,0.64
194,1994,0.7887096774193548,0.73,0.7,0.68,0.7,0.68
195,1995,0.7387096774193549,0.77,0.75,0.73,0.75,0.73
196,1996,0.9787096774193549,0.82,0.79,0.77,0.79,0.77
197,1997,0.41870967741935483,0.86,0.83,0.81,0.83,0.81
198,1998,1.1887096774193548,0.9,0.87,0.85,0.87,0.85
199,1999,1.278709677419355,0.94,0.91,0.89,0.91,0.89
200,2000,0.3887096774193548,0.97,0.95,0.93,0.95,0.93
201,2001,1.028709677419355,1.0,0.99,0.97,0.99,0.97
202,2002,1.1887096774193548,1.02,1.03,1.01,1.03,1.01
203,2003,1.0687096774193547,1.05,1.07,1.05,1.08,1.05
204,2004,1.0487096774193547,1.08,1.11,1.09,1.12,1.09
205,2005,1.0487096774193547,1.1,1.15,1.13,1.16,1.13
206,2006,0.9787096774193549,1.13,1.19,1.17,1.2,1.17
207,2007,1.0687096774193547,1.16,1.23,1.21,1.23,1.21
208,2008,1.3787096774193548,1.21,1.26,1.25,1.27,1.25
209,2009,1.278709677419355,1.26,1.3,1.29,1.3,1.29
210,2010,2.698709677419355,1.32,1.33,1.32,1.34,1.32
211,2011,0.8487096774193548,1.38,1.36,1.36,1.37,1.36
212,2012,1.4687096774193549,1.42,1.4,1.4,1.4,1.39
213,2013,1.4287096774193548,1.46,1.43,1.43,1.44,1.43
214,2014,1.818709677419355,1.49,1.47,1.47,1.47,1.47
215,2015,1.6287096774193548,1.53,1.51,1.52,1.5,1.51
216,2016,2.008709677419355,1.57,1.54,1.55,1.53,1.54
217,2017,1.3287096774193548,1.6,1.57,1.59,1.56,1.58
218,2018,2.338709677419355,1.64,1.6,1.62,1.59,1.62
219,2019,1.4587096774193549,1.67,1.63,1.65,1.62,1.66
220,2020,1.4287096774193548,1.7,1.67,1.69,1.65,1.7
221,2021,,,1.7,1.72,1.68,1.74
222,2022,,,1.73,1.75,1.71,1.78
223,2023,,,1.76,1.78,1.75,1.82
224,2024,,,1.79,1.81,1.78,1.86
225,2025,,,1.82,1.84,1.81,1.91
226,2026,,,1.86,1.87,1.85,1.95
227,2027,,,1.89,1.89,1.88,1.99
228,2028,,,1.92,1.92,1.92,2.04
229,2029,,,1.95,1.95,1.96,2.08
230,2030,,,1.97,1.98,2.0,2.12
231,2031,,,2.0,2.0,2.04,2.16
232,2032,,,2.02,2.03,2.07,2.19
233,2033,,,2.04,2.05,2.11,2.23
234,2034,,,2.06,2.08,2.15,2.27
235,2035,,,2.07,2.1,2.18,2.31
236,2036,,,2.09,2.13,2.22,2.36
237,2037,,,2.1,2.16,2.26,2.4
238,2038,,,2.12,2.19,2.3,2.45
239,2039,,,2.14,2.22,2.33,2.5
240,2040,,,2.15,2.25,2.37,2.55
241,2041,,,2.17,2.28,2.41,2.6
242,2042,,,2.19,2.31,2.46,2.65
243,2043,,,2.2,2.34,2.49,2.7
244,2044,,,2.22,2.36,2.53,2.76
245,2045,,,2.23,2.39,2.58,2.81
246,2046,,,2.25,2.41,2.62,2.86
247,2047,,,2.26,2.44,2.66,2.92
248,2048,,,2.27,2.46,2.7,2.97
249,2049,,,2.28,2.49,2.74,3.03
250,2050,,,2.29,2.51,2.79,3.08
251,2051,,,2.3,2.54,2.83,3.14
252,2052,,,2.31,2.56,2.87,3.19
253,2053,,,2.32,2.59,2.91,3.25
254,2054,,,2.32,2.61,2.95,3.3
255,2055,,,2.32,2.64,2.99,3.35
256,2056,,,2.33,2.66,3.02,3.41
257,2057,,,2.32,2.69,3.06,3.47
258,2058,,,2.32,2.71,3.1,3.53
259,2059,,,2.32,2.74,3.15,3.58
260,2060,,,2.32,2.76,3.19,3.63
261,2061,,,2.31,2.79,3.23,3.69
262,2062,,,2.31,2.81,3.27,3.76
263,2063,,,2.3,2.84,3.31,3.82
264,2064,,,2.3,2.86,3.35,3.88
265,2065,,,2.3,2.88,3.4,3.93
266,2066,,,2.3,2.9,3.44,3.99
267,2067,,,2.29,2.92,3.49,4.05
268,2068,,,2.29,2.94,3.53,4.11
269,2069,,,2.28,2.96,3.57,4.16
270,2070,,,2.28,2.98,3.61,4.22
271,2071,,,2.27,2.99,3.66,4.27
272,2072,,,2.27,3.02,3.7,4.33
273,2073,,,2.26,3.03,3.75,4.38
274,2074,,,2.26,3.05,3.79,4.44
275,2075,,,2.25,3.07,3.84,4.5
276,2076,,,2.25,3.08,3.89,4.56
277,2077,,,2.24,3.1,3.94,4.62
278,2078,,,2.24,3.12,3.98,4.68
279,2079,,,2.23,3.13,4.03,4.75
280,2080,,,2.23,3.14,4.08,4.82
281,2081,,,2.22,3.16,4.13,4.88
282,2082,,,2.22,3.17,4.18,4.95
283,2083,,,2.21,3.19,4.23,5.02
284,2084,,,2.2,3.2,4.28,5.08
285,2085,,,2.2,3.22,4.33,5.15
286,2086,,,2.19,3.24,4.38,5.22
287,2087,,,2.19,3.25,4.43,5.29
288,2088,,,2.18,3.27,4.48,5.36
289,2089,,,2.17,3.28,4.53,5.43
290,2090,,,2.17,3.29,4.59,5.5
291,2091,,,2.16,3.31,4.64,5.57
292,2092,,,2.15,3.32,4.69,5.64
293,2093,,,2.14,3.33,4.74,5.71
294,2094,,,2.14,3.34,4.79,5.77
295,2095,,,2.13,3.35,4.84,5.84
296,2096,,,2.12,3.36,4.89,5.9
297,2097,,,2.12,3.37,4.95,5.97
298,2098,,,2.11,3.38,5.0,6.03
299,2099,,,2.1,3.39,5.05,6.09
300,2100,,,2.1,3.4,5.1,6.17
