Jamaica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
99,1899,0.23741935483870974,0.12,,,,
100,1900,0.5274193548387097,0.15,,,,
101,1901,-0.08258064516129027,0.16,,,,
102,1902,0.1374193548387097,0.16,,,,
103,1903,0.29741935483870974,0.14,,,,
104,1904,-0.06258064516129025,0.12,,,,
105,1905,0.23741935483870974,0.1,,,,
106,1906,0.03741935483870973,0.08,,,,
107,1907,0.12741935483870975,0.07,,,,
108,1908,0.12741935483870975,0.07,,,,
109,1909,-0.20258064516129026,0.07,,,,
110,1910,-0.44258064516129025,0.06,,,,
111,1911,0.2074193548387097,0.05,,,,
112,1912,0.24741935483870975,0.05,,,,
113,1913,-0.1225806451612903,0.05,,,,
114,1914,0.16741935483870973,0.06,,,,
115,1915,0.35741935483870974,0.07,,,,
116,1916,-0.05258064516129024,0.09,,,,
117,1917,-0.3425806451612903,0.12,,,,
118,1918,-0.09258064516129028,0.14,,,,
119,1919,0.3374193548387097,0.16,,,,
120,1920,0.22741935483870973,0.18,,,,
121,1921,0.18741935483870975,0.21,,,,
122,1922,0.2074193548387097,0.25,,,,
123,1923,0.31741935483870976,0.28,,,,
124,1924,0.4574193548387097,0.32,,,,
125,1925,0.2074193548387097,0.34,,,,
126,1926,0.5574193548387097,0.36,,,,
127,1927,0.43741935483870975,0.37,,,,
128,1928,0.3974193548387097,0.37,,,,
129,1929,0.30741935483870975,0.35,,,,
130,1930,0.47741935483870973,0.34,,,,
131,1931,0.5074193548387097,0.31,,,,
132,1932,0.41741935483870973,0.29,,,,
133,1933,0.09741935483870973,0.27,,,,
134,1934,0.057419354838709746,0.25,,,,
135,1935,-0.06258064516129025,0.25,,,,
136,1936,0.32741935483870976,0.25,,,,
137,1937,0.30741935483870975,0.25,,,,
138,1938,-0.05258064516129024,0.26,,,,
139,1939,0.02741935483870972,0.27,,,,
140,1940,0.4674193548387097,0.29,,,,
141,1941,0.6774193548387097,0.31,,,,
142,1942,0.7274193548387098,0.34,,,,
143,1943,0.23741935483870974,0.36,,,,
144,1944,0.24741935483870975,0.37,,,,
145,1945,0.11741935483870974,0.38,,,,
146,1946,0.5174193548387097,0.38,,,,
147,1947,0.5774193548387098,0.38,,,,
148,1948,0.5274193548387097,0.38,,,,
149,1949,0.18741935483870975,0.38,,,,
150,1950,-0.06258064516129025,0.38,,,,
151,1951,0.3874193548387097,0.39,,,,
152,1952,0.5674193548387098,0.4,,,,
153,1953,0.7174193548387098,0.41,,,,
154,1954,0.29741935483870974,0.43,,,,
155,1955,0.22741935483870973,0.46,,,,
156,1956,0.2074193548387097,0.48,,,,
157,1957,0.5274193548387097,0.5,,,,
158,1958,0.7874193548387097,0.51,,,,
159,1959,0.5874193548387098,0.52,,,,
160,1960,0.7474193548387097,0.53,,,,
161,1961,0.5674193548387098,0.54,,,,
162,1962,0.44741935483870976,0.55,,,,
163,1963,0.48741935483870974,0.55,,,,
164,1964,0.7374193548387098,0.55,,,,
165,1965,0.5074193548387097,0.54,,,,
166,1966,0.3774193548387097,0.53,,,,
167,1967,0.48741935483870974,0.53,,,,
168,1968,0.48741935483870974,0.53,,,,
169,1969,0.7874193548387097,0.53,,,,
170,1970,0.3374193548387097,0.54,,,,
171,1971,0.3674193548387097,0.55,,,,
172,1972,0.6874193548387098,0.56,,,,
173,1973,0.6774193548387097,0.57,,,,
174,1974,0.5274193548387097,0.58,,,,
175,1975,0.6474193548387097,0.59,,,,
176,1976,0.48741935483870974,0.6,,,,
177,1977,0.8074193548387097,0.62,,,,
178,1978,0.5874193548387098,0.63,,,,
179,1979,0.31741935483870976,0.64,,,,
180,1980,0.7474193548387097,0.64,,,,
181,1981,0.6574193548387097,0.65,,,,
182,1982,0.7774193548387097,0.67,,,,
183,1983,1.0574193548387099,0.69,,,,
184,1984,0.4574193548387097,0.72,,,,
185,1985,0.3474193548387097,0.75,,,,
186,1986,0.5174193548387097,0.78,,,,
187,1987,1.1774193548387097,0.8,,,,
188,1988,0.9774193548387098,0.83,,,,
189,1989,0.7174193548387098,0.86,,,,
190,1990,0.9274193548387097,0.89,,,,
191,1991,0.9974193548387098,0.93,,,,
192,1992,0.9874193548387098,0.97,,,,
193,1993,0.8674193548387097,0.99,,,,
194,1994,1.1374193548387097,1.0,,,,
195,1995,1.2574193548387096,1.01,,,,
196,1996,0.5174193548387097,1.02,,,,
197,1997,1.1374193548387097,1.03,,,,
198,1998,1.4274193548387097,1.05,,,,
199,1999,0.8374193548387097,1.06,,,,
200,2000,0.7274193548387098,1.07,,,,
201,2001,1.0074193548387096,1.07,,,,
202,2002,1.1974193548387098,1.07,,,,
203,2003,1.3074193548387099,1.07,,,,
204,2004,1.0874193548387097,1.06,,,,
205,2005,1.1574193548387097,1.06,1.09,1.08,1.08,1.07
206,2006,1.1574193548387097,1.06,1.11,1.11,1.11,1.1
207,2007,1.0074193548387096,1.06,1.14,1.13,1.14,1.12
208,2008,0.7974193548387097,1.07,1.16,1.16,1.16,1.15
209,2009,1.0474193548387096,1.09,1.18,1.18,1.18,1.18
210,2010,0.9774193548387098,1.11,1.21,1.21,1.21,1.2
211,2011,0.9474193548387098,1.14,1.23,1.23,1.23,1.23
212,2012,1.0174193548387098,1.17,1.25,1.25,1.26,1.25
213,2013,1.2474193548387098,1.23,1.28,1.28,1.28,1.28
214,2014,1.2774193548387096,1.29,1.3,1.3,1.31,1.31
215,2015,1.5374193548387098,1.35,1.33,1.33,1.33,1.33
216,2016,1.5374193548387098,1.41,1.35,1.35,1.35,1.36
217,2017,1.34741935483871,1.47,1.37,1.38,1.37,1.38
218,2018,1.4474193548387098,1.53,1.4,1.4,1.4,1.41
219,2019,1.61741935483871,1.59,1.42,1.43,1.42,1.44
220,2020,1.6774193548387095,1.65,1.45,1.46,1.44,1.47
221,2021,,,1.48,1.49,1.46,1.5
222,2022,,,1.51,1.52,1.48,1.53
223,2023,,,1.53,1.55,1.51,1.57
224,2024,,,1.56,1.58,1.53,1.6
225,2025,,,1.58,1.61,1.55,1.63
226,2026,,,1.61,1.63,1.58,1.67
227,2027,,,1.63,1.66,1.61,1.7
228,2028,,,1.66,1.69,1.63,1.73
229,2029,,,1.68,1.71,1.66,1.76
230,2030,,,1.71,1.74,1.7,1.8
231,2031,,,1.73,1.76,1.73,1.83
232,2032,,,1.76,1.78,1.76,1.86
233,2033,,,1.78,1.81,1.79,1.9
234,2034,,,1.8,1.83,1.83,1.93
235,2035,,,1.82,1.85,1.86,1.96
236,2036,,,1.84,1.88,1.89,1.99
237,2037,,,1.86,1.89,1.92,2.03
238,2038,,,1.87,1.91,1.95,2.07
239,2039,,,1.89,1.93,1.98,2.11
240,2040,,,1.9,1.95,2.01,2.15
241,2041,,,1.91,1.98,2.04,2.19
242,2042,,,1.92,2.0,2.07,2.23
243,2043,,,1.93,2.02,2.1,2.27
244,2044,,,1.95,2.05,2.13,2.31
245,2045,,,1.96,2.07,2.17,2.35
246,2046,,,1.97,2.09,2.2,2.4
247,2047,,,1.98,2.12,2.24,2.44
248,2048,,,1.99,2.15,2.27,2.48
249,2049,,,2.0,2.17,2.31,2.52
250,2050,,,2.0,2.2,2.34,2.55
251,2051,,,2.01,2.23,2.37,2.59
252,2052,,,2.02,2.25,2.41,2.63
253,2053,,,2.03,2.28,2.44,2.67
254,2054,,,2.04,2.31,2.47,2.72
255,2055,,,2.04,2.33,2.5,2.76
256,2056,,,2.05,2.36,2.53,2.8
257,2057,,,2.05,2.38,2.56,2.85
258,2058,,,2.06,2.4,2.59,2.89
259,2059,,,2.06,2.43,2.63,2.94
260,2060,,,2.07,2.45,2.66,2.98
261,2061,,,2.07,2.47,2.69,3.03
262,2062,,,2.07,2.49,2.73,3.07
263,2063,,,2.07,2.5,2.77,3.12
264,2064,,,2.07,2.52,2.8,3.16
265,2065,,,2.07,2.53,2.84,3.21
266,2066,,,2.07,2.54,2.87,3.25
267,2067,,,2.08,2.55,2.9,3.3
268,2068,,,2.08,2.57,2.94,3.35
269,2069,,,2.08,2.58,2.97,3.4
270,2070,,,2.08,2.59,3.01,3.44
271,2071,,,2.09,2.6,3.04,3.49
272,2072,,,2.09,2.61,3.08,3.54
273,2073,,,2.09,2.63,3.11,3.59
274,2074,,,2.09,2.64,3.14,3.64
275,2075,,,2.09,2.65,3.17,3.69
276,2076,,,2.09,2.67,3.2,3.74
277,2077,,,2.09,2.68,3.24,3.79
278,2078,,,2.09,2.69,3.27,3.83
279,2079,,,2.09,2.71,3.31,3.88
280,2080,,,2.09,2.73,3.34,3.93
281,2081,,,2.09,2.74,3.38,3.98
282,2082,,,2.09,2.76,3.42,4.03
283,2083,,,2.09,2.78,3.46,4.08
284,2084,,,2.09,2.79,3.5,4.12
285,2085,,,2.08,2.81,3.54,4.17
286,2086,,,2.08,2.83,3.58,4.22
287,2087,,,2.08,2.84,3.62,4.27
288,2088,,,2.07,2.86,3.65,4.31
289,2089,,,2.07,2.87,3.69,4.36
290,2090,,,2.06,2.88,3.73,4.41
291,2091,,,2.05,2.89,3.76,4.46
292,2092,,,2.05,2.9,3.79,4.52
293,2093,,,2.05,2.9,3.83,4.57
294,2094,,,2.04,2.91,3.86,4.62
295,2095,,,2.04,2.91,3.9,4.68
296,2096,,,2.03,2.92,3.93,4.73
297,2097,,,2.03,2.92,3.97,4.78
298,2098,,,2.03,2.93,4.01,4.84
299,2099,,,2.02,2.93,4.04,4.89
300,2100,,,2.02,2.94,4.08,4.94
