Saudi Arabia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
111,1911,-0.4761290322580646,-0.03,,,,
112,1912,-0.04612903225806453,-0.02,,,,
113,1913,-0.32612903225806456,-0.0,,,,
114,1914,0.03387096774193549,0.01,,,,
115,1915,0.6438709677419354,0.03,,,,
116,1916,0.13387096774193546,0.05,,,,
117,1917,0.12387096774193546,0.08,,,,
118,1918,-0.19612903225806455,0.12,,,,
119,1919,0.5238709677419355,0.16,,,,
120,1920,-0.016129032258064502,0.19,,,,
121,1921,-0.18612903225806454,0.22,,,,
122,1922,0.38387096774193546,0.24,,,,
123,1923,0.22387096774193546,0.27,,,,
124,1924,0.7338709677419355,0.31,,,,
125,1925,0.19387096774193546,0.34,,,,
126,1926,0.3538709677419355,0.36,,,,
127,1927,0.43387096774193545,0.36,,,,
128,1928,0.5038709677419355,0.36,,,,
129,1929,0.5238709677419355,0.35,,,,
130,1930,0.4738709677419355,0.34,,,,
131,1931,0.4738709677419355,0.33,,,,
132,1932,0.06387096774193546,0.31,,,,
133,1933,-0.04612903225806453,0.29,,,,
134,1934,0.06387096774193546,0.28,,,,
135,1935,0.5338709677419354,0.28,,,,
136,1936,0.31387096774193546,0.28,,,,
137,1937,0.20387096774193547,0.29,,,,
138,1938,0.043870967741935496,0.31,,,,
139,1939,0.20387096774193547,0.33,,,,
140,1940,0.5738709677419355,0.35,,,,
141,1941,0.5738709677419355,0.36,,,,
142,1942,0.6338709677419354,0.37,,,,
143,1943,0.09387096774193548,0.36,,,,
144,1944,0.5738709677419355,0.35,,,,
145,1945,0.2738709677419355,0.35,,,,
146,1946,0.2738709677419355,0.35,,,,
147,1947,0.8138709677419355,0.36,,,,
148,1948,-0.006129032258064548,0.37,,,,
149,1949,-0.22612903225806458,0.37,,,,
150,1950,0.0038709677419354604,0.38,,,,
151,1951,0.7838709677419355,0.38,,,,
152,1952,0.6638709677419354,0.38,,,,
153,1953,0.4638709677419355,0.39,,,,
154,1954,0.7438709677419355,0.4,,,,
155,1955,0.4038709677419355,0.41,,,,
156,1956,0.17387096774193544,0.43,,,,
157,1957,0.03387096774193549,0.44,,,,
158,1958,0.7938709677419356,0.43,,,,
159,1959,-0.19612903225806455,0.42,,,,
160,1960,0.7438709677419355,0.42,,,,
161,1961,0.21387096774193548,0.41,,,,
162,1962,0.9138709677419354,0.41,,,,
163,1963,0.6038709677419355,0.42,,,,
164,1964,-0.08612903225806456,0.42,,,,
165,1965,0.43387096774193545,0.41,,,,
166,1966,0.9138709677419354,0.4,,,,
167,1967,-0.1261290322580645,0.38,,,,
168,1968,0.13387096774193546,0.36,,,,
169,1969,0.8338709677419355,0.34,,,,
170,1970,0.6338709677419354,0.33,,,,
171,1971,-0.03612903225806452,0.33,,,,
172,1972,-0.15612903225806452,0.35,,,,
173,1973,0.7038709677419355,0.37,,,,
174,1974,0.31387096774193546,0.41,,,,
175,1975,-0.08612903225806456,0.45,,,,
176,1976,0.18387096774193545,0.47,,,,
177,1977,0.8838709677419354,0.47,,,,
178,1978,0.6738709677419354,0.47,,,,
179,1979,1.1038709677419356,0.45,,,,
180,1980,0.8938709677419354,0.45,,,,
181,1981,0.7738709677419355,0.45,,,,
182,1982,-0.19612903225806455,0.46,,,,
183,1983,-0.17612903225806453,0.47,,,,
184,1984,-0.17612903225806453,0.46,,,,
185,1985,0.21387096774193548,0.45,,,,
186,1986,0.3538709677419355,0.44,,,,
187,1987,1.0438709677419356,0.46,,,,
188,1988,0.8738709677419354,0.5,,,,
189,1989,0.18387096774193545,0.57,,,,
190,1990,0.8738709677419354,0.63,,,,
191,1991,0.6038709677419355,0.7,,,,
192,1992,-0.4161290322580645,0.76,,,,
193,1993,0.5738709677419355,0.83,,,,
194,1994,1.0638709677419356,0.89,,,,
195,1995,0.7338709677419355,0.97,,,,
196,1996,1.1238709677419356,1.04,,,,
197,1997,0.5438709677419354,1.12,,,,
198,1998,1.6738709677419354,1.18,,,,
199,1999,1.6738709677419354,1.24,,,,
200,2000,1.3338709677419356,1.29,,,,
201,2001,1.4638709677419355,1.33,,,,
202,2002,1.3638709677419354,1.37,,,,
203,2003,1.5938709677419354,1.39,,,,
204,2004,1.3238709677419354,1.41,,,,
205,2005,1.2438709677419355,1.42,1.44,1.42,1.43,1.4
206,2006,1.3138709677419356,1.43,1.47,1.46,1.47,1.44
207,2007,1.4338709677419355,1.45,1.51,1.5,1.51,1.48
208,2008,1.2038709677419355,1.47,1.54,1.53,1.55,1.52
209,2009,1.6438709677419354,1.51,1.58,1.57,1.58,1.56
210,2010,2.353870967741935,1.55,1.62,1.61,1.62,1.6
211,2011,1.2638709677419355,1.61,1.65,1.65,1.66,1.64
212,2012,1.6938709677419355,1.67,1.69,1.68,1.69,1.69
213,2013,1.3538709677419356,1.72,1.72,1.72,1.73,1.73
214,2014,1.7538709677419355,1.77,1.76,1.76,1.77,1.77
215,2015,2.073870967741936,1.83,1.79,1.8,1.8,1.81
216,2016,1.9338709677419355,1.88,1.83,1.84,1.84,1.85
217,2017,2.0638709677419356,1.93,1.87,1.88,1.87,1.9
218,2018,2.1538709677419354,1.98,1.91,1.93,1.9,1.94
219,2019,1.9738709677419355,2.03,1.96,1.97,1.94,1.99
220,2020,1.8438709677419354,2.09,2.0,2.02,1.98,2.03
221,2021,,,2.05,2.06,2.02,2.09
222,2022,,,2.1,2.11,2.06,2.14
223,2023,,,2.15,2.15,2.1,2.2
224,2024,,,2.2,2.2,2.14,2.25
225,2025,,,2.25,2.24,2.18,2.31
226,2026,,,2.29,2.28,2.23,2.36
227,2027,,,2.33,2.32,2.28,2.41
228,2028,,,2.38,2.36,2.33,2.47
229,2029,,,2.41,2.39,2.39,2.52
230,2030,,,2.45,2.43,2.44,2.57
231,2031,,,2.49,2.46,2.49,2.62
232,2032,,,2.53,2.5,2.54,2.67
233,2033,,,2.56,2.54,2.59,2.73
234,2034,,,2.59,2.58,2.64,2.78
235,2035,,,2.62,2.63,2.69,2.84
236,2036,,,2.64,2.67,2.74,2.9
237,2037,,,2.67,2.7,2.79,2.96
238,2038,,,2.7,2.74,2.83,3.02
239,2039,,,2.72,2.78,2.88,3.09
240,2040,,,2.74,2.82,2.93,3.16
241,2041,,,2.76,2.87,2.97,3.23
242,2042,,,2.78,2.91,3.02,3.3
243,2043,,,2.8,2.95,3.08,3.37
244,2044,,,2.81,2.99,3.13,3.43
245,2045,,,2.83,3.04,3.19,3.5
246,2046,,,2.85,3.08,3.25,3.57
247,2047,,,2.86,3.12,3.31,3.63
248,2048,,,2.87,3.17,3.37,3.7
249,2049,,,2.88,3.21,3.43,3.77
250,2050,,,2.89,3.25,3.49,3.84
251,2051,,,2.9,3.29,3.54,3.91
252,2052,,,2.91,3.32,3.6,3.98
253,2053,,,2.92,3.36,3.65,4.05
254,2054,,,2.93,3.39,3.7,4.13
255,2055,,,2.94,3.41,3.75,4.2
256,2056,,,2.95,3.44,3.8,4.28
257,2057,,,2.96,3.47,3.85,4.36
258,2058,,,2.97,3.5,3.9,4.44
259,2059,,,2.97,3.52,3.96,4.52
260,2060,,,2.98,3.55,4.01,4.6
261,2061,,,2.98,3.58,4.07,4.68
262,2062,,,2.98,3.61,4.13,4.76
263,2063,,,2.98,3.64,4.19,4.84
264,2064,,,2.97,3.67,4.25,4.92
265,2065,,,2.97,3.7,4.31,5.0
266,2066,,,2.96,3.73,4.37,5.08
267,2067,,,2.96,3.76,4.43,5.16
268,2068,,,2.95,3.79,4.49,5.24
269,2069,,,2.95,3.82,4.55,5.32
270,2070,,,2.94,3.84,4.62,5.4
271,2071,,,2.94,3.86,4.68,5.48
272,2072,,,2.94,3.88,4.74,5.56
273,2073,,,2.94,3.9,4.8,5.64
274,2074,,,2.93,3.92,4.85,5.72
275,2075,,,2.93,3.94,4.91,5.8
276,2076,,,2.93,3.96,4.98,5.88
277,2077,,,2.93,3.98,5.05,5.96
278,2078,,,2.93,4.0,5.11,6.04
279,2079,,,2.93,4.03,5.18,6.13
280,2080,,,2.93,4.05,5.24,6.22
281,2081,,,2.92,4.08,5.3,6.31
282,2082,,,2.92,4.1,5.37,6.41
283,2083,,,2.92,4.13,5.44,6.5
284,2084,,,2.92,4.15,5.51,6.6
285,2085,,,2.92,4.17,5.57,6.7
286,2086,,,2.91,4.2,5.64,6.79
287,2087,,,2.9,4.22,5.71,6.89
288,2088,,,2.89,4.24,5.77,6.99
289,2089,,,2.87,4.25,5.83,7.08
290,2090,,,2.86,4.27,5.9,7.18
291,2091,,,2.84,4.28,5.96,7.27
292,2092,,,2.83,4.29,6.03,7.37
293,2093,,,2.81,4.3,6.09,7.46
294,2094,,,2.8,4.31,6.16,7.55
295,2095,,,2.79,4.32,6.23,7.64
296,2096,,,2.77,4.33,6.29,7.73
297,2097,,,2.76,4.34,6.36,7.82
298,2098,,,2.75,4.35,6.43,7.91
299,2099,,,2.74,4.36,6.5,8.0
300,2100,,,2.72,4.37,6.56,8.09
