Equatorial Guinea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
154,1954,0.09499999999999997,0.44,,,,
155,1955,0.275,0.42,,,,
156,1956,0.05499999999999999,0.41,,,,
157,1957,0.485,0.4,,,,
158,1958,0.405,0.4,,,,
159,1959,0.515,0.41,,,,
160,1960,0.575,0.42,,,,
161,1961,0.315,0.43,,,,
162,1962,0.455,0.45,,,,
163,1963,0.655,0.47,,,,
164,1964,0.255,0.48,,,,
165,1965,0.345,0.5,,,,
166,1966,0.675,0.51,,,,
167,1967,0.475,0.51,,,,
168,1968,0.455,0.52,,,,
169,1969,0.6950000000000001,0.52,,,,
170,1970,0.675,0.53,,,,
171,1971,0.365,0.53,,,,
172,1972,0.565,0.55,,,,
173,1973,0.9450000000000001,0.56,,,,
174,1974,0.375,0.58,,,,
175,1975,0.355,0.59,,,,
176,1976,0.195,0.6,,,,
177,1977,0.755,0.61,,,,
178,1978,0.5549999999999999,0.62,,,,
179,1979,0.9550000000000001,0.64,,,,
180,1980,0.935,0.66,,,,
181,1981,0.535,0.68,,,,
182,1982,0.495,0.71,,,,
183,1983,0.815,0.74,,,,
184,1984,0.825,0.76,,,,
185,1985,0.535,0.78,,,,
186,1986,0.655,0.79,,,,
187,1987,1.225,0.8,,,,
188,1988,1.025,0.82,,,,
189,1989,0.745,0.85,,,,
190,1990,0.935,0.87,,,,
191,1991,0.925,0.9,,,,
192,1992,0.595,0.92,,,,
193,1993,0.865,0.94,,,,
194,1994,0.895,0.96,,,,
195,1995,1.295,0.98,,,,
196,1996,0.915,1.01,,,,
197,1997,1.005,1.05,,,,
198,1998,1.685,1.09,,,,
199,1999,1.075,1.13,,,,
200,2000,0.965,1.17,,,,
201,2001,0.985,1.21,,,,
202,2002,1.295,1.25,,,,
203,2003,1.495,1.28,,,,
204,2004,1.405,1.31,,,,
205,2005,1.385,1.33,1.23,1.24,1.24,1.23
206,2006,1.405,1.34,1.26,1.26,1.27,1.25
207,2007,1.455,1.35,1.28,1.29,1.29,1.28
208,2008,1.435,1.36,1.31,1.31,1.32,1.31
209,2009,1.475,1.37,1.33,1.34,1.34,1.33
210,2010,1.545,1.37,1.36,1.36,1.37,1.36
211,2011,1.115,1.38,1.39,1.39,1.39,1.39
212,2012,1.0150000000000001,1.4,1.41,1.41,1.42,1.41
213,2013,1.175,1.42,1.44,1.44,1.44,1.44
214,2014,1.335,1.44,1.46,1.47,1.47,1.47
215,2015,1.385,1.46,1.49,1.49,1.49,1.49
216,2016,1.6949999999999998,1.48,1.52,1.52,1.52,1.52
217,2017,1.5350000000000001,1.5,1.55,1.54,1.54,1.55
218,2018,1.185,1.53,1.58,1.57,1.56,1.58
219,2019,1.8250000000000002,1.55,1.61,1.6,1.59,1.61
220,2020,1.725,1.58,1.64,1.63,1.61,1.64
221,2021,,,1.67,1.66,1.64,1.67
222,2022,,,1.7,1.69,1.67,1.7
223,2023,,,1.73,1.72,1.69,1.74
224,2024,,,1.76,1.74,1.72,1.77
225,2025,,,1.79,1.77,1.75,1.8
226,2026,,,1.81,1.8,1.77,1.84
227,2027,,,1.84,1.82,1.8,1.87
228,2028,,,1.86,1.85,1.83,1.9
229,2029,,,1.88,1.87,1.86,1.93
230,2030,,,1.9,1.89,1.89,1.96
231,2031,,,1.92,1.92,1.92,1.99
232,2032,,,1.95,1.94,1.95,2.03
233,2033,,,1.96,1.97,1.98,2.06
234,2034,,,1.98,2.0,2.01,2.1
235,2035,,,2.0,2.02,2.04,2.14
236,2036,,,2.02,2.05,2.07,2.17
237,2037,,,2.03,2.07,2.11,2.21
238,2038,,,2.05,2.1,2.14,2.26
239,2039,,,2.07,2.12,2.17,2.3
240,2040,,,2.08,2.15,2.2,2.35
241,2041,,,2.09,2.18,2.24,2.39
242,2042,,,2.1,2.2,2.27,2.43
243,2043,,,2.12,2.23,2.3,2.47
244,2044,,,2.13,2.26,2.34,2.52
245,2045,,,2.14,2.28,2.38,2.56
246,2046,,,2.16,2.31,2.41,2.6
247,2047,,,2.17,2.34,2.46,2.64
248,2048,,,2.18,2.37,2.5,2.68
249,2049,,,2.19,2.4,2.53,2.73
250,2050,,,2.19,2.43,2.57,2.77
251,2051,,,2.2,2.46,2.61,2.81
252,2052,,,2.21,2.48,2.65,2.85
253,2053,,,2.22,2.51,2.69,2.9
254,2054,,,2.23,2.54,2.73,2.94
255,2055,,,2.24,2.57,2.76,2.99
256,2056,,,2.25,2.59,2.8,3.04
257,2057,,,2.26,2.61,2.84,3.09
258,2058,,,2.27,2.64,2.88,3.14
259,2059,,,2.28,2.66,2.92,3.19
260,2060,,,2.28,2.68,2.96,3.24
261,2061,,,2.29,2.7,3.0,3.29
262,2062,,,2.3,2.72,3.04,3.34
263,2063,,,2.3,2.74,3.09,3.39
264,2064,,,2.3,2.76,3.13,3.44
265,2065,,,2.31,2.77,3.17,3.49
266,2066,,,2.31,2.79,3.21,3.54
267,2067,,,2.31,2.81,3.25,3.59
268,2068,,,2.31,2.84,3.29,3.64
269,2069,,,2.31,2.86,3.33,3.69
270,2070,,,2.31,2.88,3.38,3.74
271,2071,,,2.31,2.9,3.42,3.79
272,2072,,,2.31,2.91,3.46,3.84
273,2073,,,2.32,2.93,3.5,3.89
274,2074,,,2.31,2.94,3.54,3.95
275,2075,,,2.32,2.96,3.58,4.0
276,2076,,,2.32,2.98,3.62,4.06
277,2077,,,2.32,2.99,3.67,4.11
278,2078,,,2.32,3.01,3.71,4.17
279,2079,,,2.33,3.02,3.76,4.23
280,2080,,,2.33,3.04,3.8,4.29
281,2081,,,2.33,3.05,3.84,4.35
282,2082,,,2.32,3.06,3.88,4.41
283,2083,,,2.32,3.08,3.93,4.47
284,2084,,,2.31,3.09,3.97,4.53
285,2085,,,2.31,3.11,4.01,4.59
286,2086,,,2.3,3.12,4.05,4.65
287,2087,,,2.3,3.14,4.09,4.71
288,2088,,,2.29,3.15,4.13,4.76
289,2089,,,2.28,3.17,4.17,4.82
290,2090,,,2.27,3.18,4.21,4.88
291,2091,,,2.26,3.19,4.25,4.94
292,2092,,,2.26,3.2,4.29,5.0
293,2093,,,2.25,3.21,4.33,5.06
294,2094,,,2.25,3.22,4.38,5.12
295,2095,,,2.25,3.24,4.42,5.18
296,2096,,,2.24,3.25,4.47,5.24
297,2097,,,2.24,3.26,4.52,5.3
298,2098,,,2.24,3.27,4.56,5.36
299,2099,,,2.24,3.28,4.61,5.42
300,2100,,,2.24,3.29,4.66,5.48
