United States of America,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
62,1862,-0.08193548387096777,0.0,,,,
63,1863,0.09806451612903228,0.03,,,,
64,1864,0.048064516129032286,0.05,,,,
65,1865,0.09806451612903228,0.06,,,,
66,1866,0.02806451612903227,0.07,,,,
67,1867,0.1780645161290323,0.06,,,,
68,1868,-0.16193548387096773,0.04,,,,
69,1869,0.058064516129032295,0.02,,,,
70,1870,0.4380645161290323,0.01,,,,
71,1871,0.2880645161290323,0.01,,,,
72,1872,-0.42193548387096774,0.01,,,,
73,1873,-0.4019354838709677,0.02,,,,
74,1874,0.33806451612903227,0.02,,,,
75,1875,-0.5319354838709678,0.02,,,,
76,1876,-0.29193548387096774,0.01,,,,
77,1877,0.25806451612903225,-0.0,,,,
78,1878,0.6180645161290322,-0.02,,,,
79,1879,0.33806451612903227,-0.03,,,,
80,1880,-0.29193548387096774,-0.04,,,,
81,1881,0.3080645161290323,-0.05,,,,
82,1882,-0.03193548387096773,-0.05,,,,
83,1883,-0.3419354838709678,-0.05,,,,
84,1884,-0.44193548387096776,-0.06,,,,
85,1885,-0.19193548387096776,-0.07,,,,
86,1886,-0.17193548387096774,-0.08,,,,
87,1887,-0.23193548387096768,-0.09,,,,
88,1888,-0.1219354838709677,-0.09,,,,
89,1889,0.4880645161290323,-0.09,,,,
90,1890,0.23806451612903226,-0.07,,,,
91,1891,-0.04193548387096774,-0.06,,,,
92,1892,-0.20193548387096777,-0.03,,,,
93,1893,-0.18193548387096775,-0.01,,,,
94,1894,0.07806451612903226,0.0,,,,
95,1895,-0.4819354838709677,0.01,,,,
96,1896,0.07806451612903226,0.02,,,,
97,1897,0.15806451612903227,0.02,,,,
98,1898,0.06806451612903225,0.02,,,,
99,1899,-0.1219354838709677,0.03,,,,
100,1900,0.7280645161290322,0.05,,,,
101,1901,0.19806451612903225,0.07,,,,
102,1902,0.13806451612903226,0.08,,,,
103,1903,-0.3419354838709678,0.1,,,,
104,1904,-0.1219354838709677,0.11,,,,
105,1905,0.1180645161290323,0.12,,,,
106,1906,0.22806451612903228,0.13,,,,
107,1907,0.06806451612903225,0.14,,,,
108,1908,0.4280645161290323,0.14,,,,
109,1909,-0.10193548387096768,0.15,,,,
110,1910,0.4180645161290323,0.15,,,,
111,1911,0.4280645161290323,0.15,,,,
112,1912,-0.21193548387096778,0.15,,,,
113,1913,0.18806451612903224,0.13,,,,
114,1914,0.49806451612903224,0.13,,,,
115,1915,0.27806451612903227,0.12,,,,
116,1916,-0.21193548387096778,0.12,,,,
117,1917,-0.7419354838709677,0.12,,,,
118,1918,0.09806451612903228,0.13,,,,
119,1919,0.13806451612903226,0.15,,,,
120,1920,-0.22193548387096768,0.17,,,,
121,1921,1.1780645161290322,0.19,,,,
122,1922,0.33806451612903227,0.21,,,,
123,1923,0.32806451612903226,0.24,,,,
124,1924,-0.3719354838709677,0.28,,,,
125,1925,0.5880645161290323,0.31,,,,
126,1926,0.7080645161290322,0.35,,,,
127,1927,0.2980645161290323,0.38,,,,
128,1928,0.45806451612903226,0.4,,,,
129,1929,0.008064516129032251,0.42,,,,
130,1930,0.3180645161290323,0.44,,,,
131,1931,1.1180645161290323,0.46,,,,
132,1932,0.09806451612903228,0.49,,,,
133,1933,0.5880645161290323,0.51,,,,
134,1934,1.3880645161290324,0.54,,,,
135,1935,0.2980645161290323,0.57,,,,
136,1936,0.4880645161290323,0.59,,,,
137,1937,0.3080645161290323,0.6,,,,
138,1938,1.0480645161290323,0.61,,,,
139,1939,0.8780645161290322,0.61,,,,
140,1940,0.6580645161290323,0.6,,,,
141,1941,0.8380645161290323,0.59,,,,
142,1942,0.49806451612903224,0.58,,,,
143,1943,0.5680645161290323,0.55,,,,
144,1944,0.4780645161290323,0.53,,,,
145,1945,0.23806451612903226,0.5,,,,
146,1946,0.7680645161290323,0.48,,,,
147,1947,0.4280645161290323,0.47,,,,
148,1948,0.08806451612903227,0.46,,,,
149,1949,0.49806451612903224,0.46,,,,
150,1950,0.25806451612903225,0.46,,,,
151,1951,0.01806451612903226,0.47,,,,
152,1952,0.5980645161290323,0.48,,,,
153,1953,1.1380645161290324,0.48,,,,
154,1954,1.0280645161290323,0.49,,,,
155,1955,0.13806451612903226,0.5,,,,
156,1956,0.33806451612903227,0.51,,,,
157,1957,0.7680645161290323,0.52,,,,
158,1958,0.6180645161290322,0.52,,,,
159,1959,0.4880645161290323,0.5,,,,
160,1960,0.3580645161290323,0.48,,,,
161,1961,0.3180645161290323,0.46,,,,
162,1962,0.6380645161290323,0.44,,,,
163,1963,0.7580645161290323,0.43,,,,
164,1964,0.1780645161290323,0.41,,,,
165,1965,0.32806451612903226,0.39,,,,
166,1966,0.16806451612903228,0.38,,,,
167,1967,0.5780645161290323,0.37,,,,
168,1968,0.23806451612903226,0.36,,,,
169,1969,0.45806451612903226,0.35,,,,
170,1970,0.3580645161290323,0.35,,,,
171,1971,0.1180645161290323,0.36,,,,
172,1972,0.1180645161290323,0.37,,,,
173,1973,0.6280645161290322,0.39,,,,
174,1974,0.5080645161290323,0.41,,,,
175,1975,0.1180645161290323,0.43,,,,
176,1976,0.3180645161290323,0.45,,,,
177,1977,0.9380645161290322,0.47,,,,
178,1978,0.4280645161290323,0.5,,,,
179,1979,0.24806451612903227,0.53,,,,
180,1980,0.8180645161290323,0.56,,,,
181,1981,1.3980645161290324,0.6,,,,
182,1982,0.21806451612903227,0.64,,,,
183,1983,0.5780645161290323,0.68,,,,
184,1984,0.4780645161290323,0.72,,,,
185,1985,0.25806451612903225,0.75,,,,
186,1986,1.2180645161290322,0.77,,,,
187,1987,1.2880645161290323,0.8,,,,
188,1988,0.9380645161290322,0.82,,,,
189,1989,0.5380645161290323,0.84,,,,
190,1990,1.2080645161290322,0.87,,,,
191,1991,1.1680645161290322,0.89,,,,
192,1992,0.7380645161290322,0.92,,,,
193,1993,0.5480645161290323,0.95,,,,
194,1994,0.9580645161290322,0.98,,,,
195,1995,1.0180645161290323,1.02,,,,
196,1996,0.4280645161290323,1.06,,,,
197,1997,0.8380645161290323,1.1,,,,
198,1998,1.8080645161290323,1.15,,,,
199,1999,1.2480645161290322,1.2,,,,
200,2000,1.3180645161290323,1.25,,,,
201,2001,1.4480645161290322,1.3,,,,
202,2002,1.4780645161290322,1.33,,,,
203,2003,1.4080645161290322,1.35,,,,
204,2004,1.3380645161290323,1.35,,,,
205,2005,1.5680645161290323,1.35,1.06,1.08,1.17,1.07
206,2006,1.6480645161290322,1.34,1.12,1.13,1.21,1.12
207,2007,1.5080645161290323,1.33,1.18,1.19,1.26,1.18
208,2008,0.6180645161290322,1.34,1.24,1.25,1.3,1.24
209,2009,0.8080645161290323,1.36,1.3,1.31,1.34,1.3
210,2010,1.1680645161290322,1.38,1.36,1.37,1.39,1.36
211,2011,1.2080645161290322,1.41,1.42,1.42,1.43,1.42
212,2012,1.9380645161290322,1.45,1.48,1.48,1.48,1.48
213,2013,0.9080645161290323,1.49,1.54,1.54,1.52,1.54
214,2014,1.1580645161290322,1.52,1.6,1.59,1.57,1.59
215,2015,1.9780645161290322,1.56,1.65,1.65,1.61,1.65
216,2016,2.398064516129032,1.61,1.71,1.7,1.66,1.71
217,2017,2.0280645161290325,1.65,1.76,1.76,1.7,1.76
218,2018,1.6280645161290321,1.7,1.82,1.81,1.75,1.81
219,2019,1.3880645161290324,1.75,1.87,1.85,1.8,1.87
220,2020,1.7580645161290323,1.79,1.92,1.9,1.85,1.92
221,2021,,,1.97,1.94,1.89,1.98
222,2022,,,2.02,1.98,1.94,2.03
223,2023,,,2.08,2.02,1.99,2.09
224,2024,,,2.12,2.07,2.04,2.14
225,2025,,,2.17,2.11,2.09,2.2
226,2026,,,2.21,2.15,2.13,2.26
227,2027,,,2.25,2.19,2.18,2.31
228,2028,,,2.29,2.24,2.22,2.37
229,2029,,,2.32,2.28,2.27,2.43
230,2030,,,2.36,2.33,2.31,2.49
231,2031,,,2.39,2.37,2.36,2.56
232,2032,,,2.42,2.42,2.41,2.62
233,2033,,,2.46,2.47,2.46,2.68
234,2034,,,2.49,2.52,2.51,2.75
235,2035,,,2.52,2.56,2.57,2.81
236,2036,,,2.56,2.61,2.62,2.88
237,2037,,,2.59,2.66,2.67,2.95
238,2038,,,2.62,2.71,2.73,3.02
239,2039,,,2.65,2.76,2.78,3.08
240,2040,,,2.68,2.8,2.84,3.15
241,2041,,,2.71,2.85,2.9,3.22
242,2042,,,2.74,2.9,2.95,3.28
243,2043,,,2.76,2.94,3.01,3.35
244,2044,,,2.78,2.98,3.07,3.42
245,2045,,,2.79,3.03,3.13,3.49
246,2046,,,2.81,3.07,3.19,3.56
247,2047,,,2.82,3.11,3.25,3.63
248,2048,,,2.84,3.15,3.31,3.7
249,2049,,,2.85,3.19,3.37,3.77
250,2050,,,2.87,3.23,3.43,3.85
251,2051,,,2.88,3.27,3.49,3.92
252,2052,,,2.9,3.32,3.55,4.0
253,2053,,,2.91,3.36,3.6,4.07
254,2054,,,2.92,3.4,3.66,4.15
255,2055,,,2.93,3.43,3.71,4.23
256,2056,,,2.94,3.47,3.77,4.3
257,2057,,,2.95,3.5,3.82,4.38
258,2058,,,2.96,3.53,3.87,4.45
259,2059,,,2.97,3.56,3.92,4.52
260,2060,,,2.97,3.59,3.97,4.59
261,2061,,,2.98,3.62,4.03,4.67
262,2062,,,2.99,3.64,4.08,4.74
263,2063,,,3.0,3.67,4.14,4.82
264,2064,,,3.01,3.69,4.2,4.89
265,2065,,,3.01,3.72,4.27,4.97
266,2066,,,3.02,3.74,4.33,5.06
267,2067,,,3.03,3.77,4.4,5.14
268,2068,,,3.04,3.81,4.46,5.23
269,2069,,,3.05,3.84,4.52,5.32
270,2070,,,3.05,3.87,4.58,5.41
271,2071,,,3.06,3.9,4.64,5.5
272,2072,,,3.06,3.93,4.7,5.58
273,2073,,,3.06,3.96,4.76,5.67
274,2074,,,3.06,3.99,4.82,5.76
275,2075,,,3.05,4.02,4.88,5.85
276,2076,,,3.05,4.05,4.94,5.94
277,2077,,,3.04,4.07,5.01,6.02
278,2078,,,3.04,4.1,5.07,6.11
279,2079,,,3.03,4.12,5.14,6.2
280,2080,,,3.03,4.15,5.21,6.29
281,2081,,,3.02,4.18,5.28,6.38
282,2082,,,3.02,4.2,5.35,6.47
283,2083,,,3.01,4.23,5.42,6.56
284,2084,,,3.01,4.26,5.49,6.65
285,2085,,,3.0,4.28,5.55,6.74
286,2086,,,3.0,4.31,5.61,6.83
287,2087,,,3.0,4.33,5.67,6.92
288,2088,,,2.99,4.36,5.73,7.01
289,2089,,,2.98,4.38,5.8,7.1
290,2090,,,2.98,4.4,5.86,7.19
291,2091,,,2.97,4.42,5.92,7.28
292,2092,,,2.96,4.43,5.98,7.36
293,2093,,,2.96,4.45,6.04,7.44
294,2094,,,2.95,4.46,6.1,7.53
295,2095,,,2.95,4.48,6.17,7.61
296,2096,,,2.94,4.5,6.23,7.7
297,2097,,,2.94,4.51,6.3,7.78
298,2098,,,2.93,4.53,6.36,7.87
299,2099,,,2.93,4.54,6.42,7.95
300,2100,,,2.92,4.56,6.49,8.04
