Turkey,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
57,1857,-0.764516129032258,-0.09,,,,
58,1858,-0.294516129032258,-0.1,,,,
59,1859,0.21548387096774196,-0.11,,,,
60,1860,0.545483870967742,-0.11,,,,
61,1861,-0.584516129032258,-0.11,,,,
62,1862,-0.454516129032258,-0.09,,,,
63,1863,-0.07451612903225802,-0.08,,,,
64,1864,-0.044516129032258045,-0.06,,,,
65,1865,0.18548387096774197,-0.03,,,,
66,1866,0.09548387096774197,-0.01,,,,
67,1867,-0.174516129032258,0.01,,,,
68,1868,-0.054516129032258054,0.03,,,,
69,1869,0.315483870967742,0.05,,,,
70,1870,-0.09451612903225803,0.07,,,,
71,1871,-0.22451612903225804,0.1,,,,
72,1872,0.675483870967742,0.12,,,,
73,1873,0.485483870967742,0.13,,,,
74,1874,-0.184516129032258,0.12,,,,
75,1875,-0.764516129032258,0.11,,,,
76,1876,0.38548387096774195,0.07,,,,
77,1877,0.39548387096774196,0.04,,,,
78,1878,0.525483870967742,0.01,,,,
79,1879,0.775483870967742,-0.02,,,,
80,1880,-0.9845161290322579,-0.05,,,,
81,1881,-0.414516129032258,-0.07,,,,
82,1882,-0.46451612903225803,-0.09,,,,
83,1883,-0.13451612903225807,-0.11,,,,
84,1884,-0.7145161290322581,-0.13,,,,
85,1885,0.12548387096774194,-0.16,,,,
86,1886,-0.16451612903225799,-0.17,,,,
87,1887,0.06548387096774194,-0.16,,,,
88,1888,-0.184516129032258,-0.16,,,,
89,1889,0.005483870967741944,-0.15,,,,
90,1890,-0.08451612903225802,-0.15,,,,
91,1891,-0.16451612903225799,-0.15,,,,
92,1892,0.365483870967742,-0.14,,,,
93,1893,-0.564516129032258,-0.13,,,,
94,1894,-0.7145161290322581,-0.11,,,,
95,1895,0.03548387096774197,-0.09,,,,
96,1896,-0.414516129032258,-0.07,,,,
97,1897,-0.2645161290322581,-0.06,,,,
98,1898,-0.10451612903225804,-0.06,,,,
99,1899,0.355483870967742,-0.06,,,,
100,1900,0.39548387096774196,-0.06,,,,
101,1901,0.895483870967742,-0.06,,,,
102,1902,0.05548387096774199,-0.06,,,,
103,1903,-0.13451612903225807,-0.07,,,,
104,1904,-0.304516129032258,-0.08,,,,
105,1905,-0.194516129032258,-0.11,,,,
106,1906,-0.12451612903225806,-0.14,,,,
107,1907,-0.7145161290322581,-0.17,,,,
108,1908,-0.614516129032258,-0.18,,,,
109,1909,0.46548387096774196,-0.17,,,,
110,1910,0.005483870967741944,-0.13,,,,
111,1911,-1.004516129032258,-0.09,,,,
112,1912,0.13548387096774195,-0.03,,,,
113,1913,-0.604516129032258,0.01,,,,
114,1914,-0.304516129032258,0.06,,,,
115,1915,0.5054838709677419,0.1,,,,
116,1916,0.8254838709677419,0.14,,,,
117,1917,0.485483870967742,0.17,,,,
118,1918,0.305483870967742,0.21,,,,
119,1919,0.44548387096774195,0.25,,,,
120,1920,-0.854516129032258,0.28,,,,
121,1921,-0.614516129032258,0.3,,,,
122,1922,0.475483870967742,0.3,,,,
123,1923,0.725483870967742,0.29,,,,
124,1924,0.25548387096774194,0.27,,,,
125,1925,0.21548387096774196,0.26,,,,
126,1926,0.38548387096774195,0.25,,,,
127,1927,0.535483870967742,0.24,,,,
128,1928,-0.054516129032258054,0.24,,,,
129,1929,-0.06451612903225801,0.24,,,,
130,1930,0.7554838709677419,0.25,,,,
131,1931,0.12548387096774194,0.26,,,,
132,1932,-0.07451612903225802,0.27,,,,
133,1933,-0.7245161290322579,0.29,,,,
134,1934,0.21548387096774196,0.3,,,,
135,1935,0.635483870967742,0.3,,,,
136,1936,0.44548387096774195,0.3,,,,
137,1937,1.095483870967742,0.3,,,,
138,1938,0.25548387096774194,0.29,,,,
139,1939,0.5854838709677419,0.29,,,,
140,1940,0.38548387096774195,0.29,,,,
141,1941,0.12548387096774194,0.27,,,,
142,1942,-0.044516129032258045,0.23,,,,
143,1943,-0.09451612903225803,0.19,,,,
144,1944,0.365483870967742,0.16,,,,
145,1945,-0.324516129032258,0.14,,,,
146,1946,0.44548387096774195,0.13,,,,
147,1947,1.095483870967742,0.14,,,,
148,1948,-0.284516129032258,0.15,,,,
149,1949,-0.6245161290322581,0.17,,,,
150,1950,-0.11451612903225805,0.2,,,,
151,1951,0.535483870967742,0.22,,,,
152,1952,0.9754838709677419,0.24,,,,
153,1953,-0.46451612903225803,0.26,,,,
154,1954,0.435483870967742,0.3,,,,
155,1955,1.395483870967742,0.34,,,,
156,1956,-0.49451612903225806,0.39,,,,
157,1957,0.485483870967742,0.42,,,,
158,1958,0.635483870967742,0.44,,,,
159,1959,-0.414516129032258,0.43,,,,
160,1960,0.9854838709677419,0.42,,,,
161,1961,0.515483870967742,0.4,,,,
162,1962,1.575483870967742,0.39,,,,
163,1963,0.7554838709677419,0.39,,,,
164,1964,-0.294516129032258,0.38,,,,
165,1965,0.11548387096774199,0.37,,,,
166,1966,1.855483870967742,0.34,,,,
167,1967,-0.5245161290322581,0.31,,,,
168,1968,0.38548387096774195,0.26,,,,
169,1969,0.415483870967742,0.22,,,,
170,1970,0.9954838709677419,0.19,,,,
171,1971,0.39548387096774196,0.18,,,,
172,1972,-0.34451612903225803,0.19,,,,
173,1973,-0.054516129032258054,0.22,,,,
174,1974,0.03548387096774197,0.24,,,,
175,1975,0.13548387096774195,0.26,,,,
176,1976,-0.5145161290322581,0.26,,,,
177,1977,0.37548387096774194,0.27,,,,
178,1978,0.575483870967742,0.29,,,,
179,1979,1.285483870967742,0.31,,,,
180,1980,0.40548387096774197,0.34,,,,
181,1981,1.0054838709677418,0.36,,,,
182,1982,-0.08451612903225802,0.39,,,,
183,1983,0.04548387096774198,0.4,,,,
184,1984,0.46548387096774196,0.39,,,,
185,1985,0.485483870967742,0.38,,,,
186,1986,0.685483870967742,0.36,,,,
187,1987,0.03548387096774197,0.36,,,,
188,1988,0.05548387096774199,0.37,,,,
189,1989,0.5954838709677419,0.39,,,,
190,1990,0.45548387096774196,0.43,,,,
191,1991,0.24548387096774196,0.48,,,,
192,1992,-0.9845161290322579,0.53,,,,
193,1993,-0.25451612903225806,0.58,,,,
194,1994,1.215483870967742,0.64,,,,
195,1995,0.655483870967742,0.7,,,,
196,1996,0.905483870967742,0.76,,,,
197,1997,0.05548387096774199,0.8,,,,
198,1998,1.395483870967742,0.85,,,,
199,1999,1.5554838709677419,0.89,,,,
200,2000,0.685483870967742,0.92,,,,
201,2001,1.765483870967742,0.95,,,,
202,2002,0.8454838709677419,0.98,,,,
203,2003,0.785483870967742,1.0,,,,
204,2004,0.7554838709677419,1.01,,,,
205,2005,0.895483870967742,1.03,1.07,1.08,1.13,1.07
206,2006,0.935483870967742,1.05,1.12,1.13,1.18,1.13
207,2007,1.2754838709677419,1.07,1.17,1.18,1.22,1.18
208,2008,1.115483870967742,1.12,1.23,1.23,1.27,1.23
209,2009,1.2354838709677418,1.16,1.28,1.28,1.31,1.28
210,2010,2.735483870967742,1.22,1.33,1.33,1.36,1.33
211,2011,0.39548387096774196,1.29,1.39,1.38,1.41,1.39
212,2012,1.345483870967742,1.37,1.44,1.44,1.45,1.44
213,2013,1.2554838709677418,1.45,1.49,1.49,1.5,1.49
214,2014,2.0754838709677417,1.54,1.54,1.53,1.54,1.54
215,2015,1.395483870967742,1.62,1.58,1.58,1.57,1.58
216,2016,1.525483870967742,1.7,1.63,1.63,1.6,1.63
217,2017,1.375483870967742,1.79,1.68,1.68,1.64,1.68
218,2018,2.675483870967742,1.87,1.73,1.73,1.67,1.73
219,2019,1.945483870967742,1.96,1.78,1.78,1.71,1.78
220,2020,2.1154838709677417,2.05,1.83,1.82,1.75,1.83
221,2021,,,1.88,1.87,1.79,1.87
222,2022,,,1.93,1.9,1.82,1.92
223,2023,,,1.97,1.94,1.86,1.96
224,2024,,,2.01,1.97,1.9,2.01
225,2025,,,2.05,2.01,1.95,2.06
226,2026,,,2.09,2.04,2.0,2.11
227,2027,,,2.12,2.07,2.05,2.16
228,2028,,,2.15,2.1,2.1,2.21
229,2029,,,2.17,2.13,2.15,2.25
230,2030,,,2.19,2.16,2.19,2.3
231,2031,,,2.21,2.19,2.24,2.34
232,2032,,,2.23,2.22,2.28,2.39
233,2033,,,2.25,2.26,2.33,2.44
234,2034,,,2.27,2.3,2.37,2.49
235,2035,,,2.29,2.34,2.4,2.54
236,2036,,,2.3,2.38,2.44,2.59
237,2037,,,2.32,2.41,2.48,2.64
238,2038,,,2.34,2.44,2.51,2.69
239,2039,,,2.36,2.48,2.55,2.75
240,2040,,,2.39,2.51,2.59,2.81
241,2041,,,2.41,2.55,2.63,2.87
242,2042,,,2.44,2.58,2.68,2.93
243,2043,,,2.47,2.62,2.73,2.99
244,2044,,,2.49,2.65,2.79,3.05
245,2045,,,2.52,2.68,2.84,3.12
246,2046,,,2.54,2.71,2.9,3.18
247,2047,,,2.56,2.75,2.96,3.25
248,2048,,,2.58,2.79,3.01,3.31
249,2049,,,2.6,2.83,3.07,3.38
250,2050,,,2.62,2.87,3.13,3.44
251,2051,,,2.63,2.91,3.18,3.51
252,2052,,,2.63,2.94,3.22,3.59
253,2053,,,2.63,2.97,3.27,3.66
254,2054,,,2.64,3.0,3.31,3.73
255,2055,,,2.64,3.03,3.35,3.81
256,2056,,,2.65,3.06,3.4,3.88
257,2057,,,2.65,3.09,3.45,3.95
258,2058,,,2.66,3.12,3.5,4.01
259,2059,,,2.67,3.14,3.55,4.08
260,2060,,,2.67,3.17,3.59,4.15
261,2061,,,2.67,3.19,3.64,4.21
262,2062,,,2.67,3.21,3.7,4.28
263,2063,,,2.67,3.23,3.75,4.34
264,2064,,,2.68,3.25,3.8,4.41
265,2065,,,2.68,3.27,3.85,4.48
266,2066,,,2.68,3.29,3.9,4.56
267,2067,,,2.69,3.31,3.95,4.63
268,2068,,,2.69,3.33,4.0,4.71
269,2069,,,2.69,3.35,4.05,4.78
270,2070,,,2.69,3.37,4.1,4.85
271,2071,,,2.69,3.39,4.15,4.92
272,2072,,,2.7,3.42,4.2,4.99
273,2073,,,2.7,3.44,4.24,5.07
274,2074,,,2.7,3.46,4.29,5.14
275,2075,,,2.7,3.49,4.35,5.22
276,2076,,,2.69,3.51,4.4,5.29
277,2077,,,2.69,3.54,4.46,5.37
278,2078,,,2.68,3.56,4.51,5.44
279,2079,,,2.68,3.58,4.57,5.52
280,2080,,,2.68,3.61,4.63,5.61
281,2081,,,2.68,3.63,4.7,5.7
282,2082,,,2.68,3.65,4.76,5.78
283,2083,,,2.68,3.66,4.82,5.87
284,2084,,,2.68,3.68,4.89,5.95
285,2085,,,2.68,3.7,4.95,6.03
286,2086,,,2.67,3.72,5.01,6.11
287,2087,,,2.67,3.74,5.07,6.19
288,2088,,,2.66,3.75,5.13,6.27
289,2089,,,2.65,3.77,5.19,6.36
290,2090,,,2.64,3.79,5.25,6.45
291,2091,,,2.62,3.81,5.3,6.54
292,2092,,,2.61,3.82,5.36,6.63
293,2093,,,2.61,3.84,5.41,6.72
294,2094,,,2.6,3.85,5.47,6.82
295,2095,,,2.6,3.86,5.53,6.91
296,2096,,,2.59,3.88,5.59,7.01
297,2097,,,2.59,3.89,5.64,7.1
298,2098,,,2.59,3.9,5.7,7.2
299,2099,,,2.58,3.91,5.76,7.3
300,2100,,,2.58,3.92,5.82,7.39
