Seychelles,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,,,,,,
76,1876,,,,,,
77,1877,,,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,,,,,,
83,1883,,,,,,
84,1884,,,,,,
85,1885,,,,,,
86,1886,,,,,,
87,1887,,,,,,
88,1888,,,,,,
89,1889,,,,,,
90,1890,,,,,,
91,1891,,,,,,
92,1892,,,,,,
93,1893,,,,,,
94,1894,,,,,,
95,1895,,,,,,
96,1896,,,,,,
97,1897,,,,,,
98,1898,,,,,,
99,1899,,,,,,
100,1900,,,,,,
101,1901,,,,,,
102,1902,,,,,,
103,1903,,,,,,
104,1904,,,,,,
105,1905,,,,,,
106,1906,,,,,,
107,1907,,,,,,
108,1908,,,,,,
109,1909,,,,,,
110,1910,,,,,,
111,1911,,,,,,
112,1912,,,,,,
113,1913,,,,,,
114,1914,,,,,,
115,1915,,,,,,
116,1916,,,,,,
117,1917,,,,,,
118,1918,,,,,,
119,1919,,,,,,
120,1920,,,,,,
121,1921,,,,,,
122,1922,,,,,,
123,1923,,,,,,
124,1924,,,,,,
125,1925,,,,,,
126,1926,,,,,,
127,1927,,,,,,
128,1928,,,,,,
129,1929,,,,,,
130,1930,,,,,,
131,1931,,,,,,
132,1932,,,,,,
133,1933,,,,,,
134,1934,,,,,,
135,1935,,,,,,
136,1936,,,,,,
137,1937,,,,,,
138,1938,,,,,,
139,1939,,,,,,
140,1940,,,,,,
141,1941,,,,,,
142,1942,,,,,,
143,1943,,,,,,
144,1944,,,,,,
145,1945,,,,,,
146,1946,,,,,,
147,1947,,,,,,
148,1948,,,,,,
149,1949,,,,,,
150,1950,,,,,,
151,1951,,,,,,
152,1952,,,,,,
153,1953,,,,,,
154,1954,,,,,,
155,1955,,,,,,
156,1956,,,,,,
157,1957,,,,,,
158,1958,,,,,,
159,1959,,,,,,
160,1960,,,,,,
161,1961,,,,,,
162,1962,,,,,,
163,1963,,,,,,
164,1964,,,,,,
165,1965,,,,,,
166,1966,,,,,,
167,1967,,,,,,
168,1968,,,,,,
169,1969,,,,,,
170,1970,,,,,,
171,1971,,,,,,
172,1972,,,,,,
173,1973,,,,,,
174,1974,,,,,,
175,1975,,,,,,
176,1976,,,,,,
177,1977,,,,,,
178,1978,,,,,,
179,1979,,,,,,
180,1980,,,,,,
181,1981,,,,,,
182,1982,,,,,,
183,1983,,,,,,
184,1984,,,,,,
185,1985,,,,,,
186,1986,,,,,,
187,1987,,,,,,
188,1988,,,,,,
189,1989,,,,,,
190,1990,,,,,,
191,1991,,,,,,
192,1992,,,,,,
193,1993,,,,,,
194,1994,,,,,,
195,1995,,,,,,
196,1996,,,,,,
197,1997,,,,,,
198,1998,,,,,,
199,1999,,,,,,
200,2000,,,,,,
201,2001,,,,,,
202,2002,,,,,,
203,2003,,,,,,
204,2004,,,,,,
205,2005,,,,,,
206,2006,,,,,,
207,2007,,,,,,
208,2008,,,,,,
209,2009,,,,,,
210,2010,,,,,,
211,2011,,,,,,
212,2012,,,,,,
213,2013,,,,,,
214,2014,,,,,,
215,2015,,,,,,
216,2016,,,,,,
