Belize,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
117,1917,-0.19903225806451608,0.17,,,,
118,1918,0.3009677419354839,0.19,,,,
119,1919,0.4109677419354839,0.21,,,,
120,1920,0.17096774193548392,0.22,,,,
121,1921,0.2109677419354839,0.24,,,,
122,1922,0.4009677419354839,0.26,,,,
123,1923,0.2209677419354839,0.28,,,,
124,1924,0.11096774193548387,0.29,,,,
125,1925,0.17096774193548392,0.31,,,,
126,1926,0.5309677419354839,0.32,,,,
127,1927,0.3809677419354839,0.34,,,,
128,1928,0.3809677419354839,0.36,,,,
129,1929,0.4109677419354839,0.38,,,,
130,1930,0.3809677419354839,0.4,,,,
131,1931,0.1609677419354839,0.41,,,,
132,1932,0.49096774193548387,0.41,,,,
133,1933,0.6209677419354839,0.4,,,,
134,1934,0.6609677419354839,0.39,,,,
135,1935,0.4209677419354839,0.39,,,,
136,1936,0.3609677419354839,0.4,,,,
137,1937,0.4109677419354839,0.41,,,,
138,1938,-0.06903225806451607,0.42,,,,
139,1939,0.11096774193548387,0.43,,,,
140,1940,0.2509677419354839,0.45,,,,
141,1941,0.9009677419354839,0.49,,,,
142,1942,0.590967741935484,0.53,,,,
143,1943,0.3509677419354839,0.58,,,,
144,1944,0.5109677419354839,0.63,,,,
145,1945,0.700967741935484,0.68,,,,
146,1946,0.9909677419354839,0.73,,,,
147,1947,1.200967741935484,0.76,,,,
148,1948,0.9409677419354838,0.78,,,,
149,1949,0.7409677419354839,0.79,,,,
150,1950,0.48096774193548386,0.79,,,,
151,1951,0.8709677419354839,0.78,,,,
152,1952,0.9609677419354838,0.76,,,,
153,1953,1.2209677419354839,0.74,,,,
154,1954,0.43096774193548393,0.73,,,,
155,1955,0.5009677419354839,0.72,,,,
156,1956,0.2809677419354839,0.7,,,,
157,1957,0.7809677419354839,0.68,,,,
158,1958,0.8109677419354839,0.66,,,,
159,1959,0.830967741935484,0.64,,,,
160,1960,0.6809677419354839,0.62,,,,
161,1961,0.7609677419354839,0.6,,,,
162,1962,0.44096774193548394,0.59,,,,
163,1963,0.2709677419354839,0.58,,,,
164,1964,0.7809677419354839,0.56,,,,
165,1965,0.5409677419354839,0.56,,,,
166,1966,0.2509677419354839,0.56,,,,
167,1967,0.4709677419354839,0.57,,,,
168,1968,0.2909677419354839,0.59,,,,
169,1969,0.9909677419354839,0.61,,,,
170,1970,0.5409677419354839,0.63,,,,
171,1971,0.6309677419354839,0.64,,,,
172,1972,0.9209677419354839,0.65,,,,
173,1973,1.0109677419354839,0.67,,,,
174,1974,0.5109677419354839,0.69,,,,
175,1975,0.8209677419354839,0.7,,,,
176,1976,0.05096774193548392,0.72,,,,
177,1977,0.5609677419354839,0.72,,,,
178,1978,0.700967741935484,0.73,,,,
179,1979,0.8109677419354839,0.72,,,,
180,1980,0.9009677419354839,0.72,,,,
181,1981,0.5609677419354839,0.73,,,,
182,1982,0.9509677419354838,0.74,,,,
183,1983,1.1709677419354838,0.75,,,,
184,1984,0.49096774193548387,0.76,,,,
185,1985,0.6409677419354839,0.76,,,,
186,1986,0.580967741935484,0.77,,,,
187,1987,0.8009677419354839,0.78,,,,
188,1988,0.8609677419354839,0.8,,,,
189,1989,0.590967741935484,0.82,,,,
190,1990,0.8109677419354839,0.86,,,,
191,1991,1.160967741935484,0.9,,,,
192,1992,0.9009677419354839,0.94,,,,
193,1993,0.7409677419354839,0.97,,,,
194,1994,1.140967741935484,0.98,,,,
195,1995,1.390967741935484,0.99,,,,
196,1996,0.7609677419354839,0.99,,,,
197,1997,1.350967741935484,1.0,,,,
198,1998,1.600967741935484,1.0,,,,
199,1999,0.700967741935484,1.0,,,,
200,2000,0.5309677419354839,1.0,,,,
201,2001,0.850967741935484,0.99,,,,
202,2002,1.080967741935484,0.98,,,,
203,2003,1.120967741935484,0.97,,,,
204,2004,0.9009677419354839,0.96,,,,
205,2005,1.160967741935484,0.96,1.0,0.98,1.01,0.98
206,2006,0.7809677419354839,0.98,1.03,1.02,1.04,1.01
207,2007,1.1309677419354838,0.99,1.06,1.05,1.07,1.05
208,2008,0.830967741935484,1.01,1.09,1.08,1.1,1.08
209,2009,1.070967741935484,1.03,1.12,1.11,1.13,1.11
210,2010,0.7709677419354839,1.05,1.15,1.14,1.16,1.14
211,2011,1.100967741935484,1.09,1.18,1.18,1.19,1.18
212,2012,1.020967741935484,1.13,1.21,1.21,1.22,1.21
213,2013,1.160967741935484,1.18,1.24,1.24,1.25,1.24
214,2014,0.9809677419354839,1.25,1.27,1.27,1.27,1.28
215,2015,1.6109677419354838,1.32,1.3,1.31,1.3,1.31
216,2016,1.520967741935484,1.39,1.33,1.34,1.33,1.34
217,2017,1.300967741935484,1.46,1.36,1.37,1.35,1.37
218,2018,1.050967741935484,1.53,1.39,1.41,1.38,1.41
219,2019,1.6709677419354838,1.6,1.43,1.45,1.41,1.44
220,2020,1.950967741935484,1.67,1.46,1.49,1.44,1.48
221,2021,,,1.5,1.52,1.47,1.51
222,2022,,,1.53,1.56,1.5,1.55
223,2023,,,1.56,1.6,1.54,1.59
224,2024,,,1.59,1.63,1.57,1.62
225,2025,,,1.62,1.67,1.6,1.66
226,2026,,,1.65,1.7,1.63,1.7
227,2027,,,1.68,1.73,1.67,1.73
228,2028,,,1.71,1.76,1.7,1.77
229,2029,,,1.74,1.78,1.73,1.81
230,2030,,,1.78,1.81,1.77,1.85
231,2031,,,1.8,1.83,1.8,1.89
232,2032,,,1.83,1.85,1.84,1.93
233,2033,,,1.86,1.88,1.87,1.97
234,2034,,,1.88,1.9,1.9,2.01
235,2035,,,1.9,1.93,1.92,2.06
236,2036,,,1.93,1.95,1.95,2.1
237,2037,,,1.94,1.98,1.98,2.15
238,2038,,,1.96,2.0,2.02,2.2
239,2039,,,1.97,2.03,2.05,2.25
240,2040,,,1.98,2.06,2.08,2.3
241,2041,,,1.98,2.08,2.11,2.36
242,2042,,,1.99,2.11,2.14,2.41
243,2043,,,2.0,2.14,2.18,2.46
244,2044,,,2.02,2.17,2.21,2.5
245,2045,,,2.03,2.19,2.26,2.55
246,2046,,,2.04,2.22,2.3,2.59
247,2047,,,2.05,2.25,2.34,2.64
248,2048,,,2.06,2.28,2.39,2.68
249,2049,,,2.06,2.31,2.43,2.72
250,2050,,,2.07,2.34,2.48,2.76
251,2051,,,2.08,2.37,2.52,2.8
252,2052,,,2.09,2.39,2.56,2.84
253,2053,,,2.09,2.42,2.6,2.89
254,2054,,,2.1,2.45,2.64,2.94
255,2055,,,2.1,2.47,2.68,2.99
256,2056,,,2.11,2.5,2.72,3.04
257,2057,,,2.12,2.52,2.76,3.09
258,2058,,,2.12,2.54,2.79,3.15
259,2059,,,2.13,2.56,2.83,3.21
260,2060,,,2.14,2.58,2.87,3.26
261,2061,,,2.15,2.61,2.91,3.32
262,2062,,,2.15,2.63,2.96,3.37
263,2063,,,2.16,2.65,3.0,3.43
264,2064,,,2.16,2.67,3.05,3.48
265,2065,,,2.16,2.69,3.09,3.54
266,2066,,,2.17,2.71,3.14,3.6
267,2067,,,2.17,2.73,3.19,3.66
268,2068,,,2.17,2.75,3.23,3.72
269,2069,,,2.17,2.76,3.28,3.78
270,2070,,,2.18,2.78,3.33,3.84
271,2071,,,2.18,2.79,3.37,3.9
272,2072,,,2.18,2.8,3.42,3.96
273,2073,,,2.18,2.81,3.46,4.02
274,2074,,,2.18,2.82,3.5,4.09
275,2075,,,2.18,2.83,3.54,4.15
276,2076,,,2.18,2.85,3.58,4.21
277,2077,,,2.18,2.87,3.62,4.27
278,2078,,,2.18,2.88,3.66,4.34
279,2079,,,2.18,2.9,3.7,4.4
280,2080,,,2.18,2.92,3.74,4.47
281,2081,,,2.18,2.94,3.78,4.53
282,2082,,,2.18,2.96,3.82,4.6
283,2083,,,2.18,2.98,3.86,4.66
284,2084,,,2.17,2.99,3.9,4.72
285,2085,,,2.17,3.01,3.94,4.78
286,2086,,,2.16,3.02,3.98,4.84
287,2087,,,2.16,3.04,4.03,4.9
288,2088,,,2.15,3.05,4.08,4.96
289,2089,,,2.14,3.07,4.12,5.02
290,2090,,,2.13,3.08,4.17,5.08
291,2091,,,2.13,3.09,4.22,5.14
292,2092,,,2.12,3.1,4.27,5.2
293,2093,,,2.12,3.11,4.32,5.26
294,2094,,,2.12,3.13,4.37,5.33
295,2095,,,2.11,3.14,4.42,5.39
296,2096,,,2.11,3.15,4.47,5.46
297,2097,,,2.11,3.16,4.53,5.52
298,2098,,,2.11,3.17,4.58,5.58
299,2099,,,2.11,3.19,4.63,5.65
300,2100,,,2.1,3.2,4.69,5.71
