Romania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
102,1902,-0.67,0.13,,,,
103,1903,0.56,0.12,,,,
104,1904,-0.12,0.11,,,,
105,1905,0.11000000000000004,0.09,,,,
106,1906,0.38,0.06,,,,
107,1907,-0.5499999999999999,0.05,,,,
108,1908,-0.24,0.04,,,,
109,1909,0.050000000000000044,0.05,,,,
110,1910,0.8200000000000001,0.07,,,,
111,1911,0.21000000000000002,0.1,,,,
112,1912,-0.47,0.13,,,,
113,1913,0.010000000000000009,0.15,,,,
114,1914,-0.4099999999999999,0.17,,,,
115,1915,0.34,0.19,,,,
116,1916,1.12,0.21,,,,
117,1917,0.17000000000000004,0.23,,,,
118,1918,0.9500000000000001,0.25,,,,
119,1919,-0.019999999999999962,0.29,,,,
120,1920,5.551115123125783e-17,0.33,,,,
121,1921,0.26,0.36,,,,
122,1922,-0.19999999999999996,0.37,,,,
123,1923,1.23,0.36,,,,
124,1924,-0.18999999999999995,0.35,,,,
125,1925,0.73,0.33,,,,
126,1926,0.8700000000000001,0.32,,,,
127,1927,0.89,0.32,,,,
128,1928,-0.009999999999999953,0.32,,,,
129,1929,-0.7000000000000001,0.34,,,,
130,1930,1.01,0.36,,,,
131,1931,-0.09999999999999998,0.39,,,,
132,1932,-0.08999999999999997,0.41,,,,
133,1933,-1.27,0.42,,,,
134,1934,1.12,0.41,,,,
135,1935,0.15000000000000002,0.39,,,,
136,1936,1.2200000000000002,0.38,,,,
137,1937,1.09,0.36,,,,
138,1938,0.72,0.36,,,,
139,1939,0.8500000000000001,0.37,,,,
140,1940,-1.4100000000000001,0.37,,,,
141,1941,-0.6900000000000001,0.37,,,,
142,1942,-0.9500000000000001,0.36,,,,
143,1943,0.41000000000000003,0.34,,,,
144,1944,0.21000000000000002,0.34,,,,
145,1945,0.16000000000000003,0.36,,,,
146,1946,0.98,0.39,,,,
147,1947,0.44000000000000006,0.44,,,,
148,1948,0.4,0.48,,,,
149,1949,0.47000000000000003,0.5,,,,
150,1950,1.21,0.51,,,,
151,1951,1.44,0.51,,,,
152,1952,0.88,0.51,,,,
153,1953,0.20000000000000004,0.51,,,,
154,1954,-0.44999999999999996,0.52,,,,
155,1955,0.27,0.51,,,,
156,1956,-0.92,0.49,,,,
157,1957,0.72,0.46,,,,
158,1958,0.92,0.43,,,,
159,1959,0.16000000000000003,0.41,,,,
160,1960,0.9600000000000001,0.42,,,,
161,1961,0.99,0.44,,,,
162,1962,0.42000000000000004,0.47,,,,
163,1963,0.13,0.48,,,,
164,1964,-0.03999999999999998,0.48,,,,
165,1965,-0.22999999999999998,0.47,,,,
166,1966,1.33,0.46,,,,
167,1967,0.66,0.45,,,,
168,1968,0.8200000000000001,0.45,,,,
169,1969,-0.14,0.45,,,,
170,1970,0.5,0.46,,,,
171,1971,0.47000000000000003,0.46,,,,
172,1972,0.71,0.46,,,,
173,1973,0.11000000000000004,0.44,,,,
174,1974,0.5700000000000001,0.42,,,,
175,1975,1.12,0.41,,,,
176,1976,-0.36,0.41,,,,
177,1977,0.78,0.41,,,,
178,1978,-0.16999999999999993,0.4,,,,
179,1979,0.8500000000000001,0.39,,,,
180,1980,-0.45999999999999996,0.37,,,,
181,1981,0.46,0.36,,,,
182,1982,0.56,0.37,,,,
183,1983,0.99,0.39,,,,
184,1984,0.41000000000000003,0.43,,,,
185,1985,-0.58,0.47,,,,
186,1986,0.43000000000000005,0.51,,,,
187,1987,-0.019999999999999962,0.55,,,,
188,1988,0.55,0.58,,,,
189,1989,1.2000000000000002,0.6,,,,
190,1990,1.67,0.62,,,,
191,1991,0.22000000000000003,0.64,,,,
192,1992,0.9700000000000001,0.68,,,,
193,1993,0.25,0.73,,,,
194,1994,2.06,0.8,,,,
195,1995,0.66,0.85,,,,
196,1996,0.09000000000000002,0.9,,,,
197,1997,0.050000000000000044,0.93,,,,
198,1998,0.66,0.95,,,,
199,1999,1.52,0.99,,,,
200,2000,1.9100000000000001,1.04,,,,
201,2001,1.23,1.1,,,,
202,2002,1.88,1.18,,,,
203,2003,0.8200000000000001,1.25,,,,
204,2004,1.05,1.33,,,,
205,2005,0.6100000000000001,1.38,1.48,1.52,1.6,1.51
206,2006,0.9500000000000001,1.42,1.53,1.56,1.63,1.55
207,2007,2.2600000000000002,1.46,1.57,1.6,1.66,1.59
208,2008,1.92,1.5,1.62,1.64,1.7,1.64
209,2009,1.8900000000000001,1.55,1.67,1.68,1.73,1.68
210,2010,1.4100000000000001,1.62,1.72,1.73,1.76,1.73
211,2011,1.04,1.7,1.77,1.77,1.79,1.77
212,2012,1.7999999999999998,1.78,1.82,1.81,1.82,1.82
213,2013,1.8399999999999999,1.86,1.86,1.85,1.86,1.87
214,2014,2.0100000000000002,1.94,1.91,1.9,1.88,1.91
215,2015,2.31,2.02,1.96,1.95,1.91,1.96
216,2016,1.7800000000000002,2.1,2.01,2.0,1.95,2.0
217,2017,1.7200000000000002,2.18,2.07,2.06,1.99,2.05
218,2018,2.32,2.27,2.13,2.11,2.04,2.11
219,2019,2.73,2.35,2.2,2.17,2.09,2.16
220,2020,2.5,2.43,2.25,2.22,2.14,2.21
221,2021,,,2.3,2.27,2.19,2.26
222,2022,,,2.34,2.32,2.23,2.31
223,2023,,,2.38,2.36,2.28,2.35
224,2024,,,2.41,2.4,2.33,2.4
225,2025,,,2.44,2.44,2.38,2.44
226,2026,,,2.46,2.47,2.43,2.49
227,2027,,,2.47,2.5,2.47,2.54
228,2028,,,2.48,2.53,2.52,2.6
229,2029,,,2.5,2.57,2.56,2.65
230,2030,,,2.51,2.61,2.6,2.71
231,2031,,,2.52,2.65,2.65,2.76
232,2032,,,2.54,2.69,2.7,2.82
233,2033,,,2.56,2.73,2.75,2.88
234,2034,,,2.58,2.77,2.8,2.94
235,2035,,,2.61,2.81,2.84,3.0
236,2036,,,2.64,2.84,2.88,3.06
237,2037,,,2.67,2.88,2.92,3.12
238,2038,,,2.7,2.91,2.96,3.18
239,2039,,,2.74,2.94,3.0,3.24
240,2040,,,2.78,2.97,3.04,3.3
241,2041,,,2.81,3.0,3.09,3.36
242,2042,,,2.84,3.03,3.14,3.41
243,2043,,,2.87,3.06,3.19,3.47
244,2044,,,2.89,3.1,3.25,3.52
245,2045,,,2.92,3.14,3.31,3.58
246,2046,,,2.94,3.18,3.38,3.63
247,2047,,,2.96,3.22,3.44,3.69
248,2048,,,2.97,3.26,3.51,3.76
249,2049,,,2.98,3.3,3.58,3.83
250,2050,,,2.99,3.34,3.64,3.9
251,2051,,,3.0,3.37,3.7,3.98
252,2052,,,3.01,3.4,3.75,4.06
253,2053,,,3.01,3.42,3.79,4.13
254,2054,,,3.01,3.45,3.83,4.21
255,2055,,,3.02,3.47,3.86,4.29
256,2056,,,3.03,3.5,3.9,4.36
257,2057,,,3.04,3.52,3.95,4.42
258,2058,,,3.05,3.55,4.0,4.48
259,2059,,,3.06,3.58,4.04,4.55
260,2060,,,3.07,3.6,4.09,4.61
261,2061,,,3.08,3.63,4.14,4.67
262,2062,,,3.09,3.65,4.19,4.74
263,2063,,,3.1,3.68,4.24,4.81
264,2064,,,3.11,3.7,4.28,4.88
265,2065,,,3.12,3.71,4.33,4.96
266,2066,,,3.12,3.73,4.38,5.04
267,2067,,,3.12,3.75,4.43,5.13
268,2068,,,3.12,3.77,4.48,5.21
269,2069,,,3.12,3.78,4.53,5.29
270,2070,,,3.13,3.8,4.58,5.37
271,2071,,,3.13,3.82,4.64,5.44
272,2072,,,3.13,3.84,4.7,5.52
273,2073,,,3.14,3.86,4.76,5.59
274,2074,,,3.14,3.89,4.83,5.66
275,2075,,,3.13,3.91,4.9,5.74
276,2076,,,3.12,3.94,4.96,5.81
277,2077,,,3.11,3.97,5.02,5.89
278,2078,,,3.1,3.99,5.09,5.96
279,2079,,,3.1,4.01,5.15,6.04
280,2080,,,3.09,4.03,5.2,6.11
281,2081,,,3.08,4.06,5.26,6.19
282,2082,,,3.08,4.09,5.32,6.28
283,2083,,,3.07,4.11,5.37,6.37
284,2084,,,3.07,4.13,5.42,6.45
285,2085,,,3.06,4.15,5.47,6.54
286,2086,,,3.06,4.17,5.52,6.63
287,2087,,,3.05,4.19,5.57,6.72
288,2088,,,3.05,4.21,5.63,6.81
289,2089,,,3.06,4.23,5.69,6.91
290,2090,,,3.06,4.25,5.75,7.0
291,2091,,,3.06,4.27,5.81,7.09
292,2092,,,3.06,4.29,5.88,7.18
293,2093,,,3.06,4.3,5.95,7.26
294,2094,,,3.07,4.32,6.02,7.35
295,2095,,,3.08,4.33,6.09,7.43
296,2096,,,3.08,4.34,6.15,7.51
297,2097,,,3.09,4.36,6.22,7.6
298,2098,,,3.1,4.37,6.29,7.68
299,2099,,,3.11,4.39,6.37,7.76
300,2100,,,3.12,4.4,6.44,7.85
